event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBNB15M-26JUN101945,Target Price: $586.33,2026-06-10 19:30:00-04:00,2026-06-10 19:45:00-04:00,586.27,586.33,no
KXBNB15M-26JUN101930,Target Price: $582.79,2026-06-10 19:15:00-04:00,2026-06-10 19:30:00-04:00,586.33,582.79,yes
KXBNB15M-26JUN101915,Target Price: $583.85,2026-06-10 19:00:00-04:00,2026-06-10 19:15:00-04:00,582.79,583.85,no
KXBNB15M-26JUN101900,Target Price: $584.99,2026-06-10 18:45:00-04:00,2026-06-10 19:00:00-04:00,583.85,584.99,no
KXBNB15M-26JUN101845,Target Price: $583.01,2026-06-10 18:30:00-04:00,2026-06-10 18:45:00-04:00,584.99,583.01,yes
KXBNB15M-26JUN101830,Target Price: $583.38,2026-06-10 18:15:00-04:00,2026-06-10 18:30:00-04:00,583.01,583.38,no
KXBNB15M-26JUN101815,Target Price: $582.82,2026-06-10 18:00:00-04:00,2026-06-10 18:15:00-04:00,583.38,582.82,yes
KXBNB15M-26JUN101800,Target Price: $585.72,2026-06-10 17:45:00-04:00,2026-06-10 18:00:00-04:00,582.82,585.72,no
KXBNB15M-26JUN101745,Target Price: $584.92,2026-06-10 17:30:00-04:00,2026-06-10 17:45:00-04:00,585.72,584.92,yes
KXBNB15M-26JUN101730,Target Price: $584.03,2026-06-10 17:15:00-04:00,2026-06-10 17:30:00-04:00,584.92,584.03,yes
KXBNB15M-26JUN101715,Target Price: $586.68,2026-06-10 17:00:00-04:00,2026-06-10 17:15:00-04:00,584.03,586.68,no
KXBNB15M-26JUN101700,Target Price: $587.33,2026-06-10 16:45:00-04:00,2026-06-10 17:00:00-04:00,586.68,587.33,no
KXBNB15M-26JUN101645,Target Price: $587.99,2026-06-10 16:30:00-04:00,2026-06-10 16:45:00-04:00,587.33,587.99,no
KXBNB15M-26JUN101630,Target Price: $586.76,2026-06-10 16:15:00-04:00,2026-06-10 16:30:00-04:00,587.99,586.76,yes
KXBNB15M-26JUN101615,Target Price: $587.76,2026-06-10 16:00:00-04:00,2026-06-10 16:15:00-04:00,586.76,587.76,no
KXBNB15M-26JUN101600,Target Price: $588.91,2026-06-10 15:45:00-04:00,2026-06-10 16:00:00-04:00,587.76,588.91,no
KXBNB15M-26JUN101545,Target Price: $588.27,2026-06-10 15:30:00-04:00,2026-06-10 15:45:00-04:00,588.91,588.27,yes
KXBNB15M-26JUN101530,Target Price: $588.40,2026-06-10 15:15:00-04:00,2026-06-10 15:30:00-04:00,588.27,588.4,no
KXBNB15M-26JUN101515,Target Price: $589.25,2026-06-10 15:00:00-04:00,2026-06-10 15:15:00-04:00,588.40,589.25,no
KXBNB15M-26JUN101500,Target Price: $587.48,2026-06-10 14:45:00-04:00,2026-06-10 15:00:00-04:00,589.25,587.48,yes
KXBNB15M-26JUN101445,Target Price: $589.26,2026-06-10 14:30:00-04:00,2026-06-10 14:45:00-04:00,587.48,589.26,no
KXBNB15M-26JUN101415,Target Price: $589.73,2026-06-10 14:00:00-04:00,2026-06-10 14:15:00-04:00,589.16,589.73,no
KXBNB15M-26JUN101400,Target Price: $587.90,2026-06-10 13:45:00-04:00,2026-06-10 14:00:00-04:00,589.73,587.9,yes
KXBNB15M-26JUN101345,Target Price: $589.75,2026-06-10 13:30:00-04:00,2026-06-10 13:45:00-04:00,587.90,589.75,no
KXBNB15M-26JUN101330,Target Price: $591.25,2026-06-10 13:15:00-04:00,2026-06-10 13:30:00-04:00,589.75,591.25,no
KXBNB15M-26JUN101315,Target Price: $591.98,2026-06-10 13:00:00-04:00,2026-06-10 13:15:00-04:00,591.25,591.98,no
KXBNB15M-26JUN101300,Target Price: $592.88,2026-06-10 12:45:00-04:00,2026-06-10 13:00:00-04:00,591.98,592.88,no
