event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBNB15M-26APR010000,Target Price: $616.25,2026-03-31 23:45:00-04:00,2026-04-01 00:00:00-04:00,616.16,616.25,no
KXBNB15M-26APR010015,Target Price: $616.16,2026-04-01 00:00:00-04:00,2026-04-01 00:15:00-04:00,615.21,616.16,no
KXBNB15M-26APR010030,Target Price: $615.21,2026-04-01 00:15:00-04:00,2026-04-01 00:30:00-04:00,615.74,615.21,yes
KXBNB15M-26APR010045,Target Price: $615.74,2026-04-01 00:30:00-04:00,2026-04-01 00:45:00-04:00,616.04,615.74,yes
KXBNB15M-26APR010100,Target Price: $616.04,2026-04-01 00:45:00-04:00,2026-04-01 01:00:00-04:00,615.48,616.04,no
KXBNB15M-26APR010115,Target Price: $615.48,2026-04-01 01:00:00-04:00,2026-04-01 01:15:00-04:00,615.2,615.48,no
KXBNB15M-26APR010130,Target Price: $615.20,2026-04-01 01:15:00-04:00,2026-04-01 01:30:00-04:00,616.74,615.2,yes
KXBNB15M-26APR010145,Target Price: $616.74,2026-04-01 01:30:00-04:00,2026-04-01 01:45:00-04:00,618.17,616.74,yes
KXBNB15M-26APR010200,Target Price: $618.17,2026-04-01 01:45:00-04:00,2026-04-01 02:00:00-04:00,617.08,618.17,no
KXBNB15M-26APR010215,Target Price: $617.08,2026-04-01 02:00:00-04:00,2026-04-01 02:15:00-04:00,617.85,617.08,yes
KXBNB15M-26APR010230,Target Price: $617.85,2026-04-01 02:15:00-04:00,2026-04-01 02:30:00-04:00,619.31,617.85,yes
KXBNB15M-26APR010245,Target Price: $619.31,2026-04-01 02:30:00-04:00,2026-04-01 02:45:00-04:00,621.03,619.31,yes
KXBNB15M-26APR010300,Target Price: $621.03,2026-04-01 02:45:00-04:00,2026-04-01 03:00:00-04:00,619.26,621.03,no
KXBNB15M-26APR010315,Target Price: $619.26,2026-04-01 03:00:00-04:00,2026-04-01 03:15:00-04:00,620.24,619.26,yes
KXBNB15M-26APR010330,Target Price: $620.24,2026-04-01 03:15:00-04:00,2026-04-01 03:30:00-04:00,618.31,620.24,no
KXBNB15M-26APR010345,Target Price: $618.31,2026-04-01 03:30:00-04:00,2026-04-01 03:45:00-04:00,617.17,618.31,no
KXBNB15M-26APR010400,Target Price: $617.17,2026-04-01 03:45:00-04:00,2026-04-01 04:00:00-04:00,616.15,617.17,no
KXBNB15M-26APR010415,Target Price: $616.15,2026-04-01 04:00:00-04:00,2026-04-01 04:15:00-04:00,615.39,616.15,no
KXBNB15M-26APR010430,Target Price: $615.39,2026-04-01 04:15:00-04:00,2026-04-01 04:30:00-04:00,616.53,615.39,yes
KXBNB15M-26APR010445,Target Price: $616.53,2026-04-01 04:30:00-04:00,2026-04-01 04:45:00-04:00,616.35,616.53,no
KXBNB15M-26APR010500,Target Price: $616.35,2026-04-01 04:45:00-04:00,2026-04-01 05:00:00-04:00,615.35,616.35,no
KXBNB15M-26APR010515,Target Price: $615.35,2026-04-01 05:00:00-04:00,2026-04-01 05:15:00-04:00,614.45,615.35,no
KXBNB15M-26APR010530,Target Price: $614.45,2026-04-01 05:15:00-04:00,2026-04-01 05:30:00-04:00,614.52,614.45,yes
KXBNB15M-26APR010545,Target Price: $614.52,2026-04-01 05:30:00-04:00,2026-04-01 05:45:00-04:00,614.14,614.52,no
KXBNB15M-26APR010600,Target Price: $614.14,2026-04-01 05:45:00-04:00,2026-04-01 06:00:00-04:00,615.48,614.14,yes
KXBNB15M-26APR010615,Target Price: $615.48,2026-04-01 06:00:00-04:00,2026-04-01 06:15:00-04:00,615.37,615.48,no
KXBNB15M-26APR010630,Target Price: $615.37,2026-04-01 06:15:00-04:00,2026-04-01 06:30:00-04:00,614.97,615.37,no
KXBNB15M-26APR010645,Target Price: $614.97,2026-04-01 06:30:00-04:00,2026-04-01 06:45:00-04:00,614.72,614.97,no
KXBNB15M-26APR010700,Target Price: $614.72,2026-04-01 06:45:00-04:00,2026-04-01 07:00:00-04:00,614.39,614.72,no
KXBNB15M-26APR010715,Target Price: $614.39,2026-04-01 07:00:00-04:00,2026-04-01 07:15:00-04:00,615.0,614.39,yes
KXBNB15M-26APR010730,Target Price: $615.00,2026-04-01 07:15:00-04:00,2026-04-01 07:30:00-04:00,614.75,615.0,no
KXBNB15M-26APR010745,Target Price: $614.75,2026-04-01 07:30:00-04:00,2026-04-01 07:45:00-04:00,614.75,614.75,yes
KXBNB15M-26APR010800,Target Price: $614.75,2026-04-01 07:45:00-04:00,2026-04-01 08:00:00-04:00,615.19,614.75,yes
KXBNB15M-26APR010815,Target Price: $615.19,2026-04-01 08:00:00-04:00,2026-04-01 08:15:00-04:00,614.39,615.19,no
KXBNB15M-26APR010830,Target Price: $614.39,2026-04-01 08:15:00-04:00,2026-04-01 08:30:00-04:00,614.47,614.39,yes
KXBNB15M-26APR010845,Target Price: $614.47,2026-04-01 08:30:00-04:00,2026-04-01 08:45:00-04:00,613.98,614.47,no
KXBNB15M-26APR010900,Target Price: $613.98,2026-04-01 08:45:00-04:00,2026-04-01 09:00:00-04:00,614.41,613.98,yes
KXBNB15M-26APR010915,Target Price: $614.41,2026-04-01 09:00:00-04:00,2026-04-01 09:15:00-04:00,615.24,614.41,yes
KXBNB15M-26APR010930,Target Price: $615.24,2026-04-01 09:15:00-04:00,2026-04-01 09:30:00-04:00,615.8,615.24,yes
KXBNB15M-26APR010945,Target Price: $615.80,2026-04-01 09:30:00-04:00,2026-04-01 09:45:00-04:00,610.61,615.8,no
KXBNB15M-26APR011000,Target Price: $610.61,2026-04-01 09:45:00-04:00,2026-04-01 10:00:00-04:00,610.86,610.61,yes
KXBNB15M-26APR011015,Target Price: $610.86,2026-04-01 10:00:00-04:00,2026-04-01 10:15:00-04:00,611.7,610.86,yes
KXBNB15M-26APR011030,Target Price: $611.70,2026-04-01 10:15:00-04:00,2026-04-01 10:30:00-04:00,613.06,611.7,yes
KXBNB15M-26APR011045,Target Price: $613.06,2026-04-01 10:30:00-04:00,2026-04-01 10:45:00-04:00,612.44,613.06,no
KXBNB15M-26APR011100,Target Price: $612.44,2026-04-01 10:45:00-04:00,2026-04-01 11:00:00-04:00,613.69,612.44,yes
KXBNB15M-26APR011115,Target Price: $613.69,2026-04-01 11:00:00-04:00,2026-04-01 11:15:00-04:00,612.32,613.69,no
KXBNB15M-26APR011130,Target Price: $612.32,2026-04-01 11:15:00-04:00,2026-04-01 11:30:00-04:00,613.91,612.32,yes
KXBNB15M-26APR011145,Target Price: $613.91,2026-04-01 11:30:00-04:00,2026-04-01 11:45:00-04:00,613.77,613.91,no
KXBNB15M-26APR011200,Target Price: $613.77,2026-04-01 11:45:00-04:00,2026-04-01 12:00:00-04:00,614.74,613.77,yes
KXBNB15M-26APR011215,Target Price: $614.74,2026-04-01 12:00:00-04:00,2026-04-01 12:15:00-04:00,613.22,614.74,no
KXBNB15M-26APR011230,Target Price: $613.22,2026-04-01 12:15:00-04:00,2026-04-01 12:30:00-04:00,615.35,613.22,yes
KXBNB15M-26APR011245,Target Price: $615.35,2026-04-01 12:30:00-04:00,2026-04-01 12:45:00-04:00,616.67,615.35,yes
KXBNB15M-26APR011300,Target Price: $616.67,2026-04-01 12:45:00-04:00,2026-04-01 13:00:00-04:00,616.34,616.67,no
KXBNB15M-26APR011315,Target Price: $616.34,2026-04-01 13:00:00-04:00,2026-04-01 13:15:00-04:00,616.28,616.34,no
KXBNB15M-26APR011330,Target Price: $616.28,2026-04-01 13:15:00-04:00,2026-04-01 13:30:00-04:00,614.93,616.28,no
KXBNB15M-26APR011345,Target Price: $614.93,2026-04-01 13:30:00-04:00,2026-04-01 13:45:00-04:00,614.83,614.93,no
KXBNB15M-26APR011400,Target Price: $614.83,2026-04-01 13:45:00-04:00,2026-04-01 14:00:00-04:00,614.02,614.83,no
KXBNB15M-26APR011415,Target Price: $614.02,2026-04-01 14:00:00-04:00,2026-04-01 14:15:00-04:00,613.38,614.02,no
KXBNB15M-26APR011430,Target Price: $613.38,2026-04-01 14:15:00-04:00,2026-04-01 14:30:00-04:00,613.23,613.38,no
KXBNB15M-26APR011445,Target Price: $613.23,2026-04-01 14:30:00-04:00,2026-04-01 14:45:00-04:00,613.97,613.23,yes
KXBNB15M-26APR011500,Target Price: $613.97,2026-04-01 14:45:00-04:00,2026-04-01 15:00:00-04:00,612.93,613.97,no
KXBNB15M-26APR011515,Target Price: $612.93,2026-04-01 15:00:00-04:00,2026-04-01 15:15:00-04:00,613.18,612.93,yes
KXBNB15M-26APR011530,Target Price: $613.18,2026-04-01 15:15:00-04:00,2026-04-01 15:30:00-04:00,613.43,613.18,yes
KXBNB15M-26APR011545,Target Price: $613.43,2026-04-01 15:30:00-04:00,2026-04-01 15:45:00-04:00,613.94,613.43,yes
KXBNB15M-26APR011600,Target Price: $613.94,2026-04-01 15:45:00-04:00,2026-04-01 16:00:00-04:00,613.59,613.94,no
KXBNB15M-26APR011615,Target Price: $613.59,2026-04-01 16:00:00-04:00,2026-04-01 16:15:00-04:00,611.88,613.59,no
KXBNB15M-26APR011630,Target Price: $611.88,2026-04-01 16:15:00-04:00,2026-04-01 16:30:00-04:00,611.3,611.88,no
KXBNB15M-26APR011645,Target Price: $611.30,2026-04-01 16:30:00-04:00,2026-04-01 16:45:00-04:00,612.32,611.3,yes
KXBNB15M-26APR011700,Target Price: $612.32,2026-04-01 16:45:00-04:00,2026-04-01 17:00:00-04:00,613.47,612.32,yes
KXBNB15M-26APR011715,Target Price: $613.47,2026-04-01 17:00:00-04:00,2026-04-01 17:15:00-04:00,614.68,613.47,yes
KXBNB15M-26APR011730,Target Price: $614.68,2026-04-01 17:15:00-04:00,2026-04-01 17:30:00-04:00,615.3,614.68,yes
KXBNB15M-26APR011745,Target Price: $615.30,2026-04-01 17:30:00-04:00,2026-04-01 17:45:00-04:00,614.81,615.3,no
KXBNB15M-26APR011800,Target Price: $614.81,2026-04-01 17:45:00-04:00,2026-04-01 18:00:00-04:00,614.78,614.81,no
KXBNB15M-26APR011815,Target Price: $614.78,2026-04-01 18:00:00-04:00,2026-04-01 18:15:00-04:00,612.37,614.78,no
KXBNB15M-26APR011830,Target Price: $612.37,2026-04-01 18:15:00-04:00,2026-04-01 18:30:00-04:00,610.74,612.37,no
