event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXETH15M-25DEC101700,"Price to beat: $3,355.38",2025-12-10 16:45:00-05:00,2025-12-10 17:00:00-05:00,,,no
KXETH15M-25DEC101715,"Price to beat: $3,341.12",2025-12-10 17:00:00-05:00,2025-12-10 17:15:00-05:00,,,no
KXETH15M-25DEC101730,"Price to beat: $3,334.73",2025-12-10 17:15:00-05:00,2025-12-10 17:30:00-05:00,,,no
KXETH15M-25DEC101745,"Price to beat: $3,333.76",2025-12-10 17:30:00-05:00,2025-12-10 17:45:00-05:00,,,yes
KXETH15M-25DEC101800,"Price to beat: $3,349.33",2025-12-10 17:45:00-05:00,2025-12-10 18:00:00-05:00,,,no
KXETH15M-25DEC101815,"Price to beat: $3,349.02",2025-12-10 18:00:00-05:00,2025-12-10 18:15:00-05:00,,,no
KXETH15M-25DEC101830,"Price to beat: $3,342.52",2025-12-10 18:15:00-05:00,2025-12-10 18:30:00-05:00,,,no
KXETH15M-25DEC101845,"Price to beat: $3,332.75",2025-12-10 18:30:00-05:00,2025-12-10 18:45:00-05:00,,,no
KXETH15M-25DEC101900,"Price to beat: $3,328.60",2025-12-10 18:45:00-05:00,2025-12-10 19:00:00-05:00,,,no
KXETH15M-25DEC101915,"Price to beat: $3,324.01",2025-12-10 19:00:00-05:00,2025-12-10 19:15:00-05:00,,,no
KXETH15M-25DEC101930,"Price to beat: $3,323.73",2025-12-10 19:15:00-05:00,2025-12-10 19:30:00-05:00,,,no
KXETH15M-25DEC101945,"Price to beat: $3,313.87",2025-12-10 19:30:00-05:00,2025-12-10 19:45:00-05:00,,,no
KXETH15M-25DEC102000,"Price to beat: $3,280.54",2025-12-10 19:45:00-05:00,2025-12-10 20:00:00-05:00,,,no
KXETH15M-25DEC102015,"Price to beat: $3,279.16",2025-12-10 20:00:00-05:00,2025-12-10 20:15:00-05:00,,,no
KXETH15M-25DEC102030,"Price to beat: $3,258.90",2025-12-10 20:15:00-05:00,2025-12-10 20:30:00-05:00,,,yes
KXETH15M-25DEC102045,"Price to beat: $3,265.49",2025-12-10 20:30:00-05:00,2025-12-10 20:45:00-05:00,,,yes
KXETH15M-25DEC102100,"Price to beat: $3,267.17",2025-12-10 20:45:00-05:00,2025-12-10 21:00:00-05:00,,,no
KXETH15M-25DEC102115,"Price to beat: $3,255.98",2025-12-10 21:00:00-05:00,2025-12-10 21:15:00-05:00,,,no
KXETH15M-25DEC102130,"Price to beat: $3,230.49",2025-12-10 21:15:00-05:00,2025-12-10 21:30:00-05:00,,,no
KXETH15M-25DEC102145,"Price to beat: $3,221.41",2025-12-10 21:30:00-05:00,2025-12-10 21:45:00-05:00,,,yes
KXETH15M-25DEC102200,"Price to beat: $3,223.57",2025-12-10 21:45:00-05:00,2025-12-10 22:00:00-05:00,,,no
KXETH15M-25DEC102215,"Price to beat: $3,209.86",2025-12-10 22:00:00-05:00,2025-12-10 22:15:00-05:00,,,no
KXETH15M-25DEC102230,"Price to beat: $3,178.27",2025-12-10 22:15:00-05:00,2025-12-10 22:30:00-05:00,,,no
KXETH15M-25DEC102245,"Price to beat: $3,177.38",2025-12-10 22:30:00-05:00,2025-12-10 22:45:00-05:00,,,yes
KXETH15M-25DEC102300,"Price to beat: $3,181.62",2025-12-10 22:45:00-05:00,2025-12-10 23:00:00-05:00,,,yes
KXETH15M-25DEC102315,"Price to beat: $3,192.22",2025-12-10 23:00:00-05:00,2025-12-10 23:15:00-05:00,,,yes
KXETH15M-25DEC102330,"Price to beat: $3,196.41",2025-12-10 23:15:00-05:00,2025-12-10 23:30:00-05:00,,,no
KXETH15M-25DEC102345,"Price to beat: $3,192.11",2025-12-10 23:30:00-05:00,2025-12-10 23:45:00-05:00,,,yes
KXETH15M-25DEC110000,"Price to beat: $3,195.95",2025-12-10 23:45:00-05:00,2025-12-11 00:00:00-05:00,,,yes
KXETH15M-25DEC110915,"Price to beat: $3,191.46",2025-12-11 09:00:00-05:00,2025-12-11 09:15:00-05:00,,,yes
KXETH15M-25DEC110930,"Price to beat: $3,193.12",2025-12-11 09:15:00-05:00,2025-12-11 09:30:00-05:00,,,no
KXETH15M-25DEC110945,"Price to beat: $3,187.71",2025-12-11 09:30:00-05:00,2025-12-11 09:45:00-05:00,,,no
KXETH15M-25DEC111000,"Price to beat: $3,186.41",2025-12-11 09:45:00-05:00,2025-12-11 10:00:00-05:00,,,no
KXETH15M-25DEC111015,"Price to beat: $3,164.25",2025-12-11 10:00:00-05:00,2025-12-11 10:15:00-05:00,,,yes
KXETH15M-25DEC111030,"Price to beat: $3,183.86",2025-12-11 10:15:00-05:00,2025-12-11 10:30:00-05:00,,,yes
KXETH15M-25DEC111045,"Price to beat: $3,193.08",2025-12-11 10:30:00-05:00,2025-12-11 10:45:00-05:00,,,no
