event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBNB15M-26MAY311945,Target Price: $708.62,2026-05-31 19:30:00-04:00,2026-05-31 19:45:00-04:00,706.52,708.62,no
KXBNB15M-26MAY311930,Target Price: $709.71,2026-05-31 19:15:00-04:00,2026-05-31 19:30:00-04:00,708.62,709.71,no
KXBNB15M-26MAY311915,Target Price: $711.03,2026-05-31 19:00:00-04:00,2026-05-31 19:15:00-04:00,709.71,711.03,no
KXBNB15M-26MAY311900,Target Price: $712.67,2026-05-31 18:45:00-04:00,2026-05-31 19:00:00-04:00,711.03,712.67,no
KXBNB15M-26MAY311845,Target Price: $710.84,2026-05-31 18:30:00-04:00,2026-05-31 18:45:00-04:00,712.67,710.84,yes
KXBNB15M-26MAY311830,Target Price: $709.92,2026-05-31 18:15:00-04:00,2026-05-31 18:30:00-04:00,710.84,709.92,yes
KXBNB15M-26MAY311815,Target Price: $710.49,2026-05-31 18:00:00-04:00,2026-05-31 18:15:00-04:00,709.92,710.49,no
KXBNB15M-26MAY311800,Target Price: $709.68,2026-05-31 17:45:00-04:00,2026-05-31 18:00:00-04:00,710.49,709.68,yes
KXBNB15M-26MAY311745,Target Price: $707.01,2026-05-31 17:30:00-04:00,2026-05-31 17:45:00-04:00,709.68,707.01,yes
KXBNB15M-26MAY311730,Target Price: $707.05,2026-05-31 17:15:00-04:00,2026-05-31 17:30:00-04:00,707.01,707.05,no
KXBNB15M-26MAY311715,Target Price: $709.47,2026-05-31 17:00:00-04:00,2026-05-31 17:15:00-04:00,707.05,709.47,no
KXBNB15M-26MAY311700,Target Price: $709.05,2026-05-31 16:45:00-04:00,2026-05-31 17:00:00-04:00,709.47,709.05,yes
KXBNB15M-26MAY311645,Target Price: $709.59,2026-05-31 16:30:00-04:00,2026-05-31 16:45:00-04:00,709.05,709.59,no
KXBNB15M-26MAY311630,Target Price: $708.85,2026-05-31 16:15:00-04:00,2026-05-31 16:30:00-04:00,709.59,708.85,yes
KXBNB15M-26MAY311615,Target Price: $707.99,2026-05-31 16:00:00-04:00,2026-05-31 16:15:00-04:00,708.85,707.99,yes
KXBNB15M-26MAY311600,Target Price: $708.70,2026-05-31 15:45:00-04:00,2026-05-31 16:00:00-04:00,707.99,708.7,no
KXBNB15M-26MAY311545,Target Price: $707.38,2026-05-31 15:30:00-04:00,2026-05-31 15:45:00-04:00,708.70,707.38,yes
KXBNB15M-26MAY311530,Target Price: $708.34,2026-05-31 15:15:00-04:00,2026-05-31 15:30:00-04:00,707.38,708.34,no
KXBNB15M-26MAY311515,Target Price: $709.04,2026-05-31 15:00:00-04:00,2026-05-31 15:15:00-04:00,708.34,709.04,no
KXBNB15M-26MAY311500,Target Price: $709.28,2026-05-31 14:45:00-04:00,2026-05-31 15:00:00-04:00,709.04,709.28,no
KXBNB15M-26MAY311445,Target Price: $710.41,2026-05-31 14:30:00-04:00,2026-05-31 14:45:00-04:00,709.28,710.41,no
KXBNB15M-26MAY311430,Target Price: $711.34,2026-05-31 14:15:00-04:00,2026-05-31 14:30:00-04:00,710.41,711.34,no
KXBNB15M-26MAY311415,Target Price: $713.38,2026-05-31 14:00:00-04:00,2026-05-31 14:15:00-04:00,711.34,713.38,no
KXBNB15M-26MAY311400,Target Price: $716.31,2026-05-31 13:45:00-04:00,2026-05-31 14:00:00-04:00,713.38,716.31,no
KXBNB15M-26MAY311345,Target Price: $712.57,2026-05-31 13:30:00-04:00,2026-05-31 13:45:00-04:00,716.31,712.57,yes
KXBNB15M-26MAY311330,Target Price: $711.26,2026-05-31 13:15:00-04:00,2026-05-31 13:30:00-04:00,712.57,711.26,yes
KXBNB15M-26MAY311315,Target Price: $708.29,2026-05-31 13:00:00-04:00,2026-05-31 13:15:00-04:00,711.26,708.29,yes
KXBNB15M-26MAY311300,Target Price: $707.28,2026-05-31 12:45:00-04:00,2026-05-31 13:00:00-04:00,708.29,707.28,yes
KXBNB15M-26MAY311245,Target Price: $710.68,2026-05-31 12:30:00-04:00,2026-05-31 12:45:00-04:00,707.28,710.68,no
KXBNB15M-26MAY311230,Target Price: $718.54,2026-05-31 12:15:00-04:00,2026-05-31 12:30:00-04:00,710.68,718.54,no
KXBNB15M-26MAY311215,Target Price: $720.19,2026-05-31 12:00:00-04:00,2026-05-31 12:15:00-04:00,718.54,720.19,no
KXBNB15M-26MAY311200,Target Price: $719.44,2026-05-31 11:45:00-04:00,2026-05-31 12:00:00-04:00,720.19,719.44,yes
KXBNB15M-26MAY311145,Target Price: $721.38,2026-05-31 11:30:00-04:00,2026-05-31 11:45:00-04:00,719.44,721.38,no
KXBNB15M-26MAY311130,Target Price: $720.82,2026-05-31 11:15:00-04:00,2026-05-31 11:30:00-04:00,721.38,720.82,yes
KXBNB15M-26MAY311115,Target Price: $719.35,2026-05-31 11:00:00-04:00,2026-05-31 11:15:00-04:00,720.82,719.35,yes
KXBNB15M-26MAY311100,Target Price: $719.30,2026-05-31 10:45:00-04:00,2026-05-31 11:00:00-04:00,719.35,719.3,yes
KXBNB15M-26MAY311045,Target Price: $722.21,2026-05-31 10:30:00-04:00,2026-05-31 10:45:00-04:00,719.30,722.21,no
KXBNB15M-26MAY311030,Target Price: $726.90,2026-05-31 10:15:00-04:00,2026-05-31 10:30:00-04:00,722.21,726.9,no
KXBNB15M-26MAY311015,Target Price: $726.75,2026-05-31 10:00:00-04:00,2026-05-31 10:15:00-04:00,726.90,726.75,yes
KXBNB15M-26MAY311000,Target Price: $727.20,2026-05-31 09:45:00-04:00,2026-05-31 10:00:00-04:00,726.75,727.2,no
KXBNB15M-26MAY310945,Target Price: $731.35,2026-05-31 09:30:00-04:00,2026-05-31 09:45:00-04:00,727.20,731.35,no
KXBNB15M-26MAY310930,Target Price: $725.91,2026-05-31 09:15:00-04:00,2026-05-31 09:30:00-04:00,731.35,725.91,yes
KXBNB15M-26MAY310915,Target Price: $724.34,2026-05-31 09:00:00-04:00,2026-05-31 09:15:00-04:00,725.91,724.34,yes
KXBNB15M-26MAY310900,Target Price: $724.76,2026-05-31 08:45:00-04:00,2026-05-31 09:00:00-04:00,724.34,724.76,no
KXBNB15M-26MAY310845,Target Price: $723.32,2026-05-31 08:30:00-04:00,2026-05-31 08:45:00-04:00,724.76,723.32,yes
KXBNB15M-26MAY310830,Target Price: $722.30,2026-05-31 08:15:00-04:00,2026-05-31 08:30:00-04:00,723.32,722.3,yes
KXBNB15M-26MAY310815,Target Price: $722.70,2026-05-31 08:00:00-04:00,2026-05-31 08:15:00-04:00,722.30,722.7,no
KXBNB15M-26MAY310800,Target Price: $721.99,2026-05-31 07:45:00-04:00,2026-05-31 08:00:00-04:00,722.70,721.99,yes
KXBNB15M-26MAY310745,Target Price: $722.69,2026-05-31 07:30:00-04:00,2026-05-31 07:45:00-04:00,721.99,722.69,no
KXBNB15M-26MAY310730,Target Price: $721.69,2026-05-31 07:15:00-04:00,2026-05-31 07:30:00-04:00,722.69,721.69,yes
KXBNB15M-26MAY310715,Target Price: $720.21,2026-05-31 07:00:00-04:00,2026-05-31 07:15:00-04:00,721.69,720.21,yes
KXBNB15M-26MAY310700,Target Price: $721.36,2026-05-31 06:45:00-04:00,2026-05-31 07:00:00-04:00,720.21,721.36,no
KXBNB15M-26MAY310645,Target Price: $722.20,2026-05-31 06:30:00-04:00,2026-05-31 06:45:00-04:00,721.36,722.2,no
KXBNB15M-26MAY310630,Target Price: $722.74,2026-05-31 06:15:00-04:00,2026-05-31 06:30:00-04:00,722.20,722.74,no
KXBNB15M-26MAY310615,Target Price: $719.19,2026-05-31 06:00:00-04:00,2026-05-31 06:15:00-04:00,722.74,719.19,yes
KXBNB15M-26MAY310600,Target Price: $722.80,2026-05-31 05:45:00-04:00,2026-05-31 06:00:00-04:00,719.19,722.8,no
KXBNB15M-26MAY310545,Target Price: $724.04,2026-05-31 05:30:00-04:00,2026-05-31 05:45:00-04:00,722.80,724.04,no
KXBNB15M-26MAY310530,Target Price: $722.57,2026-05-31 05:15:00-04:00,2026-05-31 05:30:00-04:00,724.04,722.57,yes
KXBNB15M-26MAY310515,Target Price: $723.13,2026-05-31 05:00:00-04:00,2026-05-31 05:15:00-04:00,722.57,723.13,no
KXBNB15M-26MAY310500,Target Price: $721.97,2026-05-31 04:45:00-04:00,2026-05-31 05:00:00-04:00,723.13,721.97,yes
KXBNB15M-26MAY310445,Target Price: $724.08,2026-05-31 04:30:00-04:00,2026-05-31 04:45:00-04:00,721.97,724.08,no
KXBNB15M-26MAY310430,Target Price: $722.58,2026-05-31 04:15:00-04:00,2026-05-31 04:30:00-04:00,724.08,722.58,yes
KXBNB15M-26MAY310415,Target Price: $719.01,2026-05-31 04:00:00-04:00,2026-05-31 04:15:00-04:00,722.58,719.01,yes
KXBNB15M-26MAY310400,Target Price: $720.83,2026-05-31 03:45:00-04:00,2026-05-31 04:00:00-04:00,719.01,720.83,no
KXBNB15M-26MAY310345,Target Price: $723.73,2026-05-31 03:30:00-04:00,2026-05-31 03:45:00-04:00,720.83,723.73,no
KXBNB15M-26MAY310330,Target Price: $727.82,2026-05-31 03:15:00-04:00,2026-05-31 03:30:00-04:00,723.73,727.82,no
KXBNB15M-26MAY310315,Target Price: $734.94,2026-05-31 03:00:00-04:00,2026-05-31 03:15:00-04:00,727.82,734.94,no
