event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26JUL011830,"Target Price: $60,760.25",2026-07-01 18:15:00-04:00,2026-07-01 18:30:00-04:00,60598.39,60760.25,no
KXBTC15M-26JUL011815,"Target Price: $60,760.82",2026-07-01 18:00:00-04:00,2026-07-01 18:15:00-04:00,60760.25,60760.82,no
KXBTC15M-26JUL011800,"Target Price: $60,756.42",2026-07-01 17:45:00-04:00,2026-07-01 18:00:00-04:00,60760.82,60756.42,yes
KXBTC15M-26JUL011745,"Target Price: $60,477.52",2026-07-01 17:30:00-04:00,2026-07-01 17:45:00-04:00,60756.42,60477.52,yes
KXBTC15M-26JUL011730,"Target Price: $60,363.22",2026-07-01 17:15:00-04:00,2026-07-01 17:30:00-04:00,60477.52,60363.22,yes
KXBTC15M-26JUL011715,"Target Price: $60,072.59",2026-07-01 17:00:00-04:00,2026-07-01 17:15:00-04:00,60363.22,60072.59,yes
KXBTC15M-26JUL011700,"Target Price: $59,983.17",2026-07-01 16:45:00-04:00,2026-07-01 17:00:00-04:00,60072.59,59983.17,yes
KXBTC15M-26JUL011645,"Target Price: $59,915.58",2026-07-01 16:30:00-04:00,2026-07-01 16:45:00-04:00,59983.17,59915.58,yes
KXBTC15M-26JUL011630,"Target Price: $59,954.61",2026-07-01 16:15:00-04:00,2026-07-01 16:30:00-04:00,59915.58,59954.61,no
KXBTC15M-26JUL011615,"Target Price: $59,973.66",2026-07-01 16:00:00-04:00,2026-07-01 16:15:00-04:00,59954.61,59973.66,no
KXBTC15M-26JUL011600,"Target Price: $60,155.28",2026-07-01 15:45:00-04:00,2026-07-01 16:00:00-04:00,59973.66,60155.28,no
KXBTC15M-26JUL011545,"Target Price: $60,100.72",2026-07-01 15:30:00-04:00,2026-07-01 15:45:00-04:00,60155.28,60100.72,yes
KXBTC15M-26JUL011530,"Target Price: $60,226.14",2026-07-01 15:15:00-04:00,2026-07-01 15:30:00-04:00,60100.72,60226.14,no
KXBTC15M-26JUL011515,"Target Price: $60,113.35",2026-07-01 15:00:00-04:00,2026-07-01 15:15:00-04:00,60226.14,60113.35,yes
KXBTC15M-26JUL011500,"Target Price: $60,141.98",2026-07-01 14:45:00-04:00,2026-07-01 15:00:00-04:00,60113.35,60141.98,no
KXBTC15M-26JUL011445,"Target Price: $60,083.28",2026-07-01 14:30:00-04:00,2026-07-01 14:45:00-04:00,60141.98,60083.28,yes
KXBTC15M-26JUL011430,"Target Price: $60,011.67",2026-07-01 14:15:00-04:00,2026-07-01 14:30:00-04:00,60083.28,60011.67,yes
KXBTC15M-26JUL011415,"Target Price: $60,129.14",2026-07-01 14:00:00-04:00,2026-07-01 14:15:00-04:00,60011.67,60129.14,no
KXBTC15M-26JUL011400,"Target Price: $60,107.76",2026-07-01 13:45:00-04:00,2026-07-01 14:00:00-04:00,60129.14,60107.76,yes
KXBTC15M-26JUL011345,"Target Price: $60,088.50",2026-07-01 13:30:00-04:00,2026-07-01 13:45:00-04:00,60107.76,60088.5,yes
KXBTC15M-26JUL011330,"Target Price: $59,836.25",2026-07-01 13:15:00-04:00,2026-07-01 13:30:00-04:00,60088.50,59836.25,yes
KXBTC15M-26JUL011315,"Target Price: $59,855.78",2026-07-01 13:00:00-04:00,2026-07-01 13:15:00-04:00,59836.25,59855.78,no
KXBTC15M-26JUL011300,"Target Price: $60,005.42",2026-07-01 12:45:00-04:00,2026-07-01 13:00:00-04:00,59855.78,60005.42,no
KXBTC15M-26JUL011245,"Target Price: $60,107.64",2026-07-01 12:30:00-04:00,2026-07-01 12:45:00-04:00,60005.42,60107.64,no
KXBTC15M-26JUL011230,"Target Price: $60,094.63",2026-07-01 12:15:00-04:00,2026-07-01 12:30:00-04:00,60107.64,60094.63,yes
KXBTC15M-26JUL011215,"Target Price: $60,103.86",2026-07-01 12:00:00-04:00,2026-07-01 12:15:00-04:00,60094.63,60103.86,no
KXBTC15M-26JUL011200,"Target Price: $60,177.22",2026-07-01 11:45:00-04:00,2026-07-01 12:00:00-04:00,60103.86,60177.22,no
KXBTC15M-26JUL011145,"Target Price: $60,259.28",2026-07-01 11:30:00-04:00,2026-07-01 11:45:00-04:00,60177.22,60259.28,no
KXBTC15M-26JUL011130,"Target Price: $59,864.23",2026-07-01 11:15:00-04:00,2026-07-01 11:30:00-04:00,60259.28,59864.23,yes
KXBTC15M-26JUL011115,"Target Price: $59,463.23",2026-07-01 11:00:00-04:00,2026-07-01 11:15:00-04:00,59864.23,59463.23,yes
KXBTC15M-26JUL011100,"Target Price: $59,580.97",2026-07-01 10:45:00-04:00,2026-07-01 11:00:00-04:00,59463.23,59580.97,no
KXBTC15M-26JUL011045,"Target Price: $59,742.45",2026-07-01 10:30:00-04:00,2026-07-01 10:45:00-04:00,59580.97,59742.45,no
KXBTC15M-26JUL011030,"Target Price: $59,887.91",2026-07-01 10:15:00-04:00,2026-07-01 10:30:00-04:00,59742.45,59887.91,no
KXBTC15M-26JUL011015,"Target Price: $59,361.61",2026-07-01 10:00:00-04:00,2026-07-01 10:15:00-04:00,59887.91,59361.61,yes
KXBTC15M-26JUL011000,"Target Price: $58,934.82",2026-07-01 09:45:00-04:00,2026-07-01 10:00:00-04:00,59361.61,58934.82,yes
KXBTC15M-26JUL010945,"Target Price: $58,718.33",2026-07-01 09:30:00-04:00,2026-07-01 09:45:00-04:00,58934.82,58718.33,yes
KXBTC15M-26JUL010930,"Target Price: $58,610.65",2026-07-01 09:15:00-04:00,2026-07-01 09:30:00-04:00,58718.33,58610.65,yes
KXBTC15M-26JUL010915,"Target Price: $58,455.54",2026-07-01 09:00:00-04:00,2026-07-01 09:15:00-04:00,58610.65,58455.54,yes
KXBTC15M-26JUL010900,"Target Price: $58,334.28",2026-07-01 08:45:00-04:00,2026-07-01 09:00:00-04:00,58455.54,58334.28,yes
KXBTC15M-26JUL010845,"Target Price: $58,500.73",2026-07-01 08:30:00-04:00,2026-07-01 08:45:00-04:00,58334.28,58500.73,no
KXBTC15M-26JUL010830,"Target Price: $58,372.12",2026-07-01 08:15:00-04:00,2026-07-01 08:30:00-04:00,58500.73,58372.12,yes
KXBTC15M-26JUL010815,"Target Price: $58,558.01",2026-07-01 08:00:00-04:00,2026-07-01 08:15:00-04:00,58372.12,58558.01,no
KXBTC15M-26JUL010800,"Target Price: $58,606.04",2026-07-01 07:45:00-04:00,2026-07-01 08:00:00-04:00,58558.01,58606.04,no
KXBTC15M-26JUL010745,"Target Price: $58,637.43",2026-07-01 07:30:00-04:00,2026-07-01 07:45:00-04:00,58606.04,58637.43,no
KXBTC15M-26JUL010730,"Target Price: $58,651.31",2026-07-01 07:15:00-04:00,2026-07-01 07:30:00-04:00,58637.43,58651.31,no
KXBTC15M-26JUL010715,"Target Price: $58,594.50",2026-07-01 07:00:00-04:00,2026-07-01 07:15:00-04:00,58651.31,58594.5,yes
KXBTC15M-26JUL010700,"Target Price: $58,565.16",2026-07-01 06:45:00-04:00,2026-07-01 07:00:00-04:00,58594.50,58565.16,yes
KXBTC15M-26JUL010645,"Target Price: $58,675.36",2026-07-01 06:30:00-04:00,2026-07-01 06:45:00-04:00,58565.16,58675.36,no
KXBTC15M-26JUL010630,"Target Price: $58,702.20",2026-07-01 06:15:00-04:00,2026-07-01 06:30:00-04:00,58675.36,58702.2,no
KXBTC15M-26JUL010615,"Target Price: $58,877.16",2026-07-01 06:00:00-04:00,2026-07-01 06:15:00-04:00,58702.20,58877.16,no
KXBTC15M-26JUL010600,"Target Price: $58,812.82",2026-07-01 05:45:00-04:00,2026-07-01 06:00:00-04:00,58877.16,58812.82,yes
