event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26JUN101415,"Target Price: $61,929.58",2026-06-10 14:00:00-04:00,2026-06-10 14:15:00-04:00,61906.08,61929.58,no
KXBTC15M-26JUN101400,"Target Price: $61,727.54",2026-06-10 13:45:00-04:00,2026-06-10 14:00:00-04:00,61929.58,61727.54,yes
KXBTC15M-26JUN101345,"Target Price: $61,891.97",2026-06-10 13:30:00-04:00,2026-06-10 13:45:00-04:00,61727.54,61891.97,no
KXBTC15M-26JUN101330,"Target Price: $62,027.34",2026-06-10 13:15:00-04:00,2026-06-10 13:30:00-04:00,61891.97,62027.34,no
KXBTC15M-26JUN101315,"Target Price: $62,163.36",2026-06-10 13:00:00-04:00,2026-06-10 13:15:00-04:00,62027.34,62163.36,no
KXBTC15M-26JUN101300,"Target Price: $62,193.49",2026-06-10 12:45:00-04:00,2026-06-10 13:00:00-04:00,62163.36,62193.49,no
KXBTC15M-26JUN101245,"Target Price: $62,214.03",2026-06-10 12:30:00-04:00,2026-06-10 12:45:00-04:00,62193.49,62214.03,no
KXBTC15M-26JUN101230,"Target Price: $62,301.17",2026-06-10 12:15:00-04:00,2026-06-10 12:30:00-04:00,62214.03,62301.17,no
KXBTC15M-26JUN101215,"Target Price: $62,587.28",2026-06-10 12:00:00-04:00,2026-06-10 12:15:00-04:00,62301.17,62587.28,no
KXBTC15M-26JUN101200,"Target Price: $62,346.72",2026-06-10 11:45:00-04:00,2026-06-10 12:00:00-04:00,62587.28,62346.72,yes
KXBTC15M-26JUN101145,"Target Price: $62,242.26",2026-06-10 11:30:00-04:00,2026-06-10 11:45:00-04:00,62346.72,62242.26,yes
KXBTC15M-26JUN101130,"Target Price: $61,925.93",2026-06-10 11:15:00-04:00,2026-06-10 11:30:00-04:00,62242.26,61925.93,yes
KXBTC15M-26JUN101115,"Target Price: $62,080.25",2026-06-10 11:00:00-04:00,2026-06-10 11:15:00-04:00,61925.93,62080.25,no
KXBTC15M-26JUN101100,"Target Price: $61,964.26",2026-06-10 10:45:00-04:00,2026-06-10 11:00:00-04:00,62080.25,61964.26,yes
KXBTC15M-26JUN101045,"Target Price: $62,002.68",2026-06-10 10:30:00-04:00,2026-06-10 10:45:00-04:00,61964.26,62002.68,no
KXBTC15M-26JUN101030,"Target Price: $62,021.62",2026-06-10 10:15:00-04:00,2026-06-10 10:30:00-04:00,62002.68,62021.62,no
KXBTC15M-26JUN101015,"Target Price: $62,069.72",2026-06-10 10:00:00-04:00,2026-06-10 10:15:00-04:00,62021.62,62069.72,no
KXBTC15M-26JUN101000,"Target Price: $62,283.43",2026-06-10 09:45:00-04:00,2026-06-10 10:00:00-04:00,62069.72,62283.43,no
KXBTC15M-26JUN100945,"Target Price: $61,496.37",2026-06-10 09:30:00-04:00,2026-06-10 09:45:00-04:00,62283.43,61496.37,yes
KXBTC15M-26JUN100930,"Target Price: $61,476.38",2026-06-10 09:15:00-04:00,2026-06-10 09:30:00-04:00,61496.37,61476.38,yes
