event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26JUN210615,"Target Price: $64,130.93",2026-06-21 06:00:00-04:00,2026-06-21 06:15:00-04:00,64200.84,64130.93,yes
KXBTC15M-26JUN210600,"Target Price: $64,054.33",2026-06-21 05:45:00-04:00,2026-06-21 06:00:00-04:00,64130.93,64054.33,yes
KXBTC15M-26JUN210545,"Target Price: $63,978.83",2026-06-21 05:30:00-04:00,2026-06-21 05:45:00-04:00,64054.33,63978.83,yes
KXBTC15M-26JUN210530,"Target Price: $63,901.85",2026-06-21 05:15:00-04:00,2026-06-21 05:30:00-04:00,63978.83,63901.85,yes
KXBTC15M-26JUN210515,"Target Price: $63,929.72",2026-06-21 05:00:00-04:00,2026-06-21 05:15:00-04:00,63901.85,63929.72,no
KXBTC15M-26JUN210500,"Target Price: $63,892.08",2026-06-21 04:45:00-04:00,2026-06-21 05:00:00-04:00,63929.72,63892.08,yes
KXBTC15M-26JUN210445,"Target Price: $63,982.11",2026-06-21 04:30:00-04:00,2026-06-21 04:45:00-04:00,63892.08,63982.11,no
KXBTC15M-26JUN210430,"Target Price: $64,061.08",2026-06-21 04:15:00-04:00,2026-06-21 04:30:00-04:00,63982.11,64061.08,no
KXBTC15M-26JUN210415,"Target Price: $64,125.01",2026-06-21 04:00:00-04:00,2026-06-21 04:15:00-04:00,64061.08,64125.01,no
KXBTC15M-26JUN210400,"Target Price: $64,144.67",2026-06-21 03:45:00-04:00,2026-06-21 04:00:00-04:00,64125.01,64144.67,no
KXBTC15M-26JUN210345,"Target Price: $64,109.40",2026-06-21 03:30:00-04:00,2026-06-21 03:45:00-04:00,64144.67,64109.4,yes
KXBTC15M-26JUN210330,"Target Price: $64,183.48",2026-06-21 03:15:00-04:00,2026-06-21 03:30:00-04:00,64109.40,64183.48,no
KXBTC15M-26JUN210315,"Target Price: $64,216.89",2026-06-21 03:00:00-04:00,2026-06-21 03:15:00-04:00,64183.48,64216.89,no
KXBTC15M-26JUN210300,"Target Price: $64,237.65",2026-06-21 02:45:00-04:00,2026-06-21 03:00:00-04:00,64216.89,64237.65,no
KXBTC15M-26JUN210245,"Target Price: $64,202.91",2026-06-21 02:30:00-04:00,2026-06-21 02:45:00-04:00,64237.65,64202.91,yes
KXBTC15M-26JUN210230,"Target Price: $64,140.13",2026-06-21 02:15:00-04:00,2026-06-21 02:30:00-04:00,64202.91,64140.13,yes
KXBTC15M-26JUN210215,"Target Price: $64,181.75",2026-06-21 02:00:00-04:00,2026-06-21 02:15:00-04:00,64140.13,64181.75,no
KXBTC15M-26JUN210200,"Target Price: $64,237.18",2026-06-21 01:45:00-04:00,2026-06-21 02:00:00-04:00,64181.75,64237.18,no
KXBTC15M-26JUN210145,"Target Price: $64,225.33",2026-06-21 01:30:00-04:00,2026-06-21 01:45:00-04:00,64237.18,64225.33,yes
KXBTC15M-26JUN210130,"Target Price: $64,174.21",2026-06-21 01:15:00-04:00,2026-06-21 01:30:00-04:00,64225.33,64174.21,yes
KXBTC15M-26JUN210115,"Target Price: $64,209.52",2026-06-21 01:00:00-04:00,2026-06-21 01:15:00-04:00,64174.21,64209.52,no
KXBTC15M-26JUN210100,"Target Price: $64,426.11",2026-06-21 00:45:00-04:00,2026-06-21 01:00:00-04:00,64209.52,64426.11,no
KXBTC15M-26JUN210045,"Target Price: $64,457.97",2026-06-21 00:30:00-04:00,2026-06-21 00:45:00-04:00,64426.11,64457.97,no
KXBTC15M-26JUN210030,"Target Price: $64,329.42",2026-06-21 00:15:00-04:00,2026-06-21 00:30:00-04:00,64457.97,64329.42,yes
KXBTC15M-26JUN210015,"Target Price: $64,357.64",2026-06-21 00:00:00-04:00,2026-06-21 00:15:00-04:00,64329.42,64357.64,no
KXBTC15M-26JUN210000,"Target Price: $64,368.30",2026-06-20 23:45:00-04:00,2026-06-21 00:00:00-04:00,64357.64,64368.3,no
KXBTC15M-26JUN202345,"Target Price: $64,299.02",2026-06-20 23:30:00-04:00,2026-06-20 23:45:00-04:00,64368.30,64299.02,yes
KXBTC15M-26JUN202330,"Target Price: $64,218.21",2026-06-20 23:15:00-04:00,2026-06-20 23:30:00-04:00,64299.02,64218.21,yes
KXBTC15M-26JUN202315,"Target Price: $64,180.14",2026-06-20 23:00:00-04:00,2026-06-20 23:15:00-04:00,64218.21,64180.14,yes
KXBTC15M-26JUN202300,"Target Price: $64,172.07",2026-06-20 22:45:00-04:00,2026-06-20 23:00:00-04:00,64180.14,64172.07,yes
KXBTC15M-26JUN202245,"Target Price: $64,160.44",2026-06-20 22:30:00-04:00,2026-06-20 22:45:00-04:00,64172.07,64160.44,yes
KXBTC15M-26JUN202230,"Target Price: $64,174.37",2026-06-20 22:15:00-04:00,2026-06-20 22:30:00-04:00,64160.44,64174.37,no
KXBTC15M-26JUN202215,"Target Price: $64,189.50",2026-06-20 22:00:00-04:00,2026-06-20 22:15:00-04:00,64174.37,64189.5,no
KXBTC15M-26JUN202200,"Target Price: $64,162.63",2026-06-20 21:45:00-04:00,2026-06-20 22:00:00-04:00,64189.50,64162.63,yes
KXBTC15M-26JUN202145,"Target Price: $64,162.95",2026-06-20 21:30:00-04:00,2026-06-20 21:45:00-04:00,64162.63,64162.95,no
