event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26JUL222115,"Target Price: $66,039.16",2026-07-22 21:00:00-04:00,2026-07-22 21:15:00-04:00,66010.86,66039.16,no
KXBTC15M-26JUL222100,"Target Price: $66,137.13",2026-07-22 20:45:00-04:00,2026-07-22 21:00:00-04:00,66039.16,66137.13,no
KXBTC15M-26JUL222045,"Target Price: $66,227.57",2026-07-22 20:30:00-04:00,2026-07-22 20:45:00-04:00,66137.13,66227.57,no
KXBTC15M-26JUL222030,"Target Price: $66,156.82",2026-07-22 20:15:00-04:00,2026-07-22 20:30:00-04:00,66227.57,66156.82,yes
KXBTC15M-26JUL222015,"Target Price: $66,086.19",2026-07-22 20:00:00-04:00,2026-07-22 20:15:00-04:00,66156.82,66086.19,yes
KXBTC15M-26JUL222000,"Target Price: $65,955.64",2026-07-22 19:45:00-04:00,2026-07-22 20:00:00-04:00,66086.19,65955.64,yes
KXBTC15M-26JUL221945,"Target Price: $65,958.67",2026-07-22 19:30:00-04:00,2026-07-22 19:45:00-04:00,65955.64,65958.67,no
KXBTC15M-26JUL221930,"Target Price: $65,877.21",2026-07-22 19:15:00-04:00,2026-07-22 19:30:00-04:00,65958.67,65877.21,yes
KXBTC15M-26JUL221915,"Target Price: $66,007.36",2026-07-22 19:00:00-04:00,2026-07-22 19:15:00-04:00,65877.21,66007.36,no
KXBTC15M-26JUL221900,"Target Price: $65,931.12",2026-07-22 18:45:00-04:00,2026-07-22 19:00:00-04:00,66007.36,65931.12,yes
KXBTC15M-26JUL221845,"Target Price: $65,996.77",2026-07-22 18:30:00-04:00,2026-07-22 18:45:00-04:00,65931.12,65996.77,no
KXBTC15M-26JUL221830,"Target Price: $65,983.86",2026-07-22 18:15:00-04:00,2026-07-22 18:30:00-04:00,65996.77,65983.86,yes
KXBTC15M-26JUL221815,"Target Price: $66,031.84",2026-07-22 18:00:00-04:00,2026-07-22 18:15:00-04:00,65983.86,66031.84,no
KXBTC15M-26JUL221800,"Target Price: $66,088.35",2026-07-22 17:45:00-04:00,2026-07-22 18:00:00-04:00,66031.84,66088.35,no
KXBTC15M-26JUL221745,"Target Price: $65,883.31",2026-07-22 17:30:00-04:00,2026-07-22 17:45:00-04:00,66088.35,65883.31,yes
KXBTC15M-26JUL221730,"Target Price: $65,896.38",2026-07-22 17:15:00-04:00,2026-07-22 17:30:00-04:00,65883.31,65896.38,no
KXBTC15M-26JUL221715,"Target Price: $65,888.27",2026-07-22 17:00:00-04:00,2026-07-22 17:15:00-04:00,65896.38,65888.27,yes
KXBTC15M-26JUL221700,"Target Price: $65,916.00",2026-07-22 16:45:00-04:00,2026-07-22 17:00:00-04:00,65888.27,65916.0,no
KXBTC15M-26JUL221645,"Target Price: $65,902.15",2026-07-22 16:30:00-04:00,2026-07-22 16:45:00-04:00,65916.00,65902.15,yes
