event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26AUG021145,"Target Price: $63,061.54",2026-08-02 11:30:00-04:00,2026-08-02 11:45:00-04:00,63086.72,63061.54,yes
KXBTC15M-26AUG021130,"Target Price: $63,061.96",2026-08-02 11:15:00-04:00,2026-08-02 11:30:00-04:00,63061.54,63061.96,no
KXBTC15M-26AUG021115,"Target Price: $63,011.43",2026-08-02 11:00:00-04:00,2026-08-02 11:15:00-04:00,63061.96,63011.43,yes
KXBTC15M-26AUG021100,"Target Price: $63,089.06",2026-08-02 10:45:00-04:00,2026-08-02 11:00:00-04:00,63011.43,63089.06,no
KXBTC15M-26AUG021045,"Target Price: $63,063.76",2026-08-02 10:30:00-04:00,2026-08-02 10:45:00-04:00,63089.06,63063.76,yes
KXBTC15M-26AUG021030,"Target Price: $63,022.14",2026-08-02 10:15:00-04:00,2026-08-02 10:30:00-04:00,63063.76,63022.14,yes
KXBTC15M-26AUG021015,"Target Price: $63,054.93",2026-08-02 10:00:00-04:00,2026-08-02 10:15:00-04:00,63022.14,63054.93,no
KXBTC15M-26AUG021000,"Target Price: $63,025.75",2026-08-02 09:45:00-04:00,2026-08-02 10:00:00-04:00,63054.93,63025.75,yes
KXBTC15M-26AUG020945,"Target Price: $63,031.98",2026-08-02 09:30:00-04:00,2026-08-02 09:45:00-04:00,63025.75,63031.98,no
KXBTC15M-26AUG020930,"Target Price: $63,059.25",2026-08-02 09:15:00-04:00,2026-08-02 09:30:00-04:00,63031.98,63059.25,no
KXBTC15M-26AUG020915,"Target Price: $63,067.07",2026-08-02 09:00:00-04:00,2026-08-02 09:15:00-04:00,63059.25,63067.07,no
KXBTC15M-26AUG020900,"Target Price: $63,085.82",2026-08-02 08:45:00-04:00,2026-08-02 09:00:00-04:00,63067.07,63085.82,no
KXBTC15M-26AUG020845,"Target Price: $63,129.33",2026-08-02 08:30:00-04:00,2026-08-02 08:45:00-04:00,63085.82,63129.33,no
KXBTC15M-26AUG020830,"Target Price: $63,099.64",2026-08-02 08:15:00-04:00,2026-08-02 08:30:00-04:00,63129.33,63099.64,yes
KXBTC15M-26AUG020815,"Target Price: $62,963.57",2026-08-02 08:00:00-04:00,2026-08-02 08:15:00-04:00,63099.64,62963.57,yes
KXBTC15M-26AUG020800,"Target Price: $63,053.16",2026-08-02 07:45:00-04:00,2026-08-02 08:00:00-04:00,62963.57,63053.16,no
KXBTC15M-26AUG020745,"Target Price: $63,113.88",2026-08-02 07:30:00-04:00,2026-08-02 07:45:00-04:00,63053.16,63113.88,no
KXBTC15M-26AUG020730,"Target Price: $63,091.63",2026-08-02 07:15:00-04:00,2026-08-02 07:30:00-04:00,63113.88,63091.63,yes
KXBTC15M-26AUG020715,"Target Price: $63,140.64",2026-08-02 07:00:00-04:00,2026-08-02 07:15:00-04:00,63091.63,63140.64,no
KXBTC15M-26AUG020700,"Target Price: $63,146.75",2026-08-02 06:45:00-04:00,2026-08-02 07:00:00-04:00,63140.64,63146.75,no
KXBTC15M-26AUG020645,"Target Price: $63,079.36",2026-08-02 06:30:00-04:00,2026-08-02 06:45:00-04:00,63146.75,63079.36,yes
KXBTC15M-26AUG020630,"Target Price: $63,149.09",2026-08-02 06:15:00-04:00,2026-08-02 06:30:00-04:00,63079.36,63149.09,no
KXBTC15M-26AUG020615,"Target Price: $63,213.40",2026-08-02 06:00:00-04:00,2026-08-02 06:15:00-04:00,63149.09,63213.4,no
KXBTC15M-26AUG020600,"Target Price: $63,214.41",2026-08-02 05:45:00-04:00,2026-08-02 06:00:00-04:00,63213.40,63214.41,no
KXBTC15M-26AUG020545,"Target Price: $63,179.83",2026-08-02 05:30:00-04:00,2026-08-02 05:45:00-04:00,63214.41,63179.83,yes
KXBTC15M-26AUG020530,"Target Price: $63,202.87",2026-08-02 05:15:00-04:00,2026-08-02 05:30:00-04:00,63179.83,63202.87,no
KXBTC15M-26AUG020515,"Target Price: $63,132.70",2026-08-02 05:00:00-04:00,2026-08-02 05:15:00-04:00,63202.87,63132.7,yes
KXBTC15M-26AUG020500,"Target Price: $63,189.23",2026-08-02 04:45:00-04:00,2026-08-02 05:00:00-04:00,63132.70,63189.23,no
KXBTC15M-26AUG020445,"Target Price: $63,333.72",2026-08-02 04:30:00-04:00,2026-08-02 04:45:00-04:00,63189.23,63333.72,no
KXBTC15M-26AUG020430,"Target Price: $63,434.09",2026-08-02 04:15:00-04:00,2026-08-02 04:30:00-04:00,63333.72,63434.09,no
KXBTC15M-26AUG020415,"Target Price: $63,428.41",2026-08-02 04:00:00-04:00,2026-08-02 04:15:00-04:00,63434.09,63428.41,yes
KXBTC15M-26AUG020400,"Target Price: $63,470.98",2026-08-02 03:45:00-04:00,2026-08-02 04:00:00-04:00,63428.41,63470.98,no
KXBTC15M-26AUG020345,"Target Price: $63,424.98",2026-08-02 03:30:00-04:00,2026-08-02 03:45:00-04:00,63470.98,63424.98,yes
