event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXSOL15M-26AUG120000,Target price: TBD,2026-08-11 23:45:00-04:00,2026-08-12 00:00:00-04:00,,,
KXSOL15M-26AUG112345,Target price: TBD,2026-08-11 23:30:00-04:00,2026-08-11 23:45:00-04:00,,,
KXSOL15M-26AUG112330,Target price: TBD,2026-08-11 23:15:00-04:00,2026-08-11 23:30:00-04:00,,,
KXSOL15M-26AUG112315,Target price: TBD,2026-08-11 23:00:00-04:00,2026-08-11 23:15:00-04:00,,,
KXSOL15M-26AUG112300,Target price: TBD,2026-08-11 22:45:00-04:00,2026-08-11 23:00:00-04:00,,,
KXSOL15M-26AUG112245,Target price: TBD,2026-08-11 22:30:00-04:00,2026-08-11 22:45:00-04:00,,,
KXSOL15M-26AUG112230,Target price: TBD,2026-08-11 22:15:00-04:00,2026-08-11 22:30:00-04:00,,,
KXSOL15M-26AUG112215,Target price: TBD,2026-08-11 22:00:00-04:00,2026-08-11 22:15:00-04:00,,,
KXSOL15M-26AUG112200,Target price: TBD,2026-08-11 21:45:00-04:00,2026-08-11 22:00:00-04:00,,,
KXSOL15M-26AUG112145,Target price: TBD,2026-08-11 21:30:00-04:00,2026-08-11 21:45:00-04:00,,,
KXSOL15M-26AUG112130,Target price: TBD,2026-08-11 21:15:00-04:00,2026-08-11 21:30:00-04:00,,,
KXSOL15M-26AUG112115,Target price: TBD,2026-08-11 21:00:00-04:00,2026-08-11 21:15:00-04:00,,,
KXSOL15M-26AUG112100,Target price: TBD,2026-08-11 20:45:00-04:00,2026-08-11 21:00:00-04:00,,,
KXSOL15M-26AUG112045,Target price: TBD,2026-08-11 20:30:00-04:00,2026-08-11 20:45:00-04:00,,,
KXSOL15M-26AUG112030,Target price: TBD,2026-08-11 20:15:00-04:00,2026-08-11 20:30:00-04:00,,,
KXSOL15M-26AUG112015,Target price: TBD,2026-08-11 20:00:00-04:00,2026-08-11 20:15:00-04:00,,,
KXSOL15M-26AUG112000,Target price: TBD,2026-08-11 19:45:00-04:00,2026-08-11 20:00:00-04:00,,,
KXSOL15M-26AUG111945,Target price: TBD,2026-08-11 19:30:00-04:00,2026-08-11 19:45:00-04:00,,,
KXSOL15M-26AUG111930,Target price: TBD,2026-08-11 19:15:00-04:00,2026-08-11 19:30:00-04:00,,,
KXSOL15M-26AUG111915,Target price: TBD,2026-08-11 19:00:00-04:00,2026-08-11 19:15:00-04:00,,,
KXSOL15M-26AUG111900,Target price: TBD,2026-08-11 18:45:00-04:00,2026-08-11 19:00:00-04:00,,,
KXSOL15M-26AUG111845,Target price: TBD,2026-08-11 18:30:00-04:00,2026-08-11 18:45:00-04:00,,,
KXSOL15M-26AUG111830,Target price: TBD,2026-08-11 18:15:00-04:00,2026-08-11 18:30:00-04:00,,,
KXSOL15M-26AUG111815,Target price: TBD,2026-08-11 18:00:00-04:00,2026-08-11 18:15:00-04:00,,,
KXSOL15M-26AUG111800,Target price: TBD,2026-08-11 17:45:00-04:00,2026-08-11 18:00:00-04:00,,,
KXSOL15M-26AUG111745,Target price: TBD,2026-08-11 17:30:00-04:00,2026-08-11 17:45:00-04:00,,,
KXSOL15M-26AUG111730,Target price: TBD,2026-08-11 17:15:00-04:00,2026-08-11 17:30:00-04:00,,,
KXSOL15M-26AUG111715,Target price: TBD,2026-08-11 17:00:00-04:00,2026-08-11 17:15:00-04:00,,,
KXSOL15M-26AUG111700,Target price: TBD,2026-08-11 16:45:00-04:00,2026-08-11 17:00:00-04:00,,,
KXSOL15M-26AUG111645,Target price: TBD,2026-08-11 16:30:00-04:00,2026-08-11 16:45:00-04:00,,,
KXSOL15M-26AUG111630,Target price: TBD,2026-08-11 16:15:00-04:00,2026-08-11 16:30:00-04:00,,,
KXSOL15M-26AUG111615,Target price: TBD,2026-08-11 16:00:00-04:00,2026-08-11 16:15:00-04:00,,,
KXSOL15M-26AUG111600,Target price: TBD,2026-08-11 15:45:00-04:00,2026-08-11 16:00:00-04:00,,,
KXSOL15M-26AUG111545,Target price: TBD,2026-08-11 15:30:00-04:00,2026-08-11 15:45:00-04:00,,,
KXSOL15M-26AUG111530,Target Price: $75.0390,2026-08-11 15:15:00-04:00,2026-08-11 15:30:00-04:00,,75.039,
KXSOL15M-26AUG111515,Target Price: $75.1958,2026-08-11 15:00:00-04:00,2026-08-11 15:15:00-04:00,75.0390,75.1958,no
KXSOL15M-26AUG111500,Target Price: $75.1915,2026-08-11 14:45:00-04:00,2026-08-11 15:00:00-04:00,75.1958,75.1915,yes
KXSOL15M-26AUG111445,Target Price: $75.1888,2026-08-11 14:30:00-04:00,2026-08-11 14:45:00-04:00,75.1915,75.1888,yes
KXSOL15M-26AUG111430,Target Price: $75.1778,2026-08-11 14:15:00-04:00,2026-08-11 14:30:00-04:00,75.1888,75.1778,yes
KXSOL15M-26AUG111415,Target Price: $75.1327,2026-08-11 14:00:00-04:00,2026-08-11 14:15:00-04:00,75.1778,75.1327,yes
KXSOL15M-26AUG111400,Target Price: $75.0137,2026-08-11 13:45:00-04:00,2026-08-11 14:00:00-04:00,75.1327,75.0137,yes
KXSOL15M-26AUG111345,Target Price: $74.9997,2026-08-11 13:30:00-04:00,2026-08-11 13:45:00-04:00,75.0137,74.9997,yes
KXSOL15M-26AUG111330,Target Price: $74.9640,2026-08-11 13:15:00-04:00,2026-08-11 13:30:00-04:00,74.9997,74.964,yes
KXSOL15M-26AUG111315,Target Price: $74.8890,2026-08-11 13:00:00-04:00,2026-08-11 13:15:00-04:00,74.9640,74.889,yes
KXSOL15M-26AUG111300,Target Price: $74.8883,2026-08-11 12:45:00-04:00,2026-08-11 13:00:00-04:00,74.8890,74.8883,yes
KXSOL15M-26AUG111245,Target Price: $74.9367,2026-08-11 12:30:00-04:00,2026-08-11 12:45:00-04:00,74.8883,74.9367,no
KXSOL15M-26AUG111230,Target Price: $74.9103,2026-08-11 12:15:00-04:00,2026-08-11 12:30:00-04:00,74.9367,74.9103,yes
KXSOL15M-26AUG111215,Target Price: $74.9085,2026-08-11 12:00:00-04:00,2026-08-11 12:15:00-04:00,74.9103,74.9085,yes
KXSOL15M-26AUG111200,Target Price: $74.7860,2026-08-11 11:45:00-04:00,2026-08-11 12:00:00-04:00,74.9085,74.786,yes
KXSOL15M-26AUG111145,Target Price: $75.3637,2026-08-11 11:30:00-04:00,2026-08-11 11:45:00-04:00,74.7860,75.3637,no
KXSOL15M-26AUG111130,Target Price: $75.1080,2026-08-11 11:15:00-04:00,2026-08-11 11:30:00-04:00,75.3637,75.108,yes
KXSOL15M-26AUG111115,Target Price: $75.1777,2026-08-11 11:00:00-04:00,2026-08-11 11:15:00-04:00,75.1080,75.1777,no
KXSOL15M-26AUG111100,Target Price: $75.4398,2026-08-11 10:45:00-04:00,2026-08-11 11:00:00-04:00,75.1777,75.4398,no
KXSOL15M-26AUG111045,Target Price: $75.5820,2026-08-11 10:30:00-04:00,2026-08-11 10:45:00-04:00,75.4398,75.582,no
KXSOL15M-26AUG111030,Target Price: $75.9685,2026-08-11 10:15:00-04:00,2026-08-11 10:30:00-04:00,75.5820,75.9685,no
KXSOL15M-26AUG111015,Target Price: $75.9597,2026-08-11 10:00:00-04:00,2026-08-11 10:15:00-04:00,75.9685,75.9597,yes
KXSOL15M-26AUG111000,Target Price: $75.9195,2026-08-11 09:45:00-04:00,2026-08-11 10:00:00-04:00,75.9597,75.9195,yes
KXSOL15M-26AUG110945,Target Price: $75.8355,2026-08-11 09:30:00-04:00,2026-08-11 09:45:00-04:00,75.9195,75.8355,yes
KXSOL15M-26AUG110930,Target Price: $75.9052,2026-08-11 09:15:00-04:00,2026-08-11 09:30:00-04:00,75.8355,75.9052,no
KXSOL15M-26AUG110915,Target Price: $75.8137,2026-08-11 09:00:00-04:00,2026-08-11 09:15:00-04:00,75.9052,75.8137,yes
KXSOL15M-26AUG110900,Target Price: $75.8272,2026-08-11 08:45:00-04:00,2026-08-11 09:00:00-04:00,75.8137,75.8272,no
