event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXGOLD15M-26AUG280000,Target price: TBD,2026-08-27 23:45:00-04:00,2026-08-28 00:00:00-04:00,,,
KXGOLD15M-26AUG272345,Target price: TBD,2026-08-27 23:30:00-04:00,2026-08-27 23:45:00-04:00,,,
KXGOLD15M-26AUG272330,Target price: TBD,2026-08-27 23:15:00-04:00,2026-08-27 23:30:00-04:00,,,
KXGOLD15M-26AUG272315,Target price: TBD,2026-08-27 23:00:00-04:00,2026-08-27 23:15:00-04:00,,,
KXGOLD15M-26AUG272300,Target price: TBD,2026-08-27 22:45:00-04:00,2026-08-27 23:00:00-04:00,,,
KXGOLD15M-26AUG272245,Target price: TBD,2026-08-27 22:30:00-04:00,2026-08-27 22:45:00-04:00,,,
KXGOLD15M-26AUG272230,Target price: TBD,2026-08-27 22:15:00-04:00,2026-08-27 22:30:00-04:00,,,
KXGOLD15M-26AUG272215,Target price: TBD,2026-08-27 22:00:00-04:00,2026-08-27 22:15:00-04:00,,,
KXGOLD15M-26AUG272200,Target price: TBD,2026-08-27 21:45:00-04:00,2026-08-27 22:00:00-04:00,,,
KXGOLD15M-26AUG272145,Target price: TBD,2026-08-27 21:30:00-04:00,2026-08-27 21:45:00-04:00,,,
KXGOLD15M-26AUG272130,Target price: TBD,2026-08-27 21:15:00-04:00,2026-08-27 21:30:00-04:00,,,
KXGOLD15M-26AUG272115,Target price: TBD,2026-08-27 21:00:00-04:00,2026-08-27 21:15:00-04:00,,,
KXGOLD15M-26AUG272100,Target price: TBD,2026-08-27 20:45:00-04:00,2026-08-27 21:00:00-04:00,,,
KXGOLD15M-26AUG272045,Target price: TBD,2026-08-27 20:30:00-04:00,2026-08-27 20:45:00-04:00,,,
KXGOLD15M-26AUG272030,Target price: TBD,2026-08-27 20:15:00-04:00,2026-08-27 20:30:00-04:00,,,
KXGOLD15M-26AUG272015,Target price: TBD,2026-08-27 20:00:00-04:00,2026-08-27 20:15:00-04:00,,,
KXGOLD15M-26AUG272000,Target price: TBD,2026-08-27 19:45:00-04:00,2026-08-27 20:00:00-04:00,,,
KXGOLD15M-26AUG271945,Target price: TBD,2026-08-27 19:30:00-04:00,2026-08-27 19:45:00-04:00,,,
KXGOLD15M-26AUG271930,Target price: TBD,2026-08-27 19:15:00-04:00,2026-08-27 19:30:00-04:00,,,
KXGOLD15M-26AUG271915,Target price: TBD,2026-08-27 19:00:00-04:00,2026-08-27 19:15:00-04:00,,,
KXGOLD15M-26AUG271900,Target price: TBD,2026-08-27 18:45:00-04:00,2026-08-27 19:00:00-04:00,,,
KXGOLD15M-26AUG271845,Target price: TBD,2026-08-27 18:30:00-04:00,2026-08-27 18:45:00-04:00,,,
KXGOLD15M-26AUG271830,Target price: TBD,2026-08-27 18:15:00-04:00,2026-08-27 18:30:00-04:00,,,
KXGOLD15M-26AUG271815,Target price: TBD,2026-08-27 18:00:00-04:00,2026-08-27 18:15:00-04:00,,,
KXGOLD15M-26AUG271800,Target price: TBD,2026-08-27 17:45:00-04:00,2026-08-27 18:00:00-04:00,,,
KXGOLD15M-26AUG271745,Target price: TBD,2026-08-27 17:30:00-04:00,2026-08-27 17:45:00-04:00,,,
KXGOLD15M-26AUG271730,Target price: TBD,2026-08-27 17:15:00-04:00,2026-08-27 17:30:00-04:00,,,
KXGOLD15M-26AUG271715,Target price: TBD,2026-08-27 17:00:00-04:00,2026-08-27 17:15:00-04:00,,,
KXGOLD15M-26AUG271700,Target price: TBD,2026-08-27 16:45:00-04:00,2026-08-27 17:00:00-04:00,,,
KXGOLD15M-26AUG271645,Target price: TBD,2026-08-27 16:30:00-04:00,2026-08-27 16:45:00-04:00,,,
KXGOLD15M-26AUG271630,Target price: TBD,2026-08-27 16:15:00-04:00,2026-08-27 16:30:00-04:00,,,
KXGOLD15M-26AUG271615,Target price: TBD,2026-08-27 16:00:00-04:00,2026-08-27 16:15:00-04:00,,,
KXGOLD15M-26AUG271600,Target price: TBD,2026-08-27 15:45:00-04:00,2026-08-27 16:00:00-04:00,,,
KXGOLD15M-26AUG271545,Target price: TBD,2026-08-27 15:30:00-04:00,2026-08-27 15:45:00-04:00,,,
KXGOLD15M-26AUG271530,Target price: TBD,2026-08-27 15:15:00-04:00,2026-08-27 15:30:00-04:00,,,
KXGOLD15M-26AUG271515,Target price: TBD,2026-08-27 15:00:00-04:00,2026-08-27 15:15:00-04:00,,,
KXGOLD15M-26AUG271500,Target price: TBD,2026-08-27 14:45:00-04:00,2026-08-27 15:00:00-04:00,,,
KXGOLD15M-26AUG271445,Target price: TBD,2026-08-27 14:30:00-04:00,2026-08-27 14:45:00-04:00,,,
KXGOLD15M-26AUG271430,Target price: TBD,2026-08-27 14:15:00-04:00,2026-08-27 14:30:00-04:00,,,
KXGOLD15M-26AUG271415,Target price: TBD,2026-08-27 14:00:00-04:00,2026-08-27 14:15:00-04:00,,,
KXGOLD15M-26AUG271400,Target price: TBD,2026-08-27 13:45:00-04:00,2026-08-27 14:00:00-04:00,,,
KXGOLD15M-26AUG271345,Target price: TBD,2026-08-27 13:30:00-04:00,2026-08-27 13:45:00-04:00,,,
KXGOLD15M-26AUG271330,Target price: TBD,2026-08-27 13:15:00-04:00,2026-08-27 13:30:00-04:00,,,
KXGOLD15M-26AUG271315,Target price: TBD,2026-08-27 13:00:00-04:00,2026-08-27 13:15:00-04:00,,,
KXGOLD15M-26AUG271300,Target price: TBD,2026-08-27 12:45:00-04:00,2026-08-27 13:00:00-04:00,,,
KXGOLD15M-26AUG271245,Target price: TBD,2026-08-27 12:30:00-04:00,2026-08-27 12:45:00-04:00,,,
