event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXHYPE15M-26JUN141945,Target Price: $63.8370,2026-06-14 19:30:00-04:00,2026-06-14 19:45:00-04:00,63.9528,63.837,yes
KXHYPE15M-26JUN141930,Target Price: $63.5504,2026-06-14 19:15:00-04:00,2026-06-14 19:30:00-04:00,63.837,63.5504,yes
KXHYPE15M-26JUN141915,Target Price: $63.0580,2026-06-14 19:00:00-04:00,2026-06-14 19:15:00-04:00,63.5504,63.058,yes
KXHYPE15M-26JUN141900,Target Price: $63.2231,2026-06-14 18:45:00-04:00,2026-06-14 19:00:00-04:00,63.058,63.2231,no
KXHYPE15M-26JUN141845,Target Price: $63.0505,2026-06-14 18:30:00-04:00,2026-06-14 18:45:00-04:00,63.2231,63.0505,yes
KXHYPE15M-26JUN141830,Target Price: $62.9135,2026-06-14 18:15:00-04:00,2026-06-14 18:30:00-04:00,63.0505,62.9135,yes
KXHYPE15M-26JUN141815,Target Price: $63.2843,2026-06-14 18:00:00-04:00,2026-06-14 18:15:00-04:00,62.9135,63.2843,no
KXHYPE15M-26JUN141800,Target Price: $62.9404,2026-06-14 17:45:00-04:00,2026-06-14 18:00:00-04:00,63.2843,62.9404,yes
KXHYPE15M-26JUN141745,Target Price: $61.7428,2026-06-14 17:30:00-04:00,2026-06-14 17:45:00-04:00,62.9404,61.7428,yes
KXHYPE15M-26JUN141730,Target Price: $60.5784,2026-06-14 17:15:00-04:00,2026-06-14 17:30:00-04:00,61.7428,60.5784,yes
KXHYPE15M-26JUN141715,Target Price: $60.4999,2026-06-14 17:00:00-04:00,2026-06-14 17:15:00-04:00,60.5784,60.4999,yes
KXHYPE15M-26JUN141700,Target Price: $60.6294,2026-06-14 16:45:00-04:00,2026-06-14 17:00:00-04:00,60.4999,60.6294,no
KXHYPE15M-26JUN141645,Target Price: $60.3775,2026-06-14 16:30:00-04:00,2026-06-14 16:45:00-04:00,60.6294,60.3775,yes
KXHYPE15M-26JUN141630,Target Price: $60.4454,2026-06-14 16:15:00-04:00,2026-06-14 16:30:00-04:00,60.3775,60.4454,no
KXHYPE15M-26JUN141615,Target Price: $60.4785,2026-06-14 16:00:00-04:00,2026-06-14 16:15:00-04:00,60.4454,60.4785,no
KXHYPE15M-26JUN141600,Target Price: $60.4730,2026-06-14 15:45:00-04:00,2026-06-14 16:00:00-04:00,60.4785,60.473,yes
KXHYPE15M-26JUN141545,Target Price: $60.6485,2026-06-14 15:30:00-04:00,2026-06-14 15:45:00-04:00,60.473,60.6485,no
KXHYPE15M-26JUN141530,Target Price: $60.6085,2026-06-14 15:15:00-04:00,2026-06-14 15:30:00-04:00,60.6485,60.6085,yes
KXHYPE15M-26JUN141515,Target Price: $60.3881,2026-06-14 15:00:00-04:00,2026-06-14 15:15:00-04:00,60.6085,60.3881,yes
KXHYPE15M-26JUN141500,Target Price: $60.2073,2026-06-14 14:45:00-04:00,2026-06-14 15:00:00-04:00,60.3881,60.2073,yes
KXHYPE15M-26JUN141445,Target Price: $59.8476,2026-06-14 14:30:00-04:00,2026-06-14 14:45:00-04:00,60.2073,59.8476,yes
KXHYPE15M-26JUN141430,Target Price: $59.9523,2026-06-14 14:15:00-04:00,2026-06-14 14:30:00-04:00,59.8476,59.9523,no
KXHYPE15M-26JUN141415,Target Price: $59.8032,2026-06-14 14:00:00-04:00,2026-06-14 14:15:00-04:00,59.9523,59.8032,yes
KXHYPE15M-26JUN141400,Target Price: $60.2055,2026-06-14 13:45:00-04:00,2026-06-14 14:00:00-04:00,59.8032,60.2055,no
KXHYPE15M-26JUN141345,Target Price: $60.2578,2026-06-14 13:30:00-04:00,2026-06-14 13:45:00-04:00,60.2055,60.2578,no
KXHYPE15M-26JUN141330,Target Price: $60.0579,2026-06-14 13:15:00-04:00,2026-06-14 13:30:00-04:00,60.2578,60.0579,yes
KXHYPE15M-26JUN141315,Target Price: $60.0130,2026-06-14 13:00:00-04:00,2026-06-14 13:15:00-04:00,60.0579,60.013,yes
KXHYPE15M-26JUN141300,Target Price: $60.1424,2026-06-14 12:45:00-04:00,2026-06-14 13:00:00-04:00,60.013,60.1424,no
KXHYPE15M-26JUN141245,Target Price: $60.3002,2026-06-14 12:30:00-04:00,2026-06-14 12:45:00-04:00,60.1424,60.3002,no
KXHYPE15M-26JUN141230,Target Price: $60.3493,2026-06-14 12:15:00-04:00,2026-06-14 12:30:00-04:00,60.3002,60.3493,no
KXHYPE15M-26JUN141215,Target Price: $60.2661,2026-06-14 12:00:00-04:00,2026-06-14 12:15:00-04:00,60.3493,60.2661,yes
KXHYPE15M-26JUN141200,Target Price: $60.4994,2026-06-14 11:45:00-04:00,2026-06-14 12:00:00-04:00,60.2661,60.4994,no
KXHYPE15M-26JUN141145,Target Price: $60.6013,2026-06-14 11:30:00-04:00,2026-06-14 11:45:00-04:00,60.4994,60.6013,no
KXHYPE15M-26JUN141130,Target Price: $60.5091,2026-06-14 11:15:00-04:00,2026-06-14 11:30:00-04:00,60.6013,60.5091,yes
KXHYPE15M-26JUN141115,Target Price: $60.2829,2026-06-14 11:00:00-04:00,2026-06-14 11:15:00-04:00,60.5091,60.2829,yes
