event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXSILVER15M-26AUG280000,Target price: TBD,2026-08-27 23:45:00-04:00,2026-08-28 00:00:00-04:00,,,
KXSILVER15M-26AUG272345,Target price: TBD,2026-08-27 23:30:00-04:00,2026-08-27 23:45:00-04:00,,,
KXSILVER15M-26AUG272330,Target price: TBD,2026-08-27 23:15:00-04:00,2026-08-27 23:30:00-04:00,,,
KXSILVER15M-26AUG272315,Target price: TBD,2026-08-27 23:00:00-04:00,2026-08-27 23:15:00-04:00,,,
KXSILVER15M-26AUG272300,Target price: TBD,2026-08-27 22:45:00-04:00,2026-08-27 23:00:00-04:00,,,
KXSILVER15M-26AUG272245,Target price: TBD,2026-08-27 22:30:00-04:00,2026-08-27 22:45:00-04:00,,,
KXSILVER15M-26AUG272230,Target price: TBD,2026-08-27 22:15:00-04:00,2026-08-27 22:30:00-04:00,,,
KXSILVER15M-26AUG272215,Target price: TBD,2026-08-27 22:00:00-04:00,2026-08-27 22:15:00-04:00,,,
KXSILVER15M-26AUG272200,Target price: TBD,2026-08-27 21:45:00-04:00,2026-08-27 22:00:00-04:00,,,
KXSILVER15M-26AUG272145,Target price: TBD,2026-08-27 21:30:00-04:00,2026-08-27 21:45:00-04:00,,,
KXSILVER15M-26AUG272130,Target price: TBD,2026-08-27 21:15:00-04:00,2026-08-27 21:30:00-04:00,,,
KXSILVER15M-26AUG272115,Target price: TBD,2026-08-27 21:00:00-04:00,2026-08-27 21:15:00-04:00,,,
KXSILVER15M-26AUG272100,Target price: TBD,2026-08-27 20:45:00-04:00,2026-08-27 21:00:00-04:00,,,
KXSILVER15M-26AUG272045,Target price: TBD,2026-08-27 20:30:00-04:00,2026-08-27 20:45:00-04:00,,,
KXSILVER15M-26AUG272030,Target price: TBD,2026-08-27 20:15:00-04:00,2026-08-27 20:30:00-04:00,,,
KXSILVER15M-26AUG272015,Target price: TBD,2026-08-27 20:00:00-04:00,2026-08-27 20:15:00-04:00,,,
KXSILVER15M-26AUG272000,Target price: TBD,2026-08-27 19:45:00-04:00,2026-08-27 20:00:00-04:00,,,
KXSILVER15M-26AUG271945,Target price: TBD,2026-08-27 19:30:00-04:00,2026-08-27 19:45:00-04:00,,,
KXSILVER15M-26AUG271930,Target price: TBD,2026-08-27 19:15:00-04:00,2026-08-27 19:30:00-04:00,,,
KXSILVER15M-26AUG271915,Target price: TBD,2026-08-27 19:00:00-04:00,2026-08-27 19:15:00-04:00,,,
KXSILVER15M-26AUG271900,Target price: TBD,2026-08-27 18:45:00-04:00,2026-08-27 19:00:00-04:00,,,
KXSILVER15M-26AUG271845,Target price: TBD,2026-08-27 18:30:00-04:00,2026-08-27 18:45:00-04:00,,,
KXSILVER15M-26AUG271830,Target price: TBD,2026-08-27 18:15:00-04:00,2026-08-27 18:30:00-04:00,,,
KXSILVER15M-26AUG271815,Target price: TBD,2026-08-27 18:00:00-04:00,2026-08-27 18:15:00-04:00,,,
KXSILVER15M-26AUG271800,Target price: TBD,2026-08-27 17:45:00-04:00,2026-08-27 18:00:00-04:00,,,
KXSILVER15M-26AUG271745,Target price: TBD,2026-08-27 17:30:00-04:00,2026-08-27 17:45:00-04:00,,,
KXSILVER15M-26AUG271730,Target price: TBD,2026-08-27 17:15:00-04:00,2026-08-27 17:30:00-04:00,,,
KXSILVER15M-26AUG271715,Target price: TBD,2026-08-27 17:00:00-04:00,2026-08-27 17:15:00-04:00,,,
KXSILVER15M-26AUG271700,Target price: TBD,2026-08-27 16:45:00-04:00,2026-08-27 17:00:00-04:00,,,
KXSILVER15M-26AUG271645,Target price: TBD,2026-08-27 16:30:00-04:00,2026-08-27 16:45:00-04:00,,,
KXSILVER15M-26AUG271630,Target price: TBD,2026-08-27 16:15:00-04:00,2026-08-27 16:30:00-04:00,,,
KXSILVER15M-26AUG271615,Target price: TBD,2026-08-27 16:00:00-04:00,2026-08-27 16:15:00-04:00,,,
KXSILVER15M-26AUG271600,Target price: TBD,2026-08-27 15:45:00-04:00,2026-08-27 16:00:00-04:00,,,
KXSILVER15M-26AUG271545,Target price: TBD,2026-08-27 15:30:00-04:00,2026-08-27 15:45:00-04:00,,,
KXSILVER15M-26AUG271530,Target price: TBD,2026-08-27 15:15:00-04:00,2026-08-27 15:30:00-04:00,,,
KXSILVER15M-26AUG271515,Target price: TBD,2026-08-27 15:00:00-04:00,2026-08-27 15:15:00-04:00,,,
KXSILVER15M-26AUG271500,Target price: TBD,2026-08-27 14:45:00-04:00,2026-08-27 15:00:00-04:00,,,
KXSILVER15M-26AUG271445,Target price: TBD,2026-08-27 14:30:00-04:00,2026-08-27 14:45:00-04:00,,,
KXSILVER15M-26AUG271430,Target price: TBD,2026-08-27 14:15:00-04:00,2026-08-27 14:30:00-04:00,,,
KXSILVER15M-26AUG271415,Target price: TBD,2026-08-27 14:00:00-04:00,2026-08-27 14:15:00-04:00,,,
KXSILVER15M-26AUG271400,Target price: TBD,2026-08-27 13:45:00-04:00,2026-08-27 14:00:00-04:00,,,
KXSILVER15M-26AUG271345,Target price: TBD,2026-08-27 13:30:00-04:00,2026-08-27 13:45:00-04:00,,,
KXSILVER15M-26AUG271330,Target price: TBD,2026-08-27 13:15:00-04:00,2026-08-27 13:30:00-04:00,,,
KXSILVER15M-26AUG271315,Target price: TBD,2026-08-27 13:00:00-04:00,2026-08-27 13:15:00-04:00,,,
KXSILVER15M-26AUG271300,Target price: TBD,2026-08-27 12:45:00-04:00,2026-08-27 13:00:00-04:00,,,
KXSILVER15M-26AUG271245,Target price: TBD,2026-08-27 12:30:00-04:00,2026-08-27 12:45:00-04:00,,,
KXSILVER15M-26AUG271230,Target price: TBD,2026-08-27 12:15:00-04:00,2026-08-27 12:30:00-04:00,,,
KXSILVER15M-26AUG271215,Target price: TBD,2026-08-27 12:00:00-04:00,2026-08-27 12:15:00-04:00,,,
KXSILVER15M-26AUG271200,Target price: TBD,2026-08-27 11:45:00-04:00,2026-08-27 12:00:00-04:00,,,
KXSILVER15M-26AUG271145,Target price: TBD,2026-08-27 11:30:00-04:00,2026-08-27 11:45:00-04:00,,,
KXSILVER15M-26AUG271130,Target price: TBD,2026-08-27 11:15:00-04:00,2026-08-27 11:30:00-04:00,,,
KXSILVER15M-26AUG271115,Target price: TBD,2026-08-27 11:00:00-04:00,2026-08-27 11:15:00-04:00,,,
KXSILVER15M-26AUG271100,Target Price: $68.712,2026-08-27 10:45:00-04:00,2026-08-27 11:00:00-04:00,,68.712,
KXSILVER15M-26AUG271045,Target Price: $68.345,2026-08-27 10:30:00-04:00,2026-08-27 10:45:00-04:00,68.712,68.345,yes
KXSILVER15M-26AUG271030,Target Price: $68.150,2026-08-27 10:15:00-04:00,2026-08-27 10:30:00-04:00,68.345,68.15,yes
KXSILVER15M-26AUG271015,Target Price: $67.970,2026-08-27 10:00:00-04:00,2026-08-27 10:15:00-04:00,68.150,67.97,yes
KXSILVER15M-26AUG271000,Target Price: $67.915,2026-08-27 09:45:00-04:00,2026-08-27 10:00:00-04:00,67.970,67.915,yes
KXSILVER15M-26AUG270945,Target Price: $68.270,2026-08-27 09:30:00-04:00,2026-08-27 09:45:00-04:00,67.915,68.27,no
KXSILVER15M-26AUG270930,Target Price: $68.111,2026-08-27 09:15:00-04:00,2026-08-27 09:30:00-04:00,68.270,68.111,yes
KXSILVER15M-26AUG270915,Target Price: $68.035,2026-08-27 09:00:00-04:00,2026-08-27 09:15:00-04:00,68.111,68.035,yes
KXSILVER15M-26AUG270900,Target Price: $68.026,2026-08-27 08:45:00-04:00,2026-08-27 09:00:00-04:00,68.035,68.026,yes
KXSILVER15M-26AUG270845,Target Price: $68.407,2026-08-27 08:30:00-04:00,2026-08-27 08:45:00-04:00,68.026,68.407,no
KXSILVER15M-26AUG270830,Target Price: $68.169,2026-08-27 08:15:00-04:00,2026-08-27 08:30:00-04:00,68.407,68.169,yes
KXSILVER15M-26AUG270815,Target Price: $68.304,2026-08-27 08:00:00-04:00,2026-08-27 08:15:00-04:00,68.169,68.304,no
KXSILVER15M-26AUG270800,Target Price: $68.359,2026-08-27 07:45:00-04:00,2026-08-27 08:00:00-04:00,68.304,68.359,no
KXSILVER15M-26AUG270745,Target Price: $68.402,2026-08-27 07:30:00-04:00,2026-08-27 07:45:00-04:00,68.359,68.402,no
KXSILVER15M-26AUG270730,Target Price: $68.380,2026-08-27 07:15:00-04:00,2026-08-27 07:30:00-04:00,68.402,68.38,yes
KXSILVER15M-26AUG270715,Target Price: $68.469,2026-08-27 07:00:00-04:00,2026-08-27 07:15:00-04:00,68.380,68.469,no
KXSILVER15M-26AUG270700,Target Price: $68.333,2026-08-27 06:45:00-04:00,2026-08-27 07:00:00-04:00,68.469,68.333,yes
KXSILVER15M-26AUG270645,Target Price: $68.246,2026-08-27 06:30:00-04:00,2026-08-27 06:45:00-04:00,68.333,68.246,yes
KXSILVER15M-26AUG270630,Target Price: $68.197,2026-08-27 06:15:00-04:00,2026-08-27 06:30:00-04:00,68.246,68.197,yes
KXSILVER15M-26AUG270615,Target Price: $68.181,2026-08-27 06:00:00-04:00,2026-08-27 06:15:00-04:00,68.197,68.181,yes
KXSILVER15M-26AUG270600,Target Price: $68.299,2026-08-27 05:45:00-04:00,2026-08-27 06:00:00-04:00,68.181,68.299,no
KXSILVER15M-26AUG270545,Target Price: $68.423,2026-08-27 05:30:00-04:00,2026-08-27 05:45:00-04:00,68.299,68.423,no
KXSILVER15M-26AUG270530,Target Price: $68.371,2026-08-27 05:15:00-04:00,2026-08-27 05:30:00-04:00,68.423,68.371,yes
KXSILVER15M-26AUG270515,Target Price: $68.533,2026-08-27 05:00:00-04:00,2026-08-27 05:15:00-04:00,68.371,68.533,no
KXSILVER15M-26AUG270300,Target Price: $68.654,2026-08-27 02:45:00-04:00,2026-08-27 03:00:00-04:00,68.625,68.654,no
KXSILVER15M-26AUG270245,Target Price: $68.776,2026-08-27 02:30:00-04:00,2026-08-27 02:45:00-04:00,68.654,68.776,no
KXSILVER15M-26AUG270230,Target Price: $68.755,2026-08-27 02:15:00-04:00,2026-08-27 02:30:00-04:00,68.776,68.755,yes
KXSILVER15M-26AUG270215,Target Price: $68.686,2026-08-27 02:00:00-04:00,2026-08-27 02:15:00-04:00,68.755,68.686,yes
KXSILVER15M-26AUG270200,Target Price: $68.621,2026-08-27 01:45:00-04:00,2026-08-27 02:00:00-04:00,68.686,68.621,yes
