event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXXRP15M-26AUG150000,Target price: TBD,2026-08-14 23:45:00-04:00,2026-08-15 00:00:00-04:00,,,
KXXRP15M-26AUG142345,Target price: TBD,2026-08-14 23:30:00-04:00,2026-08-14 23:45:00-04:00,,,
KXXRP15M-26AUG142330,Target price: TBD,2026-08-14 23:15:00-04:00,2026-08-14 23:30:00-04:00,,,
KXXRP15M-26AUG142315,Target price: TBD,2026-08-14 23:00:00-04:00,2026-08-14 23:15:00-04:00,,,
KXXRP15M-26AUG142300,Target price: TBD,2026-08-14 22:45:00-04:00,2026-08-14 23:00:00-04:00,,,
KXXRP15M-26AUG142245,Target price: TBD,2026-08-14 22:30:00-04:00,2026-08-14 22:45:00-04:00,,,
KXXRP15M-26AUG142230,Target price: TBD,2026-08-14 22:15:00-04:00,2026-08-14 22:30:00-04:00,,,
KXXRP15M-26AUG142215,Target price: TBD,2026-08-14 22:00:00-04:00,2026-08-14 22:15:00-04:00,,,
KXXRP15M-26AUG142200,Target price: TBD,2026-08-14 21:45:00-04:00,2026-08-14 22:00:00-04:00,,,
KXXRP15M-26AUG142145,Target price: TBD,2026-08-14 21:30:00-04:00,2026-08-14 21:45:00-04:00,,,
KXXRP15M-26AUG142130,Target price: TBD,2026-08-14 21:15:00-04:00,2026-08-14 21:30:00-04:00,,,
KXXRP15M-26AUG142115,Target price: TBD,2026-08-14 21:00:00-04:00,2026-08-14 21:15:00-04:00,,,
KXXRP15M-26AUG142100,Target price: TBD,2026-08-14 20:45:00-04:00,2026-08-14 21:00:00-04:00,,,
KXXRP15M-26AUG142045,Target price: TBD,2026-08-14 20:30:00-04:00,2026-08-14 20:45:00-04:00,,,
KXXRP15M-26AUG142030,Target price: TBD,2026-08-14 20:15:00-04:00,2026-08-14 20:30:00-04:00,,,
KXXRP15M-26AUG142015,Target price: TBD,2026-08-14 20:00:00-04:00,2026-08-14 20:15:00-04:00,,,
KXXRP15M-26AUG142000,Target price: TBD,2026-08-14 19:45:00-04:00,2026-08-14 20:00:00-04:00,,,
KXXRP15M-26AUG141945,Target price: TBD,2026-08-14 19:30:00-04:00,2026-08-14 19:45:00-04:00,,,
KXXRP15M-26AUG141930,Target price: TBD,2026-08-14 19:15:00-04:00,2026-08-14 19:30:00-04:00,,,
KXXRP15M-26AUG141915,Target price: TBD,2026-08-14 19:00:00-04:00,2026-08-14 19:15:00-04:00,,,
KXXRP15M-26AUG141900,Target price: TBD,2026-08-14 18:45:00-04:00,2026-08-14 19:00:00-04:00,,,
KXXRP15M-26AUG141845,Target price: TBD,2026-08-14 18:30:00-04:00,2026-08-14 18:45:00-04:00,,,
KXXRP15M-26AUG141830,Target price: TBD,2026-08-14 18:15:00-04:00,2026-08-14 18:30:00-04:00,,,
KXXRP15M-26AUG141815,Target price: TBD,2026-08-14 18:00:00-04:00,2026-08-14 18:15:00-04:00,,,
KXXRP15M-26AUG141800,Target price: TBD,2026-08-14 17:45:00-04:00,2026-08-14 18:00:00-04:00,,,
KXXRP15M-26AUG141745,Target price: TBD,2026-08-14 17:30:00-04:00,2026-08-14 17:45:00-04:00,,,
KXXRP15M-26AUG141730,Target price: TBD,2026-08-14 17:15:00-04:00,2026-08-14 17:30:00-04:00,,,
KXXRP15M-26AUG141715,Target price: TBD,2026-08-14 17:00:00-04:00,2026-08-14 17:15:00-04:00,,,
KXXRP15M-26AUG141700,Target price: TBD,2026-08-14 16:45:00-04:00,2026-08-14 17:00:00-04:00,,,
KXXRP15M-26AUG141645,Target price: TBD,2026-08-14 16:30:00-04:00,2026-08-14 16:45:00-04:00,,,
KXXRP15M-26AUG141630,Target price: TBD,2026-08-14 16:15:00-04:00,2026-08-14 16:30:00-04:00,,,
KXXRP15M-26AUG141615,Target price: TBD,2026-08-14 16:00:00-04:00,2026-08-14 16:15:00-04:00,,,
KXXRP15M-26AUG141600,Target price: TBD,2026-08-14 15:45:00-04:00,2026-08-14 16:00:00-04:00,,,
KXXRP15M-26AUG141545,Target price: TBD,2026-08-14 15:30:00-04:00,2026-08-14 15:45:00-04:00,,,
KXXRP15M-26AUG141530,Target price: TBD,2026-08-14 15:15:00-04:00,2026-08-14 15:30:00-04:00,,,
KXXRP15M-26AUG141515,Target price: TBD,2026-08-14 15:00:00-04:00,2026-08-14 15:15:00-04:00,,,
KXXRP15M-26AUG141500,Target price: TBD,2026-08-14 14:45:00-04:00,2026-08-14 15:00:00-04:00,,,
KXXRP15M-26AUG141445,Target price: TBD,2026-08-14 14:30:00-04:00,2026-08-14 14:45:00-04:00,,,
KXXRP15M-26AUG141430,Target price: TBD,2026-08-14 14:15:00-04:00,2026-08-14 14:30:00-04:00,,,
KXXRP15M-26AUG141415,Target price: TBD,2026-08-14 14:00:00-04:00,2026-08-14 14:15:00-04:00,,,
KXXRP15M-26AUG141400,Target price: TBD,2026-08-14 13:45:00-04:00,2026-08-14 14:00:00-04:00,,,
KXXRP15M-26AUG141345,Target price: TBD,2026-08-14 13:30:00-04:00,2026-08-14 13:45:00-04:00,,,
