event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXSOL15M-26MAY301945,Target Price: $82.5430,2026-05-30 19:30:00-04:00,2026-05-30 19:45:00-04:00,82.4725,82.543,no
KXSOL15M-26MAY301930,Target Price: $82.4648,2026-05-30 19:15:00-04:00,2026-05-30 19:30:00-04:00,82.5430,82.4648,yes
KXSOL15M-26MAY301915,Target Price: $82.5448,2026-05-30 19:00:00-04:00,2026-05-30 19:15:00-04:00,82.4648,82.5448,no
KXSOL15M-26MAY301900,Target Price: $82.4235,2026-05-30 18:45:00-04:00,2026-05-30 19:00:00-04:00,82.5448,82.4235,yes
KXSOL15M-26MAY301845,Target Price: $82.5923,2026-05-30 18:30:00-04:00,2026-05-30 18:45:00-04:00,82.4235,82.5923,no
KXSOL15M-26MAY301830,Target Price: $82.6347,2026-05-30 18:15:00-04:00,2026-05-30 18:30:00-04:00,82.5923,82.6347,no
KXSOL15M-26MAY301815,Target Price: $82.9338,2026-05-30 18:00:00-04:00,2026-05-30 18:15:00-04:00,82.6347,82.9338,no
KXSOL15M-26MAY301800,Target Price: $82.9912,2026-05-30 17:45:00-04:00,2026-05-30 18:00:00-04:00,82.9338,82.9912,no
KXSOL15M-26MAY301745,Target Price: $82.9273,2026-05-30 17:30:00-04:00,2026-05-30 17:45:00-04:00,82.9912,82.9273,yes
KXSOL15M-26MAY301730,Target Price: $82.9505,2026-05-30 17:15:00-04:00,2026-05-30 17:30:00-04:00,82.9273,82.9505,no
KXSOL15M-26MAY301715,Target Price: $82.8502,2026-05-30 17:00:00-04:00,2026-05-30 17:15:00-04:00,82.9505,82.8502,yes
KXSOL15M-26MAY301700,Target Price: $82.7898,2026-05-30 16:45:00-04:00,2026-05-30 17:00:00-04:00,82.8502,82.7898,yes
KXSOL15M-26MAY301645,Target Price: $82.8200,2026-05-30 16:30:00-04:00,2026-05-30 16:45:00-04:00,82.7898,82.82,no
KXSOL15M-26MAY301630,Target Price: $82.9165,2026-05-30 16:15:00-04:00,2026-05-30 16:30:00-04:00,82.8200,82.9165,no
KXSOL15M-26MAY301615,Target Price: $82.8482,2026-05-30 16:00:00-04:00,2026-05-30 16:15:00-04:00,82.9165,82.8482,yes
KXSOL15M-26MAY301600,Target Price: $82.7870,2026-05-30 15:45:00-04:00,2026-05-30 16:00:00-04:00,82.8482,82.787,yes
