event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26AUG130000,Target price: TBD,2026-08-12 23:45:00-04:00,2026-08-13 00:00:00-04:00,,,
KXBTC15M-26AUG122345,Target price: TBD,2026-08-12 23:30:00-04:00,2026-08-12 23:45:00-04:00,,,
KXBTC15M-26AUG122330,Target price: TBD,2026-08-12 23:15:00-04:00,2026-08-12 23:30:00-04:00,,,
KXBTC15M-26AUG122315,Target price: TBD,2026-08-12 23:00:00-04:00,2026-08-12 23:15:00-04:00,,,
KXBTC15M-26AUG122300,Target price: TBD,2026-08-12 22:45:00-04:00,2026-08-12 23:00:00-04:00,,,
KXBTC15M-26AUG122245,Target price: TBD,2026-08-12 22:30:00-04:00,2026-08-12 22:45:00-04:00,,,
KXBTC15M-26AUG122230,Target price: TBD,2026-08-12 22:15:00-04:00,2026-08-12 22:30:00-04:00,,,
KXBTC15M-26AUG122215,Target price: TBD,2026-08-12 22:00:00-04:00,2026-08-12 22:15:00-04:00,,,
KXBTC15M-26AUG122200,Target price: TBD,2026-08-12 21:45:00-04:00,2026-08-12 22:00:00-04:00,,,
KXBTC15M-26AUG122145,Target price: TBD,2026-08-12 21:30:00-04:00,2026-08-12 21:45:00-04:00,,,
KXBTC15M-26AUG122130,Target price: TBD,2026-08-12 21:15:00-04:00,2026-08-12 21:30:00-04:00,,,
KXBTC15M-26AUG122115,Target price: TBD,2026-08-12 21:00:00-04:00,2026-08-12 21:15:00-04:00,,,
KXBTC15M-26AUG122100,Target price: TBD,2026-08-12 20:45:00-04:00,2026-08-12 21:00:00-04:00,,,
KXBTC15M-26AUG122045,Target price: TBD,2026-08-12 20:30:00-04:00,2026-08-12 20:45:00-04:00,,,
KXBTC15M-26AUG122030,Target price: TBD,2026-08-12 20:15:00-04:00,2026-08-12 20:30:00-04:00,,,
KXBTC15M-26AUG122015,Target price: TBD,2026-08-12 20:00:00-04:00,2026-08-12 20:15:00-04:00,,,
KXBTC15M-26AUG122000,Target price: TBD,2026-08-12 19:45:00-04:00,2026-08-12 20:00:00-04:00,,,
KXBTC15M-26AUG121945,Target price: TBD,2026-08-12 19:30:00-04:00,2026-08-12 19:45:00-04:00,,,
KXBTC15M-26AUG121930,Target price: TBD,2026-08-12 19:15:00-04:00,2026-08-12 19:30:00-04:00,,,
KXBTC15M-26AUG121915,Target price: TBD,2026-08-12 19:00:00-04:00,2026-08-12 19:15:00-04:00,,,
KXBTC15M-26AUG121900,Target price: TBD,2026-08-12 18:45:00-04:00,2026-08-12 19:00:00-04:00,,,
KXBTC15M-26AUG121845,Target price: TBD,2026-08-12 18:30:00-04:00,2026-08-12 18:45:00-04:00,,,
KXBTC15M-26AUG121830,Target price: TBD,2026-08-12 18:15:00-04:00,2026-08-12 18:30:00-04:00,,,
KXBTC15M-26AUG121815,Target price: TBD,2026-08-12 18:00:00-04:00,2026-08-12 18:15:00-04:00,,,
KXBTC15M-26AUG121800,Target price: TBD,2026-08-12 17:45:00-04:00,2026-08-12 18:00:00-04:00,,,
KXBTC15M-26AUG121745,Target price: TBD,2026-08-12 17:30:00-04:00,2026-08-12 17:45:00-04:00,,,
KXBTC15M-26AUG121730,Target price: TBD,2026-08-12 17:15:00-04:00,2026-08-12 17:30:00-04:00,,,
KXBTC15M-26AUG121715,Target price: TBD,2026-08-12 17:00:00-04:00,2026-08-12 17:15:00-04:00,,,
KXBTC15M-26AUG121700,Target price: TBD,2026-08-12 16:45:00-04:00,2026-08-12 17:00:00-04:00,,,
KXBTC15M-26AUG121645,Target price: TBD,2026-08-12 16:30:00-04:00,2026-08-12 16:45:00-04:00,,,
KXBTC15M-26AUG121630,Target price: TBD,2026-08-12 16:15:00-04:00,2026-08-12 16:30:00-04:00,,,
KXBTC15M-26AUG121615,Target price: TBD,2026-08-12 16:00:00-04:00,2026-08-12 16:15:00-04:00,,,
KXBTC15M-26AUG121600,Target price: TBD,2026-08-12 15:45:00-04:00,2026-08-12 16:00:00-04:00,,,
KXBTC15M-26AUG121545,Target price: TBD,2026-08-12 15:30:00-04:00,2026-08-12 15:45:00-04:00,,,
KXBTC15M-26AUG121530,Target price: TBD,2026-08-12 15:15:00-04:00,2026-08-12 15:30:00-04:00,,,
KXBTC15M-26AUG121515,Target price: TBD,2026-08-12 15:00:00-04:00,2026-08-12 15:15:00-04:00,,,
KXBTC15M-26AUG121500,Target price: TBD,2026-08-12 14:45:00-04:00,2026-08-12 15:00:00-04:00,,,
KXBTC15M-26AUG121445,Target price: TBD,2026-08-12 14:30:00-04:00,2026-08-12 14:45:00-04:00,,,
KXBTC15M-26AUG121430,Target price: TBD,2026-08-12 14:15:00-04:00,2026-08-12 14:30:00-04:00,,,
KXBTC15M-26AUG121415,Target price: TBD,2026-08-12 14:00:00-04:00,2026-08-12 14:15:00-04:00,,,
KXBTC15M-26AUG121400,Target price: TBD,2026-08-12 13:45:00-04:00,2026-08-12 14:00:00-04:00,,,
KXBTC15M-26AUG121345,Target price: TBD,2026-08-12 13:30:00-04:00,2026-08-12 13:45:00-04:00,,,
KXBTC15M-26AUG121330,Target price: TBD,2026-08-12 13:15:00-04:00,2026-08-12 13:30:00-04:00,,,
KXBTC15M-26AUG121315,Target price: TBD,2026-08-12 13:00:00-04:00,2026-08-12 13:15:00-04:00,,,
KXBTC15M-26AUG121300,Target price: TBD,2026-08-12 12:45:00-04:00,2026-08-12 13:00:00-04:00,,,
KXBTC15M-26AUG121245,Target price: TBD,2026-08-12 12:30:00-04:00,2026-08-12 12:45:00-04:00,,,
KXBTC15M-26AUG121230,Target price: TBD,2026-08-12 12:15:00-04:00,2026-08-12 12:30:00-04:00,,,
KXBTC15M-26AUG121215,Target price: TBD,2026-08-12 12:00:00-04:00,2026-08-12 12:15:00-04:00,,,
KXBTC15M-26AUG121200,Target price: TBD,2026-08-12 11:45:00-04:00,2026-08-12 12:00:00-04:00,,,
KXBTC15M-26AUG121145,Target price: TBD,2026-08-12 11:30:00-04:00,2026-08-12 11:45:00-04:00,,,
KXBTC15M-26AUG121130,Target price: TBD,2026-08-12 11:15:00-04:00,2026-08-12 11:30:00-04:00,,,
KXBTC15M-26AUG121115,Target price: TBD,2026-08-12 11:00:00-04:00,2026-08-12 11:15:00-04:00,,,
KXBTC15M-26AUG121100,"Target Price: $63,535.73",2026-08-12 10:45:00-04:00,2026-08-12 11:00:00-04:00,,63535.73,
KXBTC15M-26AUG121045,"Target Price: $63,627.16",2026-08-12 10:30:00-04:00,2026-08-12 10:45:00-04:00,63535.73,63627.16,no
KXBTC15M-26AUG121030,"Target Price: $63,743.05",2026-08-12 10:15:00-04:00,2026-08-12 10:30:00-04:00,63627.16,63743.05,no
KXBTC15M-26AUG121015,"Target Price: $63,807.56",2026-08-12 10:00:00-04:00,2026-08-12 10:15:00-04:00,63743.05,63807.56,no
KXBTC15M-26AUG121000,"Target Price: $63,905.68",2026-08-12 09:45:00-04:00,2026-08-12 10:00:00-04:00,63807.56,63905.68,no
KXBTC15M-26AUG120945,"Target Price: $63,881.22",2026-08-12 09:30:00-04:00,2026-08-12 09:45:00-04:00,63905.68,63881.22,yes
KXBTC15M-26AUG120930,"Target Price: $63,905.74",2026-08-12 09:15:00-04:00,2026-08-12 09:30:00-04:00,63881.22,63905.74,no
KXBTC15M-26AUG120915,"Target Price: $64,065.47",2026-08-12 09:00:00-04:00,2026-08-12 09:15:00-04:00,63905.74,64065.47,no
KXBTC15M-26AUG120900,"Target Price: $64,046.10",2026-08-12 08:45:00-04:00,2026-08-12 09:00:00-04:00,64065.47,64046.1,yes
KXBTC15M-26AUG120845,"Target Price: $64,325.86",2026-08-12 08:30:00-04:00,2026-08-12 08:45:00-04:00,64046.10,64325.86,no
KXBTC15M-26AUG120830,"Target Price: $64,220.19",2026-08-12 08:15:00-04:00,2026-08-12 08:30:00-04:00,64325.86,64220.19,yes
KXBTC15M-26AUG120815,"Target Price: $64,179.51",2026-08-12 08:00:00-04:00,2026-08-12 08:15:00-04:00,64220.19,64179.51,yes
KXBTC15M-26AUG120800,"Target Price: $64,138.62",2026-08-12 07:45:00-04:00,2026-08-12 08:00:00-04:00,64179.51,64138.62,yes
KXBTC15M-26AUG120745,"Target Price: $64,142.94",2026-08-12 07:30:00-04:00,2026-08-12 07:45:00-04:00,64138.62,64142.94,no
KXBTC15M-26AUG120730,"Target Price: $64,085.00",2026-08-12 07:15:00-04:00,2026-08-12 07:30:00-04:00,64142.94,64085.0,yes
KXBTC15M-26AUG120715,"Target Price: $64,086.24",2026-08-12 07:00:00-04:00,2026-08-12 07:15:00-04:00,64085.00,64086.24,no
KXBTC15M-26AUG120700,"Target Price: $64,089.54",2026-08-12 06:45:00-04:00,2026-08-12 07:00:00-04:00,64086.24,64089.54,no
KXBTC15M-26AUG120645,"Target Price: $64,016.15",2026-08-12 06:30:00-04:00,2026-08-12 06:45:00-04:00,64089.54,64016.15,yes
KXBTC15M-26AUG120630,"Target Price: $64,073.95",2026-08-12 06:15:00-04:00,2026-08-12 06:30:00-04:00,64016.15,64073.95,no
KXBTC15M-26AUG120615,"Target Price: $64,046.62",2026-08-12 06:00:00-04:00,2026-08-12 06:15:00-04:00,64073.95,64046.62,yes
KXBTC15M-26AUG120600,"Target Price: $63,981.90",2026-08-12 05:45:00-04:00,2026-08-12 06:00:00-04:00,64046.62,63981.9,yes
KXBTC15M-26AUG120545,"Target Price: $63,908.63",2026-08-12 05:30:00-04:00,2026-08-12 05:45:00-04:00,63981.90,63908.63,yes
KXBTC15M-26AUG120530,"Target Price: $63,794.40",2026-08-12 05:15:00-04:00,2026-08-12 05:30:00-04:00,63908.63,63794.4,yes
KXBTC15M-26AUG120515,"Target Price: $63,734.45",2026-08-12 05:00:00-04:00,2026-08-12 05:15:00-04:00,63794.40,63734.45,yes
KXBTC15M-26AUG120500,"Target Price: $63,717.98",2026-08-12 04:45:00-04:00,2026-08-12 05:00:00-04:00,63734.45,63717.98,yes
KXBTC15M-26AUG120445,"Target Price: $63,759.10",2026-08-12 04:30:00-04:00,2026-08-12 04:45:00-04:00,63717.98,63759.1,no
KXBTC15M-26AUG120430,"Target Price: $63,723.41",2026-08-12 04:15:00-04:00,2026-08-12 04:30:00-04:00,63759.10,63723.41,yes
KXBTC15M-26AUG120415,"Target Price: $63,759.16",2026-08-12 04:00:00-04:00,2026-08-12 04:15:00-04:00,63723.41,63759.16,no
KXBTC15M-26AUG120400,"Target Price: $63,636.07",2026-08-12 03:45:00-04:00,2026-08-12 04:00:00-04:00,63759.16,63636.07,yes
KXBTC15M-26AUG120345,"Target Price: $63,675.01",2026-08-12 03:30:00-04:00,2026-08-12 03:45:00-04:00,63636.07,63675.01,no
KXBTC15M-26AUG120330,"Target Price: $63,701.00",2026-08-12 03:15:00-04:00,2026-08-12 03:30:00-04:00,63675.01,63701.0,no
KXBTC15M-26AUG120315,"Target Price: $63,641.36",2026-08-12 03:00:00-04:00,2026-08-12 03:15:00-04:00,63701.00,63641.36,yes
KXBTC15M-26AUG120300,"Target Price: $63,587.07",2026-08-12 02:45:00-04:00,2026-08-12 03:00:00-04:00,63641.36,63587.07,yes
KXBTC15M-26AUG120245,"Target Price: $63,582.32",2026-08-12 02:30:00-04:00,2026-08-12 02:45:00-04:00,63587.07,63582.32,yes
KXBTC15M-26AUG120230,"Target Price: $63,648.14",2026-08-12 02:15:00-04:00,2026-08-12 02:30:00-04:00,63582.32,63648.14,no
KXBTC15M-26AUG120215,"Target Price: $63,794.76",2026-08-12 02:00:00-04:00,2026-08-12 02:15:00-04:00,63648.14,63794.76,no
KXBTC15M-26AUG120200,"Target Price: $63,792.88",2026-08-12 01:45:00-04:00,2026-08-12 02:00:00-04:00,63794.76,63792.88,yes
KXBTC15M-26AUG120145,"Target Price: $63,782.30",2026-08-12 01:30:00-04:00,2026-08-12 01:45:00-04:00,63792.88,63782.3,yes
KXBTC15M-26AUG120130,"Target Price: $63,760.64",2026-08-12 01:15:00-04:00,2026-08-12 01:30:00-04:00,63782.30,63760.64,yes
KXBTC15M-26AUG120115,"Target Price: $63,719.60",2026-08-12 01:00:00-04:00,2026-08-12 01:15:00-04:00,63760.64,63719.6,yes
KXBTC15M-26AUG120100,"Target Price: $63,711.90",2026-08-12 00:45:00-04:00,2026-08-12 01:00:00-04:00,63719.60,63711.9,yes
KXBTC15M-26AUG120045,"Target Price: $63,753.04",2026-08-12 00:30:00-04:00,2026-08-12 00:45:00-04:00,63711.90,63753.04,no
KXBTC15M-26AUG120030,"Target Price: $63,727.64",2026-08-12 00:15:00-04:00,2026-08-12 00:30:00-04:00,63753.04,63727.64,yes
KXBTC15M-26AUG120015,"Target Price: $63,771.95",2026-08-12 00:00:00-04:00,2026-08-12 00:15:00-04:00,63727.64,63771.95,no
KXBTC15M-26AUG120000,"Target Price: $63,758.36",2026-08-11 23:45:00-04:00,2026-08-12 00:00:00-04:00,63771.95,63758.36,yes
KXBTC15M-26AUG112345,"Target Price: $63,695.22",2026-08-11 23:30:00-04:00,2026-08-11 23:45:00-04:00,63758.36,63695.22,yes
KXBTC15M-26AUG112330,"Target Price: $63,659.84",2026-08-11 23:15:00-04:00,2026-08-11 23:30:00-04:00,63695.22,63659.84,yes
KXBTC15M-26AUG112315,"Target Price: $63,682.59",2026-08-11 23:00:00-04:00,2026-08-11 23:15:00-04:00,63659.84,63682.59,no
KXBTC15M-26AUG112300,"Target Price: $63,714.51",2026-08-11 22:45:00-04:00,2026-08-11 23:00:00-04:00,63682.59,63714.51,no
KXBTC15M-26AUG112245,"Target Price: $63,820.50",2026-08-11 22:30:00-04:00,2026-08-11 22:45:00-04:00,63714.51,63820.5,no
KXBTC15M-26AUG112230,"Target Price: $63,804.50",2026-08-11 22:15:00-04:00,2026-08-11 22:30:00-04:00,63820.50,63804.5,yes
KXBTC15M-26AUG112215,"Target Price: $63,761.23",2026-08-11 22:00:00-04:00,2026-08-11 22:15:00-04:00,63804.50,63761.23,yes
KXBTC15M-26AUG112200,"Target Price: $63,759.86",2026-08-11 21:45:00-04:00,2026-08-11 22:00:00-04:00,63761.23,63759.86,yes
