event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXDOGE15M-26MAY311945,Target Price: $0.1002396,2026-05-31 19:30:00-04:00,2026-05-31 19:45:00-04:00,0.0999294,0.100239,no
KXDOGE15M-26MAY311930,Target Price: $0.1005513,2026-05-31 19:15:00-04:00,2026-05-31 19:30:00-04:00,0.1002396,0.100551,no
KXDOGE15M-26MAY311915,Target Price: $0.1003431,2026-05-31 19:00:00-04:00,2026-05-31 19:15:00-04:00,0.1005513,0.100343,yes
KXDOGE15M-26MAY311900,Target Price: $0.1003011,2026-05-31 18:45:00-04:00,2026-05-31 19:00:00-04:00,0.1003431,0.100301,yes
KXDOGE15M-26MAY311845,Target Price: $0.1002957,2026-05-31 18:30:00-04:00,2026-05-31 18:45:00-04:00,0.1003011,0.100295,yes
KXDOGE15M-26MAY311830,Target Price: $0.1003288,2026-05-31 18:15:00-04:00,2026-05-31 18:30:00-04:00,0.1002957,0.100328,no
KXDOGE15M-26MAY311815,Target Price: $0.1001367,2026-05-31 18:00:00-04:00,2026-05-31 18:15:00-04:00,0.1003288,0.100136,yes
KXDOGE15M-26MAY311800,Target Price: $0.1000437,2026-05-31 17:45:00-04:00,2026-05-31 18:00:00-04:00,0.1001367,0.100043,yes
KXDOGE15M-26MAY311745,Target Price: $0.0996707,2026-05-31 17:30:00-04:00,2026-05-31 17:45:00-04:00,0.1000437,0.09967,yes
KXDOGE15M-26MAY311730,Target Price: $0.0996328,2026-05-31 17:15:00-04:00,2026-05-31 17:30:00-04:00,0.0996707,0.099632,yes
KXDOGE15M-26MAY311715,Target Price: $0.0997406,2026-05-31 17:00:00-04:00,2026-05-31 17:15:00-04:00,0.0996328,0.09974,no
KXDOGE15M-26MAY311700,Target Price: $0.0995519,2026-05-31 16:45:00-04:00,2026-05-31 17:00:00-04:00,0.0997406,0.099551,yes
KXDOGE15M-26MAY311645,Target Price: $0.0995525,2026-05-31 16:30:00-04:00,2026-05-31 16:45:00-04:00,0.0995519,0.099552,no
KXDOGE15M-26MAY311630,Target Price: $0.0995111,2026-05-31 16:15:00-04:00,2026-05-31 16:30:00-04:00,0.0995525,0.099511,yes
KXDOGE15M-26MAY311615,Target Price: $0.0994200,2026-05-31 16:00:00-04:00,2026-05-31 16:15:00-04:00,0.0995111,0.09942,yes
KXDOGE15M-26MAY311600,Target Price: $0.0993908,2026-05-31 15:45:00-04:00,2026-05-31 16:00:00-04:00,0.0994200,0.09939,yes
KXDOGE15M-26MAY311545,Target Price: $0.0992388,2026-05-31 15:30:00-04:00,2026-05-31 15:45:00-04:00,0.0993908,0.099238,yes
KXDOGE15M-26MAY311530,Target Price: $0.0992562,2026-05-31 15:15:00-04:00,2026-05-31 15:30:00-04:00,0.0992388,0.099256,no
KXDOGE15M-26MAY311515,Target Price: $0.0993983,2026-05-31 15:00:00-04:00,2026-05-31 15:15:00-04:00,0.0992562,0.099398,no
