event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXDOGE15M-26JUN101945,Target Price: $0.0829442,2026-06-10 19:30:00-04:00,2026-06-10 19:45:00-04:00,0.0829491,0.082944,yes
KXDOGE15M-26JUN101930,Target Price: $0.0823326,2026-06-10 19:15:00-04:00,2026-06-10 19:30:00-04:00,0.0829442,0.082332,yes
KXDOGE15M-26JUN101915,Target Price: $0.0823308,2026-06-10 19:00:00-04:00,2026-06-10 19:15:00-04:00,0.0823326,0.08233,yes
KXDOGE15M-26JUN101900,Target Price: $0.0825127,2026-06-10 18:45:00-04:00,2026-06-10 19:00:00-04:00,0.0823308,0.082512,no
KXDOGE15M-26JUN101845,Target Price: $0.0820047,2026-06-10 18:30:00-04:00,2026-06-10 18:45:00-04:00,0.0825127,0.082004,yes
KXDOGE15M-26JUN101830,Target Price: $0.0820501,2026-06-10 18:15:00-04:00,2026-06-10 18:30:00-04:00,0.0820047,0.08205,no
KXDOGE15M-26JUN101815,Target Price: $0.0820933,2026-06-10 18:00:00-04:00,2026-06-10 18:15:00-04:00,0.0820501,0.082093,no
KXDOGE15M-26JUN101800,Target Price: $0.0825681,2026-06-10 17:45:00-04:00,2026-06-10 18:00:00-04:00,0.0820933,0.082568,no
KXDOGE15M-26JUN101745,Target Price: $0.0824377,2026-06-10 17:30:00-04:00,2026-06-10 17:45:00-04:00,0.0825681,0.082437,yes
KXDOGE15M-26JUN101730,Target Price: $0.0821860,2026-06-10 17:15:00-04:00,2026-06-10 17:30:00-04:00,0.0824377,0.082186,yes
KXDOGE15M-26JUN101715,Target Price: $0.0827970,2026-06-10 17:00:00-04:00,2026-06-10 17:15:00-04:00,0.0821860,0.082797,no
KXDOGE15M-26JUN101700,Target Price: $0.0829113,2026-06-10 16:45:00-04:00,2026-06-10 17:00:00-04:00,0.0827970,0.082911,no
KXDOGE15M-26JUN101645,Target Price: $0.0830584,2026-06-10 16:30:00-04:00,2026-06-10 16:45:00-04:00,0.0829113,0.083058,no
KXDOGE15M-26JUN101630,Target Price: $0.0830112,2026-06-10 16:15:00-04:00,2026-06-10 16:30:00-04:00,0.0830584,0.083011,yes
KXDOGE15M-26JUN101615,Target Price: $0.0831566,2026-06-10 16:00:00-04:00,2026-06-10 16:15:00-04:00,0.0830112,0.083156,no
KXDOGE15M-26JUN101600,Target Price: $0.0834089,2026-06-10 15:45:00-04:00,2026-06-10 16:00:00-04:00,0.0831566,0.083408,no
KXDOGE15M-26JUN101545,Target Price: $0.0833751,2026-06-10 15:30:00-04:00,2026-06-10 15:45:00-04:00,0.0834089,0.083375,yes
KXDOGE15M-26JUN101530,Target Price: $0.0834763,2026-06-10 15:15:00-04:00,2026-06-10 15:30:00-04:00,0.0833751,0.083476,no
KXDOGE15M-26JUN101515,Target Price: $0.0838069,2026-06-10 15:00:00-04:00,2026-06-10 15:15:00-04:00,0.0834763,0.083806,no
KXDOGE15M-26JUN101500,Target Price: $0.0833988,2026-06-10 14:45:00-04:00,2026-06-10 15:00:00-04:00,0.0838069,0.083398,yes
KXDOGE15M-26JUN101445,Target Price: $0.0836812,2026-06-10 14:30:00-04:00,2026-06-10 14:45:00-04:00,0.0833988,0.083681,no
KXDOGE15M-26JUN101430,Target Price: $0.0837903,2026-06-10 14:15:00-04:00,2026-06-10 14:30:00-04:00,0.0836812,0.08379,no
KXDOGE15M-26JUN101415,Target Price: $0.0838616,2026-06-10 14:00:00-04:00,2026-06-10 14:15:00-04:00,0.0837903,0.083861,no
KXDOGE15M-26JUN101400,Target Price: $0.0834893,2026-06-10 13:45:00-04:00,2026-06-10 14:00:00-04:00,0.0838616,0.083489,yes
KXDOGE15M-26JUN101345,Target Price: $0.0837845,2026-06-10 13:30:00-04:00,2026-06-10 13:45:00-04:00,0.0834893,0.083784,no
KXDOGE15M-26JUN101330,Target Price: $0.0840880,2026-06-10 13:15:00-04:00,2026-06-10 13:30:00-04:00,0.0837845,0.084088,no
KXDOGE15M-26JUN101315,Target Price: $0.0841099,2026-06-10 13:00:00-04:00,2026-06-10 13:15:00-04:00,0.0840880,0.084109,no
KXDOGE15M-26JUN101300,Target Price: $0.0843808,2026-06-10 12:45:00-04:00,2026-06-10 13:00:00-04:00,0.0841099,0.08438,no
KXDOGE15M-26JUN101245,Target Price: $0.0846778,2026-06-10 12:30:00-04:00,2026-06-10 12:45:00-04:00,0.0843808,0.084677,no
KXDOGE15M-26JUN101230,Target Price: $0.0847824,2026-06-10 12:15:00-04:00,2026-06-10 12:30:00-04:00,0.0846778,0.084782,no
KXDOGE15M-26JUN101215,Target Price: $0.0850325,2026-06-10 12:00:00-04:00,2026-06-10 12:15:00-04:00,0.0847824,0.085032,no
KXDOGE15M-26JUN101200,Target Price: $0.0848386,2026-06-10 11:45:00-04:00,2026-06-10 12:00:00-04:00,0.0850325,0.084838,yes
KXDOGE15M-26JUN101145,Target Price: $0.0847482,2026-06-10 11:30:00-04:00,2026-06-10 11:45:00-04:00,0.0848386,0.084748,yes
KXDOGE15M-26JUN101130,Target Price: $0.0842270,2026-06-10 11:15:00-04:00,2026-06-10 11:30:00-04:00,0.0847482,0.084227,yes
KXDOGE15M-26JUN101115,Target Price: $0.0844316,2026-06-10 11:00:00-04:00,2026-06-10 11:15:00-04:00,0.0842270,0.084431,no
KXDOGE15M-26JUN101100,Target Price: $0.0844263,2026-06-10 10:45:00-04:00,2026-06-10 11:00:00-04:00,0.0844316,0.084426,yes
KXDOGE15M-26JUN101045,Target Price: $0.0843053,2026-06-10 10:30:00-04:00,2026-06-10 10:45:00-04:00,0.0844263,0.084305,yes
KXDOGE15M-26JUN101030,Target Price: $0.0843595,2026-06-10 10:15:00-04:00,2026-06-10 10:30:00-04:00,0.0843053,0.084359,no
KXDOGE15M-26JUN101015,Target Price: $0.0845373,2026-06-10 10:00:00-04:00,2026-06-10 10:15:00-04:00,0.0843595,0.084537,no
KXDOGE15M-26JUN101000,Target Price: $0.0850606,2026-06-10 09:45:00-04:00,2026-06-10 10:00:00-04:00,0.0845373,0.08506,no
KXDOGE15M-26JUN100945,Target Price: $0.0840752,2026-06-10 09:30:00-04:00,2026-06-10 09:45:00-04:00,0.0850606,0.084075,yes
KXDOGE15M-26JUN100930,Target Price: $0.0839731,2026-06-10 09:15:00-04:00,2026-06-10 09:30:00-04:00,0.0840752,0.083973,yes
KXDOGE15M-26JUN100915,Target Price: $0.0838837,2026-06-10 09:00:00-04:00,2026-06-10 09:15:00-04:00,0.0839731,0.083883,yes
KXDOGE15M-26JUN100900,Target Price: $0.0839346,2026-06-10 08:45:00-04:00,2026-06-10 09:00:00-04:00,0.0838837,0.083934,no
KXDOGE15M-26JUN100845,Target Price: $0.0831895,2026-06-10 08:30:00-04:00,2026-06-10 08:45:00-04:00,0.0839346,0.083189,yes
KXDOGE15M-26JUN100830,Target Price: $0.0833291,2026-06-10 08:15:00-04:00,2026-06-10 08:30:00-04:00,0.0831895,0.083329,no
KXDOGE15M-26JUN100815,Target price: TBD,2026-06-10 08:00:00-04:00,2026-06-10 08:15:00-04:00,0.0833291,,yes
KXDOGE15M-26JUN100800,Target Price: $0.0831440,2026-06-10 07:45:00-04:00,2026-06-10 08:00:00-04:00,0.0832455,0.083144,yes
KXDOGE15M-26JUN100745,Target Price: $0.0830951,2026-06-10 07:30:00-04:00,2026-06-10 07:45:00-04:00,0.0831440,0.083095,yes
KXDOGE15M-26JUN100730,Target Price: $0.0832187,2026-06-10 07:15:00-04:00,2026-06-10 07:30:00-04:00,0.0830951,0.083218,no
KXDOGE15M-26JUN100715,Target Price: $0.0836599,2026-06-10 07:00:00-04:00,2026-06-10 07:15:00-04:00,0.0832187,0.083659,no
KXDOGE15M-26JUN100700,Target Price: $0.0836160,2026-06-10 06:45:00-04:00,2026-06-10 07:00:00-04:00,0.0836599,0.083616,yes
KXDOGE15M-26JUN100645,Target Price: $0.0836116,2026-06-10 06:30:00-04:00,2026-06-10 06:45:00-04:00,0.0836160,0.083611,yes
KXDOGE15M-26JUN100630,Target Price: $0.0834395,2026-06-10 06:15:00-04:00,2026-06-10 06:30:00-04:00,0.0836116,0.083439,yes
KXDOGE15M-26JUN100615,Target Price: $0.0834952,2026-06-10 06:00:00-04:00,2026-06-10 06:15:00-04:00,0.0834395,0.083495,no
KXDOGE15M-26JUN100600,Target Price: $0.0834323,2026-06-10 05:45:00-04:00,2026-06-10 06:00:00-04:00,0.0834952,0.083432,yes
KXDOGE15M-26JUN100545,Target Price: $0.0832963,2026-06-10 05:30:00-04:00,2026-06-10 05:45:00-04:00,0.0834323,0.083296,yes
KXDOGE15M-26JUN100530,Target Price: $0.0832184,2026-06-10 05:15:00-04:00,2026-06-10 05:30:00-04:00,0.0832963,0.083218,yes
KXDOGE15M-26JUN100515,Target Price: $0.0833665,2026-06-10 05:00:00-04:00,2026-06-10 05:15:00-04:00,0.0832184,0.083366,no
KXDOGE15M-26JUN100500,Target Price: $0.0832652,2026-06-10 04:45:00-04:00,2026-06-10 05:00:00-04:00,0.0833665,0.083265,yes
KXDOGE15M-26JUN100445,Target Price: $0.0836876,2026-06-10 04:30:00-04:00,2026-06-10 04:45:00-04:00,0.0832652,0.083687,no
KXDOGE15M-26JUN100430,Target Price: $0.0838070,2026-06-10 04:15:00-04:00,2026-06-10 04:30:00-04:00,0.0836876,0.083807,no
KXDOGE15M-26JUN100415,Target Price: $0.0841793,2026-06-10 04:00:00-04:00,2026-06-10 04:15:00-04:00,0.0838070,0.084179,no
KXDOGE15M-26JUN100400,Target Price: $0.0841281,2026-06-10 03:45:00-04:00,2026-06-10 04:00:00-04:00,0.0841793,0.084128,yes
KXDOGE15M-26JUN100345,Target Price: $0.0840169,2026-06-10 03:30:00-04:00,2026-06-10 03:45:00-04:00,0.0841281,0.084016,yes
KXDOGE15M-26JUN100330,Target Price: $0.0838152,2026-06-10 03:15:00-04:00,2026-06-10 03:30:00-04:00,0.0840169,0.083815,yes
KXDOGE15M-26JUN100315,Target Price: $0.0835992,2026-06-10 03:00:00-04:00,2026-06-10 03:15:00-04:00,0.0838152,0.083599,yes
KXDOGE15M-26JUN100300,Target Price: $0.0836574,2026-06-10 02:45:00-04:00,2026-06-10 03:00:00-04:00,0.0835992,0.083657,no
