event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXETH15M-26MAY301945,"Target Price: $2,019.59",2026-05-30 19:30:00-04:00,2026-05-30 19:45:00-04:00,2018.10,2019.59,no
KXETH15M-26MAY301930,"Target Price: $2,018.85",2026-05-30 19:15:00-04:00,2026-05-30 19:30:00-04:00,2019.59,2018.85,yes
KXETH15M-26MAY301915,"Target Price: $2,020.65",2026-05-30 19:00:00-04:00,2026-05-30 19:15:00-04:00,2018.85,2020.65,no
KXETH15M-26MAY301900,"Target Price: $2,018.59",2026-05-30 18:45:00-04:00,2026-05-30 19:00:00-04:00,2020.65,2018.59,yes
KXETH15M-26MAY301845,"Target Price: $2,021.55",2026-05-30 18:30:00-04:00,2026-05-30 18:45:00-04:00,2018.59,2021.55,no
KXETH15M-26MAY301830,"Target Price: $2,022.14",2026-05-30 18:15:00-04:00,2026-05-30 18:30:00-04:00,2021.55,2022.14,no
KXETH15M-26MAY301815,"Target Price: $2,026.04",2026-05-30 18:00:00-04:00,2026-05-30 18:15:00-04:00,2022.14,2026.04,no
KXETH15M-26MAY301800,"Target Price: $2,027.78",2026-05-30 17:45:00-04:00,2026-05-30 18:00:00-04:00,2026.04,2027.78,no
KXETH15M-26MAY301745,"Target Price: $2,027.92",2026-05-30 17:30:00-04:00,2026-05-30 17:45:00-04:00,2027.78,2027.92,no
KXETH15M-26MAY301730,"Target Price: $2,026.67",2026-05-30 17:15:00-04:00,2026-05-30 17:30:00-04:00,2027.92,2026.67,yes
KXETH15M-26MAY301715,"Target Price: $2,024.27",2026-05-30 17:00:00-04:00,2026-05-30 17:15:00-04:00,2026.67,2024.27,yes
KXETH15M-26MAY301700,"Target Price: $2,023.80",2026-05-30 16:45:00-04:00,2026-05-30 17:00:00-04:00,2024.27,2023.8,yes
KXETH15M-26MAY301645,"Target Price: $2,025.33",2026-05-30 16:30:00-04:00,2026-05-30 16:45:00-04:00,2023.80,2025.33,no
KXETH15M-26MAY301630,"Target Price: $2,026.12",2026-05-30 16:15:00-04:00,2026-05-30 16:30:00-04:00,2025.33,2026.12,no
KXETH15M-26MAY301615,"Target Price: $2,025.70",2026-05-30 16:00:00-04:00,2026-05-30 16:15:00-04:00,2026.12,2025.7,yes
KXETH15M-26MAY301600,"Target Price: $2,023.66",2026-05-30 15:45:00-04:00,2026-05-30 16:00:00-04:00,2025.70,2023.66,yes
KXETH15M-26MAY301545,"Target Price: $2,022.77",2026-05-30 15:30:00-04:00,2026-05-30 15:45:00-04:00,2023.66,2022.77,yes
KXETH15M-26MAY301530,"Target Price: $2,023.46",2026-05-30 15:15:00-04:00,2026-05-30 15:30:00-04:00,2022.77,2023.46,no
KXETH15M-26MAY301515,"Target Price: $2,025.03",2026-05-30 15:00:00-04:00,2026-05-30 15:15:00-04:00,2023.46,2025.03,no
KXETH15M-26MAY301500,"Target Price: $2,025.89",2026-05-30 14:45:00-04:00,2026-05-30 15:00:00-04:00,2025.03,2025.89,no
KXETH15M-26MAY301445,"Target Price: $2,022.31",2026-05-30 14:30:00-04:00,2026-05-30 14:45:00-04:00,2025.89,2022.31,yes
KXETH15M-26MAY301430,"Target Price: $2,024.31",2026-05-30 14:15:00-04:00,2026-05-30 14:30:00-04:00,2022.31,2024.31,no
KXETH15M-26MAY301415,"Target Price: $2,024.51",2026-05-30 14:00:00-04:00,2026-05-30 14:15:00-04:00,2024.31,2024.51,no
KXETH15M-26MAY301400,"Target Price: $2,021.46",2026-05-30 13:45:00-04:00,2026-05-30 14:00:00-04:00,2024.51,2021.46,yes
KXETH15M-26MAY301345,"Target Price: $2,023.96",2026-05-30 13:30:00-04:00,2026-05-30 13:45:00-04:00,2021.46,2023.96,no
KXETH15M-26MAY301330,"Target Price: $2,023.11",2026-05-30 13:15:00-04:00,2026-05-30 13:30:00-04:00,2023.96,2023.11,yes
KXETH15M-26MAY301315,"Target Price: $2,024.21",2026-05-30 13:00:00-04:00,2026-05-30 13:15:00-04:00,2023.11,2024.21,no
KXETH15M-26MAY301300,"Target Price: $2,023.99",2026-05-30 12:45:00-04:00,2026-05-30 13:00:00-04:00,2024.21,2023.99,yes
KXETH15M-26MAY301245,"Target Price: $2,022.81",2026-05-30 12:30:00-04:00,2026-05-30 12:45:00-04:00,2023.99,2022.81,yes
KXETH15M-26MAY301230,"Target Price: $2,024.81",2026-05-30 12:15:00-04:00,2026-05-30 12:30:00-04:00,2022.81,2024.81,no
KXETH15M-26MAY301215,"Target Price: $2,023.77",2026-05-30 12:00:00-04:00,2026-05-30 12:15:00-04:00,2024.81,2023.77,yes
KXETH15M-26MAY301200,"Target Price: $2,022.01",2026-05-30 11:45:00-04:00,2026-05-30 12:00:00-04:00,2023.77,2022.01,yes
KXETH15M-26MAY301145,"Target Price: $2,024.09",2026-05-30 11:30:00-04:00,2026-05-30 11:45:00-04:00,2022.01,2024.09,no
KXETH15M-26MAY301130,"Target Price: $2,027.30",2026-05-30 11:15:00-04:00,2026-05-30 11:30:00-04:00,2024.09,2027.3,no
KXETH15M-26MAY301115,"Target Price: $2,024.05",2026-05-30 11:00:00-04:00,2026-05-30 11:15:00-04:00,2027.30,2024.05,yes
KXETH15M-26MAY301100,"Target Price: $2,026.33",2026-05-30 10:45:00-04:00,2026-05-30 11:00:00-04:00,2024.05,2026.33,no
KXETH15M-26MAY301045,"Target Price: $2,024.89",2026-05-30 10:30:00-04:00,2026-05-30 10:45:00-04:00,2026.33,2024.89,yes
KXETH15M-26MAY301030,"Target Price: $2,021.23",2026-05-30 10:15:00-04:00,2026-05-30 10:30:00-04:00,2024.89,2021.23,yes
KXETH15M-26MAY301015,"Target Price: $2,018.07",2026-05-30 10:00:00-04:00,2026-05-30 10:15:00-04:00,2021.23,2018.07,yes
KXETH15M-26MAY301000,"Target Price: $2,016.85",2026-05-30 09:45:00-04:00,2026-05-30 10:00:00-04:00,2018.07,2016.85,yes
KXETH15M-26MAY300945,"Target Price: $2,018.03",2026-05-30 09:30:00-04:00,2026-05-30 09:45:00-04:00,2016.85,2018.03,no
KXETH15M-26MAY300930,"Target Price: $2,017.77",2026-05-30 09:15:00-04:00,2026-05-30 09:30:00-04:00,2018.03,2017.77,yes
KXETH15M-26MAY300915,"Target Price: $2,017.39",2026-05-30 09:00:00-04:00,2026-05-30 09:15:00-04:00,2017.77,2017.39,yes
KXETH15M-26MAY300900,"Target Price: $2,015.25",2026-05-30 08:45:00-04:00,2026-05-30 09:00:00-04:00,2017.39,2015.25,yes
KXETH15M-26MAY300845,"Target Price: $2,016.40",2026-05-30 08:30:00-04:00,2026-05-30 08:45:00-04:00,2015.25,2016.4,no
KXETH15M-26MAY300830,"Target Price: $2,014.76",2026-05-30 08:15:00-04:00,2026-05-30 08:30:00-04:00,2016.40,2014.76,yes
KXETH15M-26MAY300815,"Target Price: $2,014.91",2026-05-30 08:00:00-04:00,2026-05-30 08:15:00-04:00,2014.76,2014.91,no
KXETH15M-26MAY300800,"Target Price: $2,016.14",2026-05-30 07:45:00-04:00,2026-05-30 08:00:00-04:00,2014.91,2016.14,no
KXETH15M-26MAY300745,"Target Price: $2,014.04",2026-05-30 07:30:00-04:00,2026-05-30 07:45:00-04:00,2016.14,2014.04,yes
KXETH15M-26MAY300730,"Target Price: $2,014.28",2026-05-30 07:15:00-04:00,2026-05-30 07:30:00-04:00,2014.04,2014.28,no
KXETH15M-26MAY300715,"Target Price: $2,015.23",2026-05-30 07:00:00-04:00,2026-05-30 07:15:00-04:00,2014.28,2015.23,no
KXETH15M-26MAY300700,"Target Price: $2,017.73",2026-05-30 06:45:00-04:00,2026-05-30 07:00:00-04:00,2015.23,2017.73,no
KXETH15M-26MAY300645,"Target Price: $2,016.40",2026-05-30 06:30:00-04:00,2026-05-30 06:45:00-04:00,2017.73,2016.4,yes
KXETH15M-26MAY300630,"Target Price: $2,014.82",2026-05-30 06:15:00-04:00,2026-05-30 06:30:00-04:00,2016.40,2014.82,yes
KXETH15M-26MAY300615,"Target Price: $2,014.29",2026-05-30 06:00:00-04:00,2026-05-30 06:15:00-04:00,2014.82,2014.29,yes
KXETH15M-26MAY300600,"Target Price: $2,013.29",2026-05-30 05:45:00-04:00,2026-05-30 06:00:00-04:00,2014.29,2013.29,yes
KXETH15M-26MAY300545,"Target Price: $2,013.70",2026-05-30 05:30:00-04:00,2026-05-30 05:45:00-04:00,2013.29,2013.7,no
KXETH15M-26MAY300530,"Target Price: $2,013.17",2026-05-30 05:15:00-04:00,2026-05-30 05:30:00-04:00,2013.70,2013.17,yes
