event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXETH15M-26JUN101945,"Target Price: $1,620.53",2026-06-10 19:30:00-04:00,2026-06-10 19:45:00-04:00,1622.19,1620.53,yes
KXETH15M-26JUN101930,"Target Price: $1,611.02",2026-06-10 19:15:00-04:00,2026-06-10 19:30:00-04:00,1620.53,1611.02,yes
KXETH15M-26JUN101915,"Target Price: $1,616.12",2026-06-10 19:00:00-04:00,2026-06-10 19:15:00-04:00,1611.02,1616.12,no
KXETH15M-26JUN101900,"Target Price: $1,619.63",2026-06-10 18:45:00-04:00,2026-06-10 19:00:00-04:00,1616.12,1619.63,no
KXETH15M-26JUN101845,"Target Price: $1,609.33",2026-06-10 18:30:00-04:00,2026-06-10 18:45:00-04:00,1619.63,1609.33,yes
KXETH15M-26JUN101830,"Target Price: $1,609.31",2026-06-10 18:15:00-04:00,2026-06-10 18:30:00-04:00,1609.33,1609.31,yes
KXETH15M-26JUN101815,"Target Price: $1,609.29",2026-06-10 18:00:00-04:00,2026-06-10 18:15:00-04:00,1609.31,1609.29,yes
KXETH15M-26JUN101800,"Target Price: $1,622.19",2026-06-10 17:45:00-04:00,2026-06-10 18:00:00-04:00,1609.29,1622.19,no
KXETH15M-26JUN101745,"Target Price: $1,618.24",2026-06-10 17:30:00-04:00,2026-06-10 17:45:00-04:00,1622.19,1618.24,yes
KXETH15M-26JUN101730,"Target Price: $1,616.33",2026-06-10 17:15:00-04:00,2026-06-10 17:30:00-04:00,1618.24,1616.33,yes
KXETH15M-26JUN101715,"Target Price: $1,629.35",2026-06-10 17:00:00-04:00,2026-06-10 17:15:00-04:00,1616.33,1629.35,no
KXETH15M-26JUN101700,"Target Price: $1,629.38",2026-06-10 16:45:00-04:00,2026-06-10 17:00:00-04:00,1629.35,1629.38,no
KXETH15M-26JUN101645,"Target Price: $1,631.50",2026-06-10 16:30:00-04:00,2026-06-10 16:45:00-04:00,1629.38,1631.5,no
KXETH15M-26JUN101630,"Target Price: $1,625.31",2026-06-10 16:15:00-04:00,2026-06-10 16:30:00-04:00,1631.50,1625.31,yes
KXETH15M-26JUN101615,"Target Price: $1,629.62",2026-06-10 16:00:00-04:00,2026-06-10 16:15:00-04:00,1625.31,1629.62,no
KXETH15M-26JUN101600,"Target Price: $1,630.55",2026-06-10 15:45:00-04:00,2026-06-10 16:00:00-04:00,1629.62,1630.55,no
KXETH15M-26JUN101545,"Target Price: $1,625.45",2026-06-10 15:30:00-04:00,2026-06-10 15:45:00-04:00,1630.55,1625.45,yes
KXETH15M-26JUN101530,"Target Price: $1,625.52",2026-06-10 15:15:00-04:00,2026-06-10 15:30:00-04:00,1625.45,1625.52,no
KXETH15M-26JUN101515,"Target Price: $1,629.38",2026-06-10 15:00:00-04:00,2026-06-10 15:15:00-04:00,1625.52,1629.38,no
KXETH15M-26JUN101500,"Target Price: $1,624.59",2026-06-10 14:45:00-04:00,2026-06-10 15:00:00-04:00,1629.38,1624.59,yes
KXETH15M-26JUN101445,"Target Price: $1,629.05",2026-06-10 14:30:00-04:00,2026-06-10 14:45:00-04:00,1624.59,1629.05,no
KXETH15M-26JUN101430,"Target Price: $1,629.19",2026-06-10 14:15:00-04:00,2026-06-10 14:30:00-04:00,1629.05,1629.19,no
KXETH15M-26JUN101415,"Target Price: $1,631.28",2026-06-10 14:00:00-04:00,2026-06-10 14:15:00-04:00,1629.19,1631.28,no
KXETH15M-26JUN101400,"Target Price: $1,624.15",2026-06-10 13:45:00-04:00,2026-06-10 14:00:00-04:00,1631.28,1624.15,yes
KXETH15M-26JUN101345,"Target Price: $1,630.24",2026-06-10 13:30:00-04:00,2026-06-10 13:45:00-04:00,1624.15,1630.24,no
KXETH15M-26JUN101330,"Target Price: $1,637.95",2026-06-10 13:15:00-04:00,2026-06-10 13:30:00-04:00,1630.24,1637.95,no
KXETH15M-26JUN101315,"Target Price: $1,640.29",2026-06-10 13:00:00-04:00,2026-06-10 13:15:00-04:00,1637.95,1640.29,no
