event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBNB15M-26JUN111945,Target Price: $602.90,2026-06-11 19:30:00-04:00,2026-06-11 19:45:00-04:00,605.24,602.9,yes
KXBNB15M-26JUN111930,Target Price: $602.77,2026-06-11 19:15:00-04:00,2026-06-11 19:30:00-04:00,602.90,602.77,yes
KXBNB15M-26JUN111915,Target Price: $603.26,2026-06-11 19:00:00-04:00,2026-06-11 19:15:00-04:00,602.77,603.26,no
KXBNB15M-26JUN111900,Target Price: $603.17,2026-06-11 18:45:00-04:00,2026-06-11 19:00:00-04:00,603.26,603.17,yes
KXBNB15M-26JUN111845,Target Price: $603.64,2026-06-11 18:30:00-04:00,2026-06-11 18:45:00-04:00,603.17,603.64,no
KXBNB15M-26JUN111830,Target Price: $604.03,2026-06-11 18:15:00-04:00,2026-06-11 18:30:00-04:00,603.64,604.03,no
KXBNB15M-26JUN111815,Target Price: $602.97,2026-06-11 18:00:00-04:00,2026-06-11 18:15:00-04:00,604.03,602.97,yes
KXBNB15M-26JUN111800,Target Price: $603.59,2026-06-11 17:45:00-04:00,2026-06-11 18:00:00-04:00,602.97,603.59,no
KXBNB15M-26JUN111745,Target Price: $603.85,2026-06-11 17:30:00-04:00,2026-06-11 17:45:00-04:00,603.59,603.85,no
KXBNB15M-26JUN111730,Target Price: $604.04,2026-06-11 17:15:00-04:00,2026-06-11 17:30:00-04:00,603.85,604.04,no
KXBNB15M-26JUN111715,Target Price: $601.81,2026-06-11 17:00:00-04:00,2026-06-11 17:15:00-04:00,604.04,601.81,yes
KXBNB15M-26JUN111700,Target Price: $600.47,2026-06-11 16:45:00-04:00,2026-06-11 17:00:00-04:00,601.81,600.47,yes
KXBNB15M-26JUN111645,Target Price: $601.03,2026-06-11 16:30:00-04:00,2026-06-11 16:45:00-04:00,600.47,601.03,no
KXBNB15M-26JUN111630,Target Price: $603.06,2026-06-11 16:15:00-04:00,2026-06-11 16:30:00-04:00,601.03,603.06,no
KXBNB15M-26JUN111615,Target Price: $603.88,2026-06-11 16:00:00-04:00,2026-06-11 16:15:00-04:00,603.06,603.88,no
KXBNB15M-26JUN111600,Target Price: $604.46,2026-06-11 15:45:00-04:00,2026-06-11 16:00:00-04:00,603.88,604.46,no
KXBNB15M-26JUN111545,Target Price: $604.29,2026-06-11 15:30:00-04:00,2026-06-11 15:45:00-04:00,604.46,604.29,yes
KXBNB15M-26JUN111530,Target Price: $602.98,2026-06-11 15:15:00-04:00,2026-06-11 15:30:00-04:00,604.29,602.98,yes
KXBNB15M-26JUN111515,Target Price: $604.34,2026-06-11 15:00:00-04:00,2026-06-11 15:15:00-04:00,602.98,604.34,no
KXBNB15M-26JUN111500,Target Price: $604.98,2026-06-11 14:45:00-04:00,2026-06-11 15:00:00-04:00,604.34,604.98,no
KXBNB15M-26JUN111445,Target Price: $604.23,2026-06-11 14:30:00-04:00,2026-06-11 14:45:00-04:00,604.98,604.23,yes
KXBNB15M-26JUN111430,Target Price: $604.71,2026-06-11 14:15:00-04:00,2026-06-11 14:30:00-04:00,604.23,604.71,no
KXBNB15M-26JUN111415,Target Price: $604.89,2026-06-11 14:00:00-04:00,2026-06-11 14:15:00-04:00,604.71,604.89,no
KXBNB15M-26JUN111400,Target Price: $603.77,2026-06-11 13:45:00-04:00,2026-06-11 14:00:00-04:00,604.89,603.77,yes
KXBNB15M-26JUN111345,Target Price: $598.25,2026-06-11 13:30:00-04:00,2026-06-11 13:45:00-04:00,603.77,598.25,yes
KXBNB15M-26JUN111330,Target Price: $597.43,2026-06-11 13:15:00-04:00,2026-06-11 13:30:00-04:00,598.25,597.43,yes
KXBNB15M-26JUN111315,Target Price: $597.82,2026-06-11 13:00:00-04:00,2026-06-11 13:15:00-04:00,597.43,597.82,no
KXBNB15M-26JUN111300,Target Price: $598.76,2026-06-11 12:45:00-04:00,2026-06-11 13:00:00-04:00,597.82,598.76,no
KXBNB15M-26JUN111245,Target Price: $598.43,2026-06-11 12:30:00-04:00,2026-06-11 12:45:00-04:00,598.76,598.43,yes
KXBNB15M-26JUN111230,Target Price: $599.79,2026-06-11 12:15:00-04:00,2026-06-11 12:30:00-04:00,598.43,599.79,no
KXBNB15M-26JUN111215,Target Price: $598.01,2026-06-11 12:00:00-04:00,2026-06-11 12:15:00-04:00,599.79,598.01,yes
KXBNB15M-26JUN111200,Target Price: $598.36,2026-06-11 11:45:00-04:00,2026-06-11 12:00:00-04:00,598.01,598.36,no
KXBNB15M-26JUN111145,Target Price: $598.46,2026-06-11 11:30:00-04:00,2026-06-11 11:45:00-04:00,598.36,598.46,no
KXBNB15M-26JUN111130,Target Price: $598.59,2026-06-11 11:15:00-04:00,2026-06-11 11:30:00-04:00,598.46,598.59,no
KXBNB15M-26JUN111115,Target Price: $598.32,2026-06-11 11:00:00-04:00,2026-06-11 11:15:00-04:00,598.59,598.32,yes
KXBNB15M-26JUN111100,Target Price: $599.85,2026-06-11 10:45:00-04:00,2026-06-11 11:00:00-04:00,598.32,599.85,no
KXBNB15M-26JUN111045,Target Price: $599.43,2026-06-11 10:30:00-04:00,2026-06-11 10:45:00-04:00,599.85,599.43,yes
KXBNB15M-26JUN111030,Target Price: $598.94,2026-06-11 10:15:00-04:00,2026-06-11 10:30:00-04:00,599.43,598.94,yes
KXBNB15M-26JUN111015,Target Price: $601.18,2026-06-11 10:00:00-04:00,2026-06-11 10:15:00-04:00,598.94,601.18,no
KXBNB15M-26JUN111000,Target Price: $600.33,2026-06-11 09:45:00-04:00,2026-06-11 10:00:00-04:00,601.18,600.33,yes
KXBNB15M-26JUN110945,Target Price: $599.13,2026-06-11 09:30:00-04:00,2026-06-11 09:45:00-04:00,600.33,599.13,yes
KXBNB15M-26JUN110930,Target Price: $599.48,2026-06-11 09:15:00-04:00,2026-06-11 09:30:00-04:00,599.13,599.48,no
KXBNB15M-26JUN110915,Target Price: $599.59,2026-06-11 09:00:00-04:00,2026-06-11 09:15:00-04:00,599.48,599.59,no
KXBNB15M-26JUN110900,Target Price: $598.84,2026-06-11 08:45:00-04:00,2026-06-11 09:00:00-04:00,599.59,598.84,yes
