event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXETH15M-26JUN111945,"Target Price: $1,669.09",2026-06-11 19:30:00-04:00,2026-06-11 19:45:00-04:00,1675.42,1669.09,yes
KXETH15M-26JUN111930,"Target Price: $1,671.81",2026-06-11 19:15:00-04:00,2026-06-11 19:30:00-04:00,1669.09,1671.81,no
KXETH15M-26JUN111915,"Target Price: $1,675.34",2026-06-11 19:00:00-04:00,2026-06-11 19:15:00-04:00,1671.81,1675.34,no
KXETH15M-26JUN111900,"Target Price: $1,675.23",2026-06-11 18:45:00-04:00,2026-06-11 19:00:00-04:00,1675.34,1675.23,yes
KXETH15M-26JUN111845,"Target Price: $1,676.63",2026-06-11 18:30:00-04:00,2026-06-11 18:45:00-04:00,1675.23,1676.63,no
KXETH15M-26JUN111830,"Target Price: $1,679.69",2026-06-11 18:15:00-04:00,2026-06-11 18:30:00-04:00,1676.63,1679.69,no
KXETH15M-26JUN111815,"Target Price: $1,675.05",2026-06-11 18:00:00-04:00,2026-06-11 18:15:00-04:00,1679.69,1675.05,yes
KXETH15M-26JUN111800,"Target Price: $1,678.63",2026-06-11 17:45:00-04:00,2026-06-11 18:00:00-04:00,1675.05,1678.63,no
KXETH15M-26JUN111745,"Target Price: $1,677.14",2026-06-11 17:30:00-04:00,2026-06-11 17:45:00-04:00,1678.63,1677.14,yes
KXETH15M-26JUN111730,"Target Price: $1,680.77",2026-06-11 17:15:00-04:00,2026-06-11 17:30:00-04:00,1677.14,1680.77,no
KXETH15M-26JUN111715,"Target Price: $1,670.81",2026-06-11 17:00:00-04:00,2026-06-11 17:15:00-04:00,1680.77,1670.81,yes
KXETH15M-26JUN111700,"Target Price: $1,667.23",2026-06-11 16:45:00-04:00,2026-06-11 17:00:00-04:00,1670.81,1667.23,yes
KXETH15M-26JUN111645,"Target Price: $1,669.23",2026-06-11 16:30:00-04:00,2026-06-11 16:45:00-04:00,1667.23,1669.23,no
KXETH15M-26JUN111630,"Target Price: $1,678.09",2026-06-11 16:15:00-04:00,2026-06-11 16:30:00-04:00,1669.23,1678.09,no
