event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXSOL15M-26JUN111945,Target Price: $66.6875,2026-06-11 19:30:00-04:00,2026-06-11 19:45:00-04:00,66.9763,66.6875,yes
KXSOL15M-26JUN111930,Target Price: $66.7238,2026-06-11 19:15:00-04:00,2026-06-11 19:30:00-04:00,66.6875,66.7238,no
KXSOL15M-26JUN111915,Target Price: $66.8778,2026-06-11 19:00:00-04:00,2026-06-11 19:15:00-04:00,66.7238,66.8778,no
KXSOL15M-26JUN111900,Target Price: $66.9043,2026-06-11 18:45:00-04:00,2026-06-11 19:00:00-04:00,66.8778,66.9043,no
KXSOL15M-26JUN111845,Target Price: $66.9297,2026-06-11 18:30:00-04:00,2026-06-11 18:45:00-04:00,66.9043,66.9297,no
KXSOL15M-26JUN111830,Target Price: $67.0140,2026-06-11 18:15:00-04:00,2026-06-11 18:30:00-04:00,66.9297,67.014,no
KXSOL15M-26JUN111815,Target Price: $66.8135,2026-06-11 18:00:00-04:00,2026-06-11 18:15:00-04:00,67.0140,66.8135,yes
KXSOL15M-26JUN111800,Target Price: $66.9520,2026-06-11 17:45:00-04:00,2026-06-11 18:00:00-04:00,66.8135,66.952,no
KXSOL15M-26JUN111745,Target Price: $66.8912,2026-06-11 17:30:00-04:00,2026-06-11 17:45:00-04:00,66.9520,66.8912,yes
KXSOL15M-26JUN111730,Target Price: $67.0060,2026-06-11 17:15:00-04:00,2026-06-11 17:30:00-04:00,66.8912,67.006,no
KXSOL15M-26JUN111715,Target Price: $66.5403,2026-06-11 17:00:00-04:00,2026-06-11 17:15:00-04:00,67.0060,66.5403,yes
KXSOL15M-26JUN111700,Target Price: $66.3870,2026-06-11 16:45:00-04:00,2026-06-11 17:00:00-04:00,66.5403,66.387,yes
KXSOL15M-26JUN111645,Target Price: $66.5213,2026-06-11 16:30:00-04:00,2026-06-11 16:45:00-04:00,66.3870,66.5213,no
KXSOL15M-26JUN111630,Target Price: $66.8053,2026-06-11 16:15:00-04:00,2026-06-11 16:30:00-04:00,66.5213,66.8053,no
KXSOL15M-26JUN111615,Target Price: $66.8668,2026-06-11 16:00:00-04:00,2026-06-11 16:15:00-04:00,66.8053,66.8668,no
KXSOL15M-26JUN111600,Target Price: $66.9618,2026-06-11 15:45:00-04:00,2026-06-11 16:00:00-04:00,66.8668,66.9618,no
KXSOL15M-26JUN111545,Target Price: $66.9425,2026-06-11 15:30:00-04:00,2026-06-11 15:45:00-04:00,66.9618,66.9425,yes
KXSOL15M-26JUN111530,Target Price: $66.7135,2026-06-11 15:15:00-04:00,2026-06-11 15:30:00-04:00,66.9425,66.7135,yes
KXSOL15M-26JUN111515,Target Price: $66.7652,2026-06-11 15:00:00-04:00,2026-06-11 15:15:00-04:00,66.7135,66.7652,no
KXSOL15M-26JUN111500,Target Price: $66.8950,2026-06-11 14:45:00-04:00,2026-06-11 15:00:00-04:00,66.7652,66.895,no
KXSOL15M-26JUN111445,Target Price: $66.7255,2026-06-11 14:30:00-04:00,2026-06-11 14:45:00-04:00,66.8950,66.7255,yes
