event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXHYPE15M-26MAY311945,Target Price: $72.3707,2026-05-31 19:30:00-04:00,2026-05-31 19:45:00-04:00,71.8070,72.3707,no
KXHYPE15M-26MAY311930,Target Price: $72.3032,2026-05-31 19:15:00-04:00,2026-05-31 19:30:00-04:00,72.3707,72.3032,yes
KXHYPE15M-26MAY311915,Target Price: $72.5625,2026-05-31 19:00:00-04:00,2026-05-31 19:15:00-04:00,72.3032,72.5625,no
KXHYPE15M-26MAY311900,Target Price: $72.6748,2026-05-31 18:45:00-04:00,2026-05-31 19:00:00-04:00,72.5625,72.6748,no
KXHYPE15M-26MAY311845,Target Price: $72.2341,2026-05-31 18:30:00-04:00,2026-05-31 18:45:00-04:00,72.6748,72.2341,yes
KXHYPE15M-26MAY311830,Target Price: $71.7832,2026-05-31 18:15:00-04:00,2026-05-31 18:30:00-04:00,72.2341,71.7832,yes
KXHYPE15M-26MAY311815,Target Price: $71.3827,2026-05-31 18:00:00-04:00,2026-05-31 18:15:00-04:00,71.7832,71.3827,yes
KXHYPE15M-26MAY311800,Target Price: $71.3414,2026-05-31 17:45:00-04:00,2026-05-31 18:00:00-04:00,71.3827,71.3414,yes
KXHYPE15M-26MAY311745,Target Price: $70.8310,2026-05-31 17:30:00-04:00,2026-05-31 17:45:00-04:00,71.3414,70.831,yes
KXHYPE15M-26MAY311730,Target Price: $70.9482,2026-05-31 17:15:00-04:00,2026-05-31 17:30:00-04:00,70.8310,70.9482,no
KXHYPE15M-26MAY311715,Target Price: $70.0705,2026-05-31 17:00:00-04:00,2026-05-31 17:15:00-04:00,70.9482,70.0705,yes
KXHYPE15M-26MAY311700,Target Price: $69.5933,2026-05-31 16:45:00-04:00,2026-05-31 17:00:00-04:00,70.0705,69.5933,yes
KXHYPE15M-26MAY311645,Target Price: $69.1243,2026-05-31 16:30:00-04:00,2026-05-31 16:45:00-04:00,69.5933,69.1243,yes
KXHYPE15M-26MAY311630,Target Price: $69.0580,2026-05-31 16:15:00-04:00,2026-05-31 16:30:00-04:00,69.1243,69.058,yes
KXHYPE15M-26MAY311615,Target Price: $69.2054,2026-05-31 16:00:00-04:00,2026-05-31 16:15:00-04:00,69.0580,69.2054,no
KXHYPE15M-26MAY311600,Target Price: $68.9207,2026-05-31 15:45:00-04:00,2026-05-31 16:00:00-04:00,69.2054,68.9207,yes
KXHYPE15M-26MAY311545,Target Price: $68.7544,2026-05-31 15:30:00-04:00,2026-05-31 15:45:00-04:00,68.9207,68.7544,yes
KXHYPE15M-26MAY311530,Target Price: $68.8852,2026-05-31 15:15:00-04:00,2026-05-31 15:30:00-04:00,68.7544,68.8852,no
KXHYPE15M-26MAY311515,Target Price: $68.9179,2026-05-31 15:00:00-04:00,2026-05-31 15:15:00-04:00,68.8852,68.9179,no
KXHYPE15M-26MAY311500,Target Price: $68.8462,2026-05-31 14:45:00-04:00,2026-05-31 15:00:00-04:00,68.9179,68.8462,yes
KXHYPE15M-26MAY311445,Target Price: $68.7672,2026-05-31 14:30:00-04:00,2026-05-31 14:45:00-04:00,68.8462,68.7672,yes
KXHYPE15M-26MAY311430,Target Price: $68.8305,2026-05-31 14:15:00-04:00,2026-05-31 14:30:00-04:00,68.7672,68.8305,no
KXHYPE15M-26MAY311415,Target Price: $68.7694,2026-05-31 14:00:00-04:00,2026-05-31 14:15:00-04:00,68.8305,68.7694,yes
KXHYPE15M-26MAY311400,Target Price: $68.9532,2026-05-31 13:45:00-04:00,2026-05-31 14:00:00-04:00,68.7694,68.9532,no
KXHYPE15M-26MAY311345,Target Price: $68.5449,2026-05-31 13:30:00-04:00,2026-05-31 13:45:00-04:00,68.9532,68.5449,yes
KXHYPE15M-26MAY311330,Target Price: $68.0884,2026-05-31 13:15:00-04:00,2026-05-31 13:30:00-04:00,68.5449,68.0884,yes
KXHYPE15M-26MAY311315,Target Price: $67.8271,2026-05-31 13:00:00-04:00,2026-05-31 13:15:00-04:00,68.0884,67.8271,yes
KXHYPE15M-26MAY311300,Target Price: $67.8302,2026-05-31 12:45:00-04:00,2026-05-31 13:00:00-04:00,67.8271,67.8302,no
KXHYPE15M-26MAY311245,Target Price: $68.0829,2026-05-31 12:30:00-04:00,2026-05-31 12:45:00-04:00,67.8302,68.0829,no
KXHYPE15M-26MAY311230,Target Price: $68.3171,2026-05-31 12:15:00-04:00,2026-05-31 12:30:00-04:00,68.0829,68.3171,no
KXHYPE15M-26MAY311215,Target Price: $68.5860,2026-05-31 12:00:00-04:00,2026-05-31 12:15:00-04:00,68.3171,68.586,no
KXHYPE15M-26MAY311200,Target Price: $68.2297,2026-05-31 11:45:00-04:00,2026-05-31 12:00:00-04:00,68.5860,68.2297,yes
KXHYPE15M-26MAY311145,Target Price: $68.9651,2026-05-31 11:30:00-04:00,2026-05-31 11:45:00-04:00,68.2297,68.9651,no
KXHYPE15M-26MAY311130,Target Price: $68.6916,2026-05-31 11:15:00-04:00,2026-05-31 11:30:00-04:00,68.9651,68.6916,yes
KXHYPE15M-26MAY311115,Target Price: $68.1162,2026-05-31 11:00:00-04:00,2026-05-31 11:15:00-04:00,68.6916,68.1162,yes
KXHYPE15M-26MAY311100,Target Price: $68.1827,2026-05-31 10:45:00-04:00,2026-05-31 11:00:00-04:00,68.1162,68.1827,no
KXHYPE15M-26MAY311045,Target Price: $67.9236,2026-05-31 10:30:00-04:00,2026-05-31 10:45:00-04:00,68.1827,67.9236,yes
KXHYPE15M-26MAY311030,Target Price: $68.2698,2026-05-31 10:15:00-04:00,2026-05-31 10:30:00-04:00,67.9236,68.2698,no
KXHYPE15M-26MAY311015,Target Price: $67.9408,2026-05-31 10:00:00-04:00,2026-05-31 10:15:00-04:00,68.2698,67.9408,yes
KXHYPE15M-26MAY311000,Target Price: $68.0527,2026-05-31 09:45:00-04:00,2026-05-31 10:00:00-04:00,67.9408,68.0527,no
KXHYPE15M-26MAY310945,Target Price: $68.1507,2026-05-31 09:30:00-04:00,2026-05-31 09:45:00-04:00,68.0527,68.1507,no
KXHYPE15M-26MAY310930,Target Price: $68.0104,2026-05-31 09:15:00-04:00,2026-05-31 09:30:00-04:00,68.1507,68.0104,yes
KXHYPE15M-26MAY310915,Target Price: $67.9442,2026-05-31 09:00:00-04:00,2026-05-31 09:15:00-04:00,68.0104,67.9442,yes
KXHYPE15M-26MAY310900,Target Price: $68.2514,2026-05-31 08:45:00-04:00,2026-05-31 09:00:00-04:00,67.9442,68.2514,no
KXHYPE15M-26MAY310845,Target Price: $67.7971,2026-05-31 08:30:00-04:00,2026-05-31 08:45:00-04:00,68.2514,67.7971,yes
KXHYPE15M-26MAY310830,Target Price: $67.6903,2026-05-31 08:15:00-04:00,2026-05-31 08:30:00-04:00,67.7971,67.6903,yes
KXHYPE15M-26MAY310815,Target Price: $67.7164,2026-05-31 08:00:00-04:00,2026-05-31 08:15:00-04:00,67.6903,67.7164,no
KXHYPE15M-26MAY310800,Target Price: $67.4925,2026-05-31 07:45:00-04:00,2026-05-31 08:00:00-04:00,67.7164,67.4925,yes
KXHYPE15M-26MAY310745,Target Price: $67.5568,2026-05-31 07:30:00-04:00,2026-05-31 07:45:00-04:00,67.4925,67.5568,no
KXHYPE15M-26MAY310730,Target Price: $68.0228,2026-05-31 07:15:00-04:00,2026-05-31 07:30:00-04:00,67.5568,68.0228,no
KXHYPE15M-26MAY310715,Target Price: $68.2953,2026-05-31 07:00:00-04:00,2026-05-31 07:15:00-04:00,68.0228,68.2953,no
KXHYPE15M-26MAY310700,Target Price: $68.0123,2026-05-31 06:45:00-04:00,2026-05-31 07:00:00-04:00,68.2953,68.0123,yes
KXHYPE15M-26MAY310645,Target Price: $68.3993,2026-05-31 06:30:00-04:00,2026-05-31 06:45:00-04:00,68.0123,68.3993,no
KXHYPE15M-26MAY310630,Target Price: $68.4741,2026-05-31 06:15:00-04:00,2026-05-31 06:30:00-04:00,68.3993,68.4741,no
KXHYPE15M-26MAY310615,Target Price: $68.4347,2026-05-31 06:00:00-04:00,2026-05-31 06:15:00-04:00,68.4741,68.4347,yes
KXHYPE15M-26MAY310600,Target Price: $68.6402,2026-05-31 05:45:00-04:00,2026-05-31 06:00:00-04:00,68.4347,68.6402,no
KXHYPE15M-26MAY310545,Target Price: $68.3385,2026-05-31 05:30:00-04:00,2026-05-31 05:45:00-04:00,68.6402,68.3385,yes
KXHYPE15M-26MAY310530,Target Price: $68.6046,2026-05-31 05:15:00-04:00,2026-05-31 05:30:00-04:00,68.3385,68.6046,no
KXHYPE15M-26MAY310515,Target Price: $68.8439,2026-05-31 05:00:00-04:00,2026-05-31 05:15:00-04:00,68.6046,68.8439,no
KXHYPE15M-26MAY310500,Target Price: $69.0420,2026-05-31 04:45:00-04:00,2026-05-31 05:00:00-04:00,68.8439,69.042,no
KXHYPE15M-26MAY310445,Target Price: $69.2342,2026-05-31 04:30:00-04:00,2026-05-31 04:45:00-04:00,69.0420,69.2342,no
KXHYPE15M-26MAY310430,Target Price: $69.3738,2026-05-31 04:15:00-04:00,2026-05-31 04:30:00-04:00,69.2342,69.3738,no
KXHYPE15M-26MAY310415,Target Price: $69.2218,2026-05-31 04:00:00-04:00,2026-05-31 04:15:00-04:00,69.3738,69.2218,yes
KXHYPE15M-26MAY310400,Target Price: $69.4245,2026-05-31 03:45:00-04:00,2026-05-31 04:00:00-04:00,69.2218,69.4245,no
KXHYPE15M-26MAY310345,Target Price: $69.1990,2026-05-31 03:30:00-04:00,2026-05-31 03:45:00-04:00,69.4245,69.199,yes
KXHYPE15M-26MAY310330,Target Price: $69.0490,2026-05-31 03:15:00-04:00,2026-05-31 03:30:00-04:00,69.1990,69.049,yes
KXHYPE15M-26MAY310315,Target Price: $69.1795,2026-05-31 03:00:00-04:00,2026-05-31 03:15:00-04:00,69.0490,69.1795,no
KXHYPE15M-26MAY310300,Target Price: $69.0575,2026-05-31 02:45:00-04:00,2026-05-31 03:00:00-04:00,69.1795,69.0575,yes
KXHYPE15M-26MAY310245,Target Price: $69.7020,2026-05-31 02:30:00-04:00,2026-05-31 02:45:00-04:00,69.0575,69.702,no
KXHYPE15M-26MAY310230,Target Price: $69.5024,2026-05-31 02:15:00-04:00,2026-05-31 02:30:00-04:00,69.7020,69.5024,yes
KXHYPE15M-26MAY310215,Target Price: $69.4948,2026-05-31 02:00:00-04:00,2026-05-31 02:15:00-04:00,69.5024,69.4948,yes
KXHYPE15M-26MAY310200,Target Price: $69.3693,2026-05-31 01:45:00-04:00,2026-05-31 02:00:00-04:00,69.4948,69.3693,yes
KXHYPE15M-26MAY310145,Target Price: $69.3679,2026-05-31 01:30:00-04:00,2026-05-31 01:45:00-04:00,69.3693,69.3679,yes
KXHYPE15M-26MAY310130,Target Price: $69.6145,2026-05-31 01:15:00-04:00,2026-05-31 01:30:00-04:00,69.3679,69.6145,no
KXHYPE15M-26MAY310115,Target Price: $69.8048,2026-05-31 01:00:00-04:00,2026-05-31 01:15:00-04:00,69.6145,69.8048,no
KXHYPE15M-26MAY310100,Target Price: $69.5373,2026-05-31 00:45:00-04:00,2026-05-31 01:00:00-04:00,69.8048,69.5373,yes
KXHYPE15M-26MAY310045,Target Price: $69.2051,2026-05-31 00:30:00-04:00,2026-05-31 00:45:00-04:00,69.5373,69.2051,yes
KXHYPE15M-26MAY310030,Target Price: $68.5146,2026-05-31 00:15:00-04:00,2026-05-31 00:30:00-04:00,69.2051,68.5146,yes
KXHYPE15M-26MAY310015,Target Price: $68.7665,2026-05-31 00:00:00-04:00,2026-05-31 00:15:00-04:00,68.5146,68.7665,no
KXHYPE15M-26MAY310000,Target Price: $68.7124,2026-05-30 23:45:00-04:00,2026-05-31 00:00:00-04:00,68.7665,68.7124,yes
KXHYPE15M-26MAY302345,Target Price: $68.4639,2026-05-30 23:30:00-04:00,2026-05-30 23:45:00-04:00,68.7124,68.4639,yes
