event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXDOGE15M-26JUN141945,Target Price: $0.0888246,2026-06-14 19:30:00-04:00,2026-06-14 19:45:00-04:00,0.0885271,0.088824,no
KXDOGE15M-26JUN141930,Target Price: $0.0883788,2026-06-14 19:15:00-04:00,2026-06-14 19:30:00-04:00,0.0888246,0.088378,yes
KXDOGE15M-26JUN141915,Target Price: $0.0882995,2026-06-14 19:00:00-04:00,2026-06-14 19:15:00-04:00,0.0883788,0.088299,yes
KXDOGE15M-26JUN141900,Target Price: $0.0884810,2026-06-14 18:45:00-04:00,2026-06-14 19:00:00-04:00,0.0882995,0.088481,no
KXDOGE15M-26JUN141845,Target Price: $0.0882432,2026-06-14 18:30:00-04:00,2026-06-14 18:45:00-04:00,0.0884810,0.088243,yes
KXDOGE15M-26JUN141830,Target Price: $0.0884220,2026-06-14 18:15:00-04:00,2026-06-14 18:30:00-04:00,0.0882432,0.088422,no
KXDOGE15M-26JUN141815,Target Price: $0.0885322,2026-06-14 18:00:00-04:00,2026-06-14 18:15:00-04:00,0.0884220,0.088532,no
KXDOGE15M-26JUN141800,Target Price: $0.0885171,2026-06-14 17:45:00-04:00,2026-06-14 18:00:00-04:00,0.0885322,0.088517,yes
KXDOGE15M-26JUN141745,Target Price: $0.0878257,2026-06-14 17:30:00-04:00,2026-06-14 17:45:00-04:00,0.0885171,0.087825,yes
KXDOGE15M-26JUN141730,Target Price: $0.0867853,2026-06-14 17:15:00-04:00,2026-06-14 17:30:00-04:00,0.0878257,0.086785,yes
KXDOGE15M-26JUN141715,Target Price: $0.0866278,2026-06-14 17:00:00-04:00,2026-06-14 17:15:00-04:00,0.0867853,0.086627,yes
KXDOGE15M-26JUN141700,Target Price: $0.0868213,2026-06-14 16:45:00-04:00,2026-06-14 17:00:00-04:00,0.0866278,0.086821,no
KXDOGE15M-26JUN141645,Target Price: $0.0866543,2026-06-14 16:30:00-04:00,2026-06-14 16:45:00-04:00,0.0868213,0.086654,yes
KXDOGE15M-26JUN141630,Target Price: $0.0863402,2026-06-14 16:15:00-04:00,2026-06-14 16:30:00-04:00,0.0866543,0.08634,yes
KXDOGE15M-26JUN141615,Target Price: $0.0864065,2026-06-14 16:00:00-04:00,2026-06-14 16:15:00-04:00,0.0863402,0.086406,no
KXDOGE15M-26JUN141600,Target Price: $0.0864325,2026-06-14 15:45:00-04:00,2026-06-14 16:00:00-04:00,0.0864065,0.086432,no
KXDOGE15M-26JUN141545,Target Price: $0.0865183,2026-06-14 15:30:00-04:00,2026-06-14 15:45:00-04:00,0.0864325,0.086518,no
KXDOGE15M-26JUN141530,Target Price: $0.0864795,2026-06-14 15:15:00-04:00,2026-06-14 15:30:00-04:00,0.0865183,0.086479,yes
KXDOGE15M-26JUN141515,Target Price: $0.0863460,2026-06-14 15:00:00-04:00,2026-06-14 15:15:00-04:00,0.0864795,0.086346,yes
KXDOGE15M-26JUN141500,Target Price: $0.0862926,2026-06-14 14:45:00-04:00,2026-06-14 15:00:00-04:00,0.0863460,0.086292,yes
KXDOGE15M-26JUN141445,Target Price: $0.0861618,2026-06-14 14:30:00-04:00,2026-06-14 14:45:00-04:00,0.0862926,0.086161,yes
KXDOGE15M-26JUN141430,Target Price: $0.0863762,2026-06-14 14:15:00-04:00,2026-06-14 14:30:00-04:00,0.0861618,0.086376,no
KXDOGE15M-26JUN141415,Target Price: $0.0863383,2026-06-14 14:00:00-04:00,2026-06-14 14:15:00-04:00,0.0863762,0.086338,yes
KXDOGE15M-26JUN141400,Target Price: $0.0864598,2026-06-14 13:45:00-04:00,2026-06-14 14:00:00-04:00,0.0863383,0.086459,no
KXDOGE15M-26JUN141345,Target Price: $0.0864231,2026-06-14 13:30:00-04:00,2026-06-14 13:45:00-04:00,0.0864598,0.086423,yes
KXDOGE15M-26JUN141330,Target Price: $0.0864947,2026-06-14 13:15:00-04:00,2026-06-14 13:30:00-04:00,0.0864231,0.086494,no
KXDOGE15M-26JUN141315,Target Price: $0.0864494,2026-06-14 13:00:00-04:00,2026-06-14 13:15:00-04:00,0.0864947,0.086449,yes
KXDOGE15M-26JUN141300,Target Price: $0.0865796,2026-06-14 12:45:00-04:00,2026-06-14 13:00:00-04:00,0.0864494,0.086579,no
KXDOGE15M-26JUN141245,Target Price: $0.0865175,2026-06-14 12:30:00-04:00,2026-06-14 12:45:00-04:00,0.0865796,0.086517,yes
KXDOGE15M-26JUN141230,Target Price: $0.0864292,2026-06-14 12:15:00-04:00,2026-06-14 12:30:00-04:00,0.0865175,0.086429,yes
KXDOGE15M-26JUN141215,Target Price: $0.0862718,2026-06-14 12:00:00-04:00,2026-06-14 12:15:00-04:00,0.0864292,0.086271,yes
KXDOGE15M-26JUN141200,Target Price: $0.0860829,2026-06-14 11:45:00-04:00,2026-06-14 12:00:00-04:00,0.0862718,0.086082,yes
KXDOGE15M-26JUN141145,Target Price: $0.0860050,2026-06-14 11:30:00-04:00,2026-06-14 11:45:00-04:00,0.0860829,0.086005,yes
KXDOGE15M-26JUN141130,Target Price: $0.0861005,2026-06-14 11:15:00-04:00,2026-06-14 11:30:00-04:00,0.0860050,0.0861,no
