event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXSOL15M-26JUN141945,Target Price: $70.7815,2026-06-14 19:30:00-04:00,2026-06-14 19:45:00-04:00,70.7082,70.7815,no
KXSOL15M-26JUN141930,Target Price: $70.5028,2026-06-14 19:15:00-04:00,2026-06-14 19:30:00-04:00,70.7815,70.5028,yes
KXSOL15M-26JUN141915,Target Price: $70.3618,2026-06-14 19:00:00-04:00,2026-06-14 19:15:00-04:00,70.5028,70.3618,yes
KXSOL15M-26JUN141900,Target Price: $70.5377,2026-06-14 18:45:00-04:00,2026-06-14 19:00:00-04:00,70.3618,70.5377,no
KXSOL15M-26JUN141845,Target Price: $70.1215,2026-06-14 18:30:00-04:00,2026-06-14 18:45:00-04:00,70.5377,70.1215,yes
KXSOL15M-26JUN141830,Target Price: $70.1920,2026-06-14 18:15:00-04:00,2026-06-14 18:30:00-04:00,70.1215,70.192,no
KXSOL15M-26JUN141815,Target Price: $70.1293,2026-06-14 18:00:00-04:00,2026-06-14 18:15:00-04:00,70.1920,70.1293,yes
KXSOL15M-26JUN141800,Target Price: $70.1387,2026-06-14 17:45:00-04:00,2026-06-14 18:00:00-04:00,70.1293,70.1387,no
KXSOL15M-26JUN141745,Target Price: $69.0947,2026-06-14 17:30:00-04:00,2026-06-14 17:45:00-04:00,70.1387,69.0947,yes
KXSOL15M-26JUN141730,Target Price: $67.9803,2026-06-14 17:15:00-04:00,2026-06-14 17:30:00-04:00,69.0947,67.9803,yes
KXSOL15M-26JUN141715,Target Price: $67.7978,2026-06-14 17:00:00-04:00,2026-06-14 17:15:00-04:00,67.9803,67.7978,yes
KXSOL15M-26JUN141700,Target Price: $67.8800,2026-06-14 16:45:00-04:00,2026-06-14 17:00:00-04:00,67.7978,67.88,no
KXSOL15M-26JUN141645,Target Price: $67.6867,2026-06-14 16:30:00-04:00,2026-06-14 16:45:00-04:00,67.8800,67.6867,yes
KXSOL15M-26JUN141630,Target Price: $67.4920,2026-06-14 16:15:00-04:00,2026-06-14 16:30:00-04:00,67.6867,67.492,yes
KXSOL15M-26JUN141615,Target Price: $67.5432,2026-06-14 16:00:00-04:00,2026-06-14 16:15:00-04:00,67.4920,67.5432,no
KXSOL15M-26JUN141600,Target Price: $67.5502,2026-06-14 15:45:00-04:00,2026-06-14 16:00:00-04:00,67.5432,67.5502,no
KXSOL15M-26JUN141545,Target Price: $67.6017,2026-06-14 15:30:00-04:00,2026-06-14 15:45:00-04:00,67.5502,67.6017,no
KXSOL15M-26JUN141530,Target Price: $67.5023,2026-06-14 15:15:00-04:00,2026-06-14 15:30:00-04:00,67.6017,67.5023,yes
KXSOL15M-26JUN141515,Target Price: $67.3788,2026-06-14 15:00:00-04:00,2026-06-14 15:15:00-04:00,67.5023,67.3788,yes
KXSOL15M-26JUN141500,Target Price: $67.3605,2026-06-14 14:45:00-04:00,2026-06-14 15:00:00-04:00,67.3788,67.3605,yes
KXSOL15M-26JUN141445,Target Price: $67.2550,2026-06-14 14:30:00-04:00,2026-06-14 14:45:00-04:00,67.3605,67.255,yes
KXSOL15M-26JUN141430,Target Price: $67.4245,2026-06-14 14:15:00-04:00,2026-06-14 14:30:00-04:00,67.2550,67.4245,no
KXSOL15M-26JUN141415,Target Price: $67.3128,2026-06-14 14:00:00-04:00,2026-06-14 14:15:00-04:00,67.4245,67.3128,yes
KXSOL15M-26JUN141400,Target Price: $67.5522,2026-06-14 13:45:00-04:00,2026-06-14 14:00:00-04:00,67.3128,67.5522,no
KXSOL15M-26JUN141345,Target Price: $67.5633,2026-06-14 13:30:00-04:00,2026-06-14 13:45:00-04:00,67.5522,67.5633,no
KXSOL15M-26JUN141330,Target Price: $67.6088,2026-06-14 13:15:00-04:00,2026-06-14 13:30:00-04:00,67.5633,67.6088,no
KXSOL15M-26JUN141315,Target Price: $67.4897,2026-06-14 13:00:00-04:00,2026-06-14 13:15:00-04:00,67.6088,67.4897,yes
KXSOL15M-26JUN141300,Target Price: $67.6333,2026-06-14 12:45:00-04:00,2026-06-14 13:00:00-04:00,67.4897,67.6333,no
KXSOL15M-26JUN141245,Target Price: $67.6503,2026-06-14 12:30:00-04:00,2026-06-14 12:45:00-04:00,67.6333,67.6503,no
KXSOL15M-26JUN141230,Target Price: $67.5805,2026-06-14 12:15:00-04:00,2026-06-14 12:30:00-04:00,67.6503,67.5805,yes
KXSOL15M-26JUN141215,Target Price: $67.4138,2026-06-14 12:00:00-04:00,2026-06-14 12:15:00-04:00,67.5805,67.4138,yes
KXSOL15M-26JUN141200,Target Price: $67.4453,2026-06-14 11:45:00-04:00,2026-06-14 12:00:00-04:00,67.4138,67.4453,no
KXSOL15M-26JUN141145,Target Price: $67.3995,2026-06-14 11:30:00-04:00,2026-06-14 11:45:00-04:00,67.4453,67.3995,yes
KXSOL15M-26JUN141130,Target Price: $67.4015,2026-06-14 11:15:00-04:00,2026-06-14 11:30:00-04:00,67.3995,67.4015,no
KXSOL15M-26JUN141115,Target Price: $67.2043,2026-06-14 11:00:00-04:00,2026-06-14 11:15:00-04:00,67.4015,67.2043,yes
KXSOL15M-26JUN141100,Target Price: $66.9802,2026-06-14 10:45:00-04:00,2026-06-14 11:00:00-04:00,67.2043,66.9802,yes
KXSOL15M-26JUN141045,Target Price: $67.6072,2026-06-14 10:30:00-04:00,2026-06-14 10:45:00-04:00,66.9802,67.6072,no
KXSOL15M-26JUN141030,Target Price: $67.6792,2026-06-14 10:15:00-04:00,2026-06-14 10:30:00-04:00,67.6072,67.6792,no
KXSOL15M-26JUN141015,Target Price: $67.7145,2026-06-14 10:00:00-04:00,2026-06-14 10:15:00-04:00,67.6792,67.7145,no
KXSOL15M-26JUN141000,Target Price: $67.7512,2026-06-14 09:45:00-04:00,2026-06-14 10:00:00-04:00,67.7145,67.7512,no
KXSOL15M-26JUN140945,Target Price: $67.6082,2026-06-14 09:30:00-04:00,2026-06-14 09:45:00-04:00,67.7512,67.6082,yes
