event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXXRP15M-26JUN101945,Target Price: $1.0965,2026-06-10 19:30:00-04:00,2026-06-10 19:45:00-04:00,1.0971,1.0965,yes
KXXRP15M-26JUN101930,Target Price: $1.0903,2026-06-10 19:15:00-04:00,2026-06-10 19:30:00-04:00,1.0965,1.0903,yes
KXXRP15M-26JUN101915,Target Price: $1.0946,2026-06-10 19:00:00-04:00,2026-06-10 19:15:00-04:00,1.0903,1.0946,no
KXXRP15M-26JUN101900,Target Price: $1.0975,2026-06-10 18:45:00-04:00,2026-06-10 19:00:00-04:00,1.0946,1.0975,no
KXXRP15M-26JUN101845,Target Price: $1.0913,2026-06-10 18:30:00-04:00,2026-06-10 18:45:00-04:00,1.0975,1.0913,yes
KXXRP15M-26JUN101830,Target Price: $1.0928,2026-06-10 18:15:00-04:00,2026-06-10 18:30:00-04:00,1.0913,1.0928,no
KXXRP15M-26JUN101815,Target Price: $1.0921,2026-06-10 18:00:00-04:00,2026-06-10 18:15:00-04:00,1.0928,1.0921,yes
KXXRP15M-26JUN101800,Target Price: $1.0947,2026-06-10 17:45:00-04:00,2026-06-10 18:00:00-04:00,1.0921,1.0947,no
KXXRP15M-26JUN101745,Target Price: $1.0933,2026-06-10 17:30:00-04:00,2026-06-10 17:45:00-04:00,1.0947,1.0933,yes
KXXRP15M-26JUN101730,Target Price: $1.0913,2026-06-10 17:15:00-04:00,2026-06-10 17:30:00-04:00,1.0933,1.0913,yes
KXXRP15M-26JUN101715,Target Price: $1.0982,2026-06-10 17:00:00-04:00,2026-06-10 17:15:00-04:00,1.0913,1.0982,no
KXXRP15M-26JUN101700,Target Price: $1.0991,2026-06-10 16:45:00-04:00,2026-06-10 17:00:00-04:00,1.0982,1.0991,no
KXXRP15M-26JUN101645,Target Price: $1.0999,2026-06-10 16:30:00-04:00,2026-06-10 16:45:00-04:00,1.0991,1.0999,no
KXXRP15M-26JUN101630,Target Price: $1.0984,2026-06-10 16:15:00-04:00,2026-06-10 16:30:00-04:00,1.0999,1.0984,yes
KXXRP15M-26JUN101615,Target Price: $1.0982,2026-06-10 16:00:00-04:00,2026-06-10 16:15:00-04:00,1.0984,1.0982,yes
KXXRP15M-26JUN101600,Target Price: $1.1003,2026-06-10 15:45:00-04:00,2026-06-10 16:00:00-04:00,1.0982,1.1003,no
KXXRP15M-26JUN101545,Target Price: $1.0998,2026-06-10 15:30:00-04:00,2026-06-10 15:45:00-04:00,1.1003,1.0998,yes
KXXRP15M-26JUN101530,Target Price: $1.0995,2026-06-10 15:15:00-04:00,2026-06-10 15:30:00-04:00,1.0998,1.0995,yes
KXXRP15M-26JUN101515,Target Price: $1.1058,2026-06-10 15:00:00-04:00,2026-06-10 15:15:00-04:00,1.0995,1.1058,no
KXXRP15M-26JUN101500,Target Price: $1.1001,2026-06-10 14:45:00-04:00,2026-06-10 15:00:00-04:00,1.1058,1.1001,yes
KXXRP15M-26JUN101445,Target Price: $1.1049,2026-06-10 14:30:00-04:00,2026-06-10 14:45:00-04:00,1.1001,1.1049,no
KXXRP15M-26JUN101430,Target Price: $1.1056,2026-06-10 14:15:00-04:00,2026-06-10 14:30:00-04:00,1.1049,1.1056,no
KXXRP15M-26JUN101415,Target Price: $1.1092,2026-06-10 14:00:00-04:00,2026-06-10 14:15:00-04:00,1.1056,1.1092,no
KXXRP15M-26JUN101400,Target Price: $1.1052,2026-06-10 13:45:00-04:00,2026-06-10 14:00:00-04:00,1.1092,1.1052,yes
KXXRP15M-26JUN101345,Target Price: $1.1091,2026-06-10 13:30:00-04:00,2026-06-10 13:45:00-04:00,1.1052,1.1091,no
KXXRP15M-26JUN101330,Target Price: $1.1124,2026-06-10 13:15:00-04:00,2026-06-10 13:30:00-04:00,1.1091,1.1124,no
KXXRP15M-26JUN101315,Target Price: $1.1130,2026-06-10 13:00:00-04:00,2026-06-10 13:15:00-04:00,1.1124,1.113,no
KXXRP15M-26JUN101300,Target Price: $1.1162,2026-06-10 12:45:00-04:00,2026-06-10 13:00:00-04:00,1.1130,1.1162,no
KXXRP15M-26JUN101245,Target Price: $1.1207,2026-06-10 12:30:00-04:00,2026-06-10 12:45:00-04:00,1.1162,1.1207,no
KXXRP15M-26JUN101230,Target Price: $1.1229,2026-06-10 12:15:00-04:00,2026-06-10 12:30:00-04:00,1.1207,1.1229,no
KXXRP15M-26JUN101215,Target Price: $1.1273,2026-06-10 12:00:00-04:00,2026-06-10 12:15:00-04:00,1.1229,1.1273,no
KXXRP15M-26JUN101200,Target Price: $1.1271,2026-06-10 11:45:00-04:00,2026-06-10 12:00:00-04:00,1.1273,1.1271,yes
KXXRP15M-26JUN101145,Target Price: $1.1265,2026-06-10 11:30:00-04:00,2026-06-10 11:45:00-04:00,1.1271,1.1265,yes
KXXRP15M-26JUN101130,Target Price: $1.1212,2026-06-10 11:15:00-04:00,2026-06-10 11:30:00-04:00,1.1265,1.1212,yes
KXXRP15M-26JUN101115,Target Price: $1.1232,2026-06-10 11:00:00-04:00,2026-06-10 11:15:00-04:00,1.1212,1.1232,no
KXXRP15M-26JUN101100,Target Price: $1.1225,2026-06-10 10:45:00-04:00,2026-06-10 11:00:00-04:00,1.1232,1.1225,yes
KXXRP15M-26JUN101045,Target Price: $1.1232,2026-06-10 10:30:00-04:00,2026-06-10 10:45:00-04:00,1.1225,1.1232,no
KXXRP15M-26JUN101030,Target Price: $1.1260,2026-06-10 10:15:00-04:00,2026-06-10 10:30:00-04:00,1.1232,1.126,no
KXXRP15M-26JUN101015,Target Price: $1.1294,2026-06-10 10:00:00-04:00,2026-06-10 10:15:00-04:00,1.1260,1.1294,no
KXXRP15M-26JUN101000,Target Price: $1.1344,2026-06-10 09:45:00-04:00,2026-06-10 10:00:00-04:00,1.1294,1.1344,no
KXXRP15M-26JUN100945,Target Price: $1.1190,2026-06-10 09:30:00-04:00,2026-06-10 09:45:00-04:00,1.1344,1.119,yes
KXXRP15M-26JUN100930,Target Price: $1.1168,2026-06-10 09:15:00-04:00,2026-06-10 09:30:00-04:00,1.1190,1.1168,yes
KXXRP15M-26JUN100915,Target Price: $1.1177,2026-06-10 09:00:00-04:00,2026-06-10 09:15:00-04:00,1.1168,1.1177,no
KXXRP15M-26JUN100900,Target Price: $1.1185,2026-06-10 08:45:00-04:00,2026-06-10 09:00:00-04:00,1.1177,1.1185,no
KXXRP15M-26JUN100845,Target Price: $1.1063,2026-06-10 08:30:00-04:00,2026-06-10 08:45:00-04:00,1.1185,1.1063,yes
KXXRP15M-26JUN100830,Target Price: $1.1049,2026-06-10 08:15:00-04:00,2026-06-10 08:30:00-04:00,1.1063,1.1049,yes
KXXRP15M-26JUN100815,Target price: TBD,2026-06-10 08:00:00-04:00,2026-06-10 08:15:00-04:00,1.1049,,yes
KXXRP15M-26JUN100800,Target Price: $1.1030,2026-06-10 07:45:00-04:00,2026-06-10 08:00:00-04:00,1.1037,1.103,yes
KXXRP15M-26JUN100745,Target Price: $1.1023,2026-06-10 07:30:00-04:00,2026-06-10 07:45:00-04:00,1.1030,1.1023,yes
