event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXXRP15M-26MAY311945,Target Price: $1.3321,2026-05-31 19:30:00-04:00,2026-05-31 19:45:00-04:00,1.3273,1.3321,no
KXXRP15M-26MAY311930,Target Price: $1.3355,2026-05-31 19:15:00-04:00,2026-05-31 19:30:00-04:00,1.3321,1.3355,no
KXXRP15M-26MAY311915,Target Price: $1.3357,2026-05-31 19:00:00-04:00,2026-05-31 19:15:00-04:00,1.3355,1.3357,no
KXXRP15M-26MAY311900,Target Price: $1.3346,2026-05-31 18:45:00-04:00,2026-05-31 19:00:00-04:00,1.3357,1.3346,yes
KXXRP15M-26MAY311845,Target Price: $1.3337,2026-05-31 18:30:00-04:00,2026-05-31 18:45:00-04:00,1.3346,1.3337,yes
KXXRP15M-26MAY311830,Target Price: $1.3353,2026-05-31 18:15:00-04:00,2026-05-31 18:30:00-04:00,1.3337,1.3353,no
KXXRP15M-26MAY311815,Target Price: $1.3318,2026-05-31 18:00:00-04:00,2026-05-31 18:15:00-04:00,1.3353,1.3318,yes
KXXRP15M-26MAY311800,Target Price: $1.3315,2026-05-31 17:45:00-04:00,2026-05-31 18:00:00-04:00,1.3318,1.3315,yes
KXXRP15M-26MAY311745,Target Price: $1.3279,2026-05-31 17:30:00-04:00,2026-05-31 17:45:00-04:00,1.3315,1.3279,yes
KXXRP15M-26MAY311730,Target Price: $1.3275,2026-05-31 17:15:00-04:00,2026-05-31 17:30:00-04:00,1.3279,1.3275,yes
KXXRP15M-26MAY311715,Target Price: $1.3284,2026-05-31 17:00:00-04:00,2026-05-31 17:15:00-04:00,1.3275,1.3284,no
KXXRP15M-26MAY311700,Target Price: $1.3263,2026-05-31 16:45:00-04:00,2026-05-31 17:00:00-04:00,1.3284,1.3263,yes
KXXRP15M-26MAY311645,Target Price: $1.3276,2026-05-31 16:30:00-04:00,2026-05-31 16:45:00-04:00,1.3263,1.3276,no
KXXRP15M-26MAY311630,Target Price: $1.3270,2026-05-31 16:15:00-04:00,2026-05-31 16:30:00-04:00,1.3276,1.327,yes
KXXRP15M-26MAY311615,Target Price: $1.3246,2026-05-31 16:00:00-04:00,2026-05-31 16:15:00-04:00,1.3270,1.3246,yes
KXXRP15M-26MAY311600,Target Price: $1.3233,2026-05-31 15:45:00-04:00,2026-05-31 16:00:00-04:00,1.3246,1.3233,yes
KXXRP15M-26MAY311545,Target Price: $1.3219,2026-05-31 15:30:00-04:00,2026-05-31 15:45:00-04:00,1.3233,1.3219,yes
KXXRP15M-26MAY311530,Target Price: $1.3230,2026-05-31 15:15:00-04:00,2026-05-31 15:30:00-04:00,1.3219,1.323,no
KXXRP15M-26MAY311515,Target Price: $1.3257,2026-05-31 15:00:00-04:00,2026-05-31 15:15:00-04:00,1.3230,1.3257,no
KXXRP15M-26MAY311500,Target Price: $1.3261,2026-05-31 14:45:00-04:00,2026-05-31 15:00:00-04:00,1.3257,1.3261,no
KXXRP15M-26MAY311445,Target Price: $1.3264,2026-05-31 14:30:00-04:00,2026-05-31 14:45:00-04:00,1.3261,1.3264,no
KXXRP15M-26MAY311430,Target Price: $1.3275,2026-05-31 14:15:00-04:00,2026-05-31 14:30:00-04:00,1.3264,1.3275,no
KXXRP15M-26MAY311415,Target Price: $1.3290,2026-05-31 14:00:00-04:00,2026-05-31 14:15:00-04:00,1.3275,1.329,no
KXXRP15M-26MAY311400,Target Price: $1.3296,2026-05-31 13:45:00-04:00,2026-05-31 14:00:00-04:00,1.3290,1.3296,no
KXXRP15M-26MAY311345,Target Price: $1.3278,2026-05-31 13:30:00-04:00,2026-05-31 13:45:00-04:00,1.3296,1.3278,yes
KXXRP15M-26MAY311330,Target Price: $1.3265,2026-05-31 13:15:00-04:00,2026-05-31 13:30:00-04:00,1.3278,1.3265,yes
KXXRP15M-26MAY311315,Target Price: $1.3258,2026-05-31 13:00:00-04:00,2026-05-31 13:15:00-04:00,1.3265,1.3258,yes
KXXRP15M-26MAY311300,Target Price: $1.3248,2026-05-31 12:45:00-04:00,2026-05-31 13:00:00-04:00,1.3258,1.3248,yes
KXXRP15M-26MAY311245,Target Price: $1.3264,2026-05-31 12:30:00-04:00,2026-05-31 12:45:00-04:00,1.3248,1.3264,no
KXXRP15M-26MAY311230,Target Price: $1.3264,2026-05-31 12:15:00-04:00,2026-05-31 12:30:00-04:00,1.3264,1.3264,yes
KXXRP15M-26MAY311215,Target Price: $1.3287,2026-05-31 12:00:00-04:00,2026-05-31 12:15:00-04:00,1.3264,1.3287,no
KXXRP15M-26MAY311200,Target Price: $1.3291,2026-05-31 11:45:00-04:00,2026-05-31 12:00:00-04:00,1.3287,1.3291,no
KXXRP15M-26MAY311145,Target Price: $1.3321,2026-05-31 11:30:00-04:00,2026-05-31 11:45:00-04:00,1.3291,1.3321,no
KXXRP15M-26MAY311130,Target Price: $1.3304,2026-05-31 11:15:00-04:00,2026-05-31 11:30:00-04:00,1.3321,1.3304,yes
KXXRP15M-26MAY311115,Target Price: $1.3284,2026-05-31 11:00:00-04:00,2026-05-31 11:15:00-04:00,1.3304,1.3284,yes
KXXRP15M-26MAY311100,Target Price: $1.3268,2026-05-31 10:45:00-04:00,2026-05-31 11:00:00-04:00,1.3284,1.3268,yes
KXXRP15M-26MAY311045,Target Price: $1.3291,2026-05-31 10:30:00-04:00,2026-05-31 10:45:00-04:00,1.3268,1.3291,no
KXXRP15M-26MAY311030,Target Price: $1.3391,2026-05-31 10:15:00-04:00,2026-05-31 10:30:00-04:00,1.3291,1.3391,no
KXXRP15M-26MAY311015,Target Price: $1.3408,2026-05-31 10:00:00-04:00,2026-05-31 10:15:00-04:00,1.3391,1.3408,no
KXXRP15M-26MAY311000,Target Price: $1.3432,2026-05-31 09:45:00-04:00,2026-05-31 10:00:00-04:00,1.3408,1.3432,no
