event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXXRP15M-26APR010000,Target Price: $1.34460,2026-03-31 23:45:00-04:00,2026-04-01 00:00:00-04:00,1.3464,1.3446,yes
KXXRP15M-26APR010015,Target Price: $1.34640,2026-04-01 00:00:00-04:00,2026-04-01 00:15:00-04:00,1.3436,1.3464,no
KXXRP15M-26APR010030,Target Price: $1.34360,2026-04-01 00:15:00-04:00,2026-04-01 00:30:00-04:00,1.341,1.3436,no
KXXRP15M-26APR010045,Target Price: $1.34100,2026-04-01 00:30:00-04:00,2026-04-01 00:45:00-04:00,1.3406,1.341,no
KXXRP15M-26APR010100,Target Price: $1.34060,2026-04-01 00:45:00-04:00,2026-04-01 01:00:00-04:00,1.3382,1.3406,no
KXXRP15M-26APR010115,Target Price: $1.33820,2026-04-01 01:00:00-04:00,2026-04-01 01:15:00-04:00,1.3415,1.3382,yes
KXXRP15M-26APR010130,Target Price: $1.34150,2026-04-01 01:15:00-04:00,2026-04-01 01:30:00-04:00,1.3462,1.3415,yes
KXXRP15M-26APR010145,Target Price: $1.34620,2026-04-01 01:30:00-04:00,2026-04-01 01:45:00-04:00,1.3426,1.3462,no
KXXRP15M-26APR010200,Target Price: $1.34260,2026-04-01 01:45:00-04:00,2026-04-01 02:00:00-04:00,1.3463,1.3426,yes
KXXRP15M-26APR010215,Target Price: $1.34630,2026-04-01 02:00:00-04:00,2026-04-01 02:15:00-04:00,1.3539,1.3463,yes
KXXRP15M-26APR010230,Target Price: $1.35390,2026-04-01 02:15:00-04:00,2026-04-01 02:30:00-04:00,1.3553,1.3539,yes
KXXRP15M-26APR010245,Target Price: $1.35530,2026-04-01 02:30:00-04:00,2026-04-01 02:45:00-04:00,1.3611,1.3553,yes
KXXRP15M-26APR010300,Target Price: $1.36110,2026-04-01 02:45:00-04:00,2026-04-01 03:00:00-04:00,1.3626,1.3611,yes
KXXRP15M-26APR010315,Target Price: $1.36260,2026-04-01 03:00:00-04:00,2026-04-01 03:15:00-04:00,1.3643,1.3626,yes
KXXRP15M-26APR010330,Target Price: $1.36430,2026-04-01 03:15:00-04:00,2026-04-01 03:30:00-04:00,1.3602,1.3643,no
KXXRP15M-26APR010345,Target Price: $1.36020,2026-04-01 03:30:00-04:00,2026-04-01 03:45:00-04:00,1.3597,1.3602,no
KXXRP15M-26APR010400,Target Price: $1.35970,2026-04-01 03:45:00-04:00,2026-04-01 04:00:00-04:00,1.3561,1.3597,no
KXXRP15M-26APR010415,Target Price: $1.35610,2026-04-01 04:00:00-04:00,2026-04-01 04:15:00-04:00,1.3537,1.3561,no
KXXRP15M-26APR010430,Target Price: $1.35370,2026-04-01 04:15:00-04:00,2026-04-01 04:30:00-04:00,1.3553,1.3537,yes
KXXRP15M-26APR010445,Target Price: $1.35530,2026-04-01 04:30:00-04:00,2026-04-01 04:45:00-04:00,1.357,1.3553,yes
KXXRP15M-26APR010500,Target Price: $1.35700,2026-04-01 04:45:00-04:00,2026-04-01 05:00:00-04:00,1.3527,1.357,no
KXXRP15M-26APR010515,Target Price: $1.35270,2026-04-01 05:00:00-04:00,2026-04-01 05:15:00-04:00,1.3507,1.3527,no
KXXRP15M-26APR010530,Target Price: $1.35070,2026-04-01 05:15:00-04:00,2026-04-01 05:30:00-04:00,1.351,1.3507,yes
KXXRP15M-26APR010545,Target Price: $1.35100,2026-04-01 05:30:00-04:00,2026-04-01 05:45:00-04:00,1.3495,1.351,no
