event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXHYPE15M-26AUG051130,Target Price: $57.2654,2026-08-05 11:15:00-04:00,2026-08-05 11:30:00-04:00,57.5318,57.2654,yes
KXHYPE15M-26AUG051115,Target Price: $57.3191,2026-08-05 11:00:00-04:00,2026-08-05 11:15:00-04:00,57.2654,57.3191,no
KXHYPE15M-26AUG051100,Target Price: $57.2427,2026-08-05 10:45:00-04:00,2026-08-05 11:00:00-04:00,57.3191,57.2427,yes
KXHYPE15M-26AUG051045,Target Price: $57.2342,2026-08-05 10:30:00-04:00,2026-08-05 10:45:00-04:00,57.2427,57.2342,yes
KXHYPE15M-26AUG051030,Target Price: $57.2405,2026-08-05 10:15:00-04:00,2026-08-05 10:30:00-04:00,57.2342,57.2405,no
KXHYPE15M-26AUG051015,Target Price: $57.1788,2026-08-05 10:00:00-04:00,2026-08-05 10:15:00-04:00,57.2405,57.1788,yes
KXHYPE15M-26AUG051000,Target Price: $57.1196,2026-08-05 09:45:00-04:00,2026-08-05 10:00:00-04:00,57.1788,57.1196,yes
KXHYPE15M-26AUG050945,Target Price: $56.9324,2026-08-05 09:30:00-04:00,2026-08-05 09:45:00-04:00,57.1196,56.9324,yes
KXHYPE15M-26AUG050930,Target Price: $56.8981,2026-08-05 09:15:00-04:00,2026-08-05 09:30:00-04:00,56.9324,56.8981,yes
KXHYPE15M-26AUG050915,Target Price: $57.1236,2026-08-05 09:00:00-04:00,2026-08-05 09:15:00-04:00,56.8981,57.1236,no
KXHYPE15M-26AUG050900,Target Price: $57.3380,2026-08-05 08:45:00-04:00,2026-08-05 09:00:00-04:00,57.1236,57.338,no
KXHYPE15M-26AUG050845,Target Price: $57.2503,2026-08-05 08:30:00-04:00,2026-08-05 08:45:00-04:00,57.3380,57.2503,yes
KXHYPE15M-26AUG050830,Target Price: $57.0796,2026-08-05 08:15:00-04:00,2026-08-05 08:30:00-04:00,57.2503,57.0796,yes
KXHYPE15M-26AUG050815,Target Price: $56.9831,2026-08-05 08:00:00-04:00,2026-08-05 08:15:00-04:00,57.0796,56.9831,yes
KXHYPE15M-26AUG050800,Target Price: $57.0869,2026-08-05 07:45:00-04:00,2026-08-05 08:00:00-04:00,56.9831,57.0869,no
KXHYPE15M-26AUG050745,Target Price: $57.1022,2026-08-05 07:30:00-04:00,2026-08-05 07:45:00-04:00,57.0869,57.1022,no
KXHYPE15M-26AUG050730,Target Price: $57.3400,2026-08-05 07:15:00-04:00,2026-08-05 07:30:00-04:00,57.1022,57.34,no
KXHYPE15M-26AUG050715,Target Price: $57.3822,2026-08-05 07:00:00-04:00,2026-08-05 07:15:00-04:00,57.3400,57.3822,no
KXHYPE15M-26AUG050700,Target Price: $57.3656,2026-08-05 06:45:00-04:00,2026-08-05 07:00:00-04:00,57.3822,57.3656,yes
KXHYPE15M-26AUG050645,Target Price: $57.2022,2026-08-05 06:30:00-04:00,2026-08-05 06:45:00-04:00,57.3656,57.2022,yes
KXHYPE15M-26AUG050630,Target Price: $57.1138,2026-08-05 06:15:00-04:00,2026-08-05 06:30:00-04:00,57.2022,57.1138,yes
