can_close_early,close_time,created_time,event_ticker,exchange_index,expected_expiration_time,expiration_time,expiration_value,floor_strike,last_price_dollars,latest_expiration_time,liquidity_dollars,market_type,no_ask_dollars,no_bid_dollars,no_sub_title,notional_value_dollars,occurrence_datetime,open_interest_fp,open_time,previous_price_dollars,previous_yes_ask_dollars,previous_yes_bid_dollars,price_level_structure,price_ranges,result,rules_primary,rules_secondary,settlement_timer_seconds,settlement_ts,settlement_value_dollars,status,strike_type,ticker,title,updated_time,volume_24h_fp,volume_fp,yes_ask_dollars,yes_ask_size_fp,yes_bid_dollars,yes_bid_size_fp,yes_sub_title
True,2026-05-28T23:45:00Z,2026-05-28T00:01:44.524448Z,KXBTC15M-26MAY281945,0,2026-05-28T23:50:00Z,2026-06-04T23:45:00Z,73505.71,73585.21,0.0010,2026-06-04T23:45:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T23:50:00Z,0.00,2026-05-28T23:30:00Z,0.0010,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:45 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:30 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T23:45:07.22226Z,0.0000,finalized,greater_or_equal,KXBTC15M-26MAY281945-45,BTC price up in next 15 mins?,2026-05-28T23:45:07.302503Z,0.00,570023.50,1.0000,0.00,0.0000,0.00,"Target Price: $73,585.21"
True,2026-05-28T23:30:00Z,2026-05-28T00:01:44.102753Z,KXBTC15M-26MAY281930,0,2026-05-28T23:35:00Z,2026-06-04T23:30:00Z,73585.21,73483.96,0.9990,2026-06-04T23:30:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T23:35:00Z,0.00,2026-05-28T23:15:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:30 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:15 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T23:30:07.220737Z,1.0000,finalized,greater_or_equal,KXBTC15M-26MAY281930-30,BTC price up in next 15 mins?,2026-05-28T23:30:07.300581Z,0.00,534359.28,1.0000,0.00,0.0000,0.00,"Target Price: $73,483.96"
True,2026-05-28T23:15:00Z,2026-05-28T00:01:43.683055Z,KXBTC15M-26MAY281915,0,2026-05-28T23:20:00Z,2026-06-04T23:15:00Z,73483.96,73371.49,0.9990,2026-06-04T23:15:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T23:20:00Z,0.00,2026-05-28T23:00:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:15 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:00 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T23:15:07.222084Z,1.0000,finalized,greater_or_equal,KXBTC15M-26MAY281915-15,BTC price up in next 15 mins?,2026-05-28T23:15:07.346259Z,0.00,456979.70,1.0000,0.00,0.0000,0.00,"Target Price: $73,371.49"
True,2026-05-28T23:00:00Z,2026-05-28T00:01:43.253491Z,KXBTC15M-26MAY281900,0,2026-05-28T23:05:00Z,2026-06-04T23:00:00Z,73371.49,73413.42,0.0010,2026-06-04T23:00:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T23:05:00Z,0.00,2026-05-28T22:45:00Z,0.0010,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:00 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:45 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T23:00:07.220315Z,0.0000,finalized,greater_or_equal,KXBTC15M-26MAY281900-00,BTC price up in next 15 mins?,2026-05-28T23:00:07.339764Z,0.00,553978.82,1.0000,0.00,0.0000,0.00,"Target Price: $73,413.42"
True,2026-05-28T22:45:00Z,2026-05-28T00:01:42.810871Z,KXBTC15M-26MAY281845,0,2026-05-28T22:50:00Z,2026-06-04T22:45:00Z,73413.42,73523.99,0.0010,2026-06-04T22:45:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T22:50:00Z,0.00,2026-05-28T22:30:00Z,0.0010,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:45 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:30 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T22:45:07.222617Z,0.0000,finalized,greater_or_equal,KXBTC15M-26MAY281845-45,BTC price up in next 15 mins?,2026-05-28T22:45:07.503259Z,0.00,434940.27,1.0000,0.00,0.0000,0.00,"Target Price: $73,523.99"
True,2026-05-28T22:30:00Z,2026-05-28T00:01:42.358983Z,KXBTC15M-26MAY281830,0,2026-05-28T22:35:00Z,2026-06-04T22:30:00Z,73523.99,73612.03,0.0010,2026-06-04T22:30:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T22:35:00Z,0.00,2026-05-28T22:15:00Z,0.0010,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:30 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:15 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T22:30:07.2212Z,0.0000,finalized,greater_or_equal,KXBTC15M-26MAY281830-30,BTC price up in next 15 mins?,2026-05-28T22:30:07.322912Z,0.00,533270.91,1.0000,0.00,0.0000,0.00,"Target Price: $73,612.03"
True,2026-05-28T22:15:00Z,2026-05-28T00:01:41.826845Z,KXBTC15M-26MAY281815,0,2026-05-28T22:20:00Z,2026-06-04T22:15:00Z,73612.03,73734.24,0.0010,2026-06-04T22:15:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T22:20:00Z,0.00,2026-05-28T22:00:00Z,0.0010,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:15 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:00 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T22:15:07.221572Z,0.0000,finalized,greater_or_equal,KXBTC15M-26MAY281815-15,BTC price up in next 15 mins?,2026-05-28T22:15:07.303608Z,0.00,510290.43,1.0000,0.00,0.0000,0.00,"Target Price: $73,734.24"
True,2026-05-28T22:00:00Z,2026-05-28T00:01:41.413043Z,KXBTC15M-26MAY281800,0,2026-05-28T22:05:00Z,2026-06-04T22:00:00Z,73734.24,73802.15,0.0010,2026-06-04T22:00:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T22:05:00Z,0.00,2026-05-28T21:45:00Z,0.0010,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:00 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:45 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T22:00:07.224229Z,0.0000,finalized,greater_or_equal,KXBTC15M-26MAY281800-00,BTC price up in next 15 mins?,2026-05-28T22:00:07.358483Z,0.00,454622.62,1.0000,0.00,0.0000,0.00,"Target Price: $73,802.15"
True,2026-05-28T21:45:00Z,2026-05-28T00:01:40.984552Z,KXBTC15M-26MAY281745,0,2026-05-28T21:50:00Z,2026-06-04T21:45:00Z,73802.15,73606.63,0.9990,2026-06-04T21:45:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T21:50:00Z,0.00,2026-05-28T21:30:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:45 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:30 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T21:45:07.222453Z,1.0000,finalized,greater_or_equal,KXBTC15M-26MAY281745-45,BTC price up in next 15 mins?,2026-05-28T21:45:07.338441Z,0.00,446157.94,1.0000,0.00,0.0000,0.00,"Target Price: $73,606.63"
True,2026-05-28T21:30:00Z,2026-05-28T00:01:40.549423Z,KXBTC15M-26MAY281730,0,2026-05-28T21:35:00Z,2026-06-04T21:30:00Z,73606.63,73580.56,0.9990,2026-06-04T21:30:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-05-28T21:35:00Z,0.00,2026-05-28T21:15:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{'end': '0.1000', 'start': '0.0000', 'step': '0.0010'}, {'end': '0.9000', 'start': '0.1000', 'step': '0.0100'}, {'end': '1.0000', 'start': '0.9000', 'step': '0.0010'}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:30 PM EDT on May 28, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:15 PM EDT on May 28, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-05-28T21:30:07.224935Z,1.0000,finalized,greater_or_equal,KXBTC15M-26MAY281730-30,BTC price up in next 15 mins?,2026-05-28T21:30:07.323457Z,0.00,441014.15,1.0000,0.00,0.0000,0.00,"Target Price: $73,580.56"
