close_time,created_time,event_ticker,expected_expiration_time,expiration_time,expiration_value,floor_strike,latest_expiration_time,occurrence_datetime,open_time,result,settlement_ts,status,strike_type,ticker,title,updated_time,volume_fp,yes_sub_title
2026-05-28 19:45:00-04:00,2026-05-27 20:01:44.524448-04:00,KXBTC15M-26MAY281945,2026-05-28 19:50:00-04:00,2026-06-04 19:45:00-04:00,73505.71,73585.21,2026-06-04 19:45:00-04:00,2026-05-28 19:50:00-04:00,2026-05-28 19:30:00-04:00,no,2026-05-28 19:45:07.222260-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281945-45,BTC price up in next 15 mins?,2026-05-28 19:45:07.302503-04:00,570023.50,"Target Price: $73,585.21"
2026-05-28 19:30:00-04:00,2026-05-27 20:01:44.102753-04:00,KXBTC15M-26MAY281930,2026-05-28 19:35:00-04:00,2026-06-04 19:30:00-04:00,73585.21,73483.96,2026-06-04 19:30:00-04:00,2026-05-28 19:35:00-04:00,2026-05-28 19:15:00-04:00,yes,2026-05-28 19:30:07.220737-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281930-30,BTC price up in next 15 mins?,2026-05-28 19:30:07.300581-04:00,534359.28,"Target Price: $73,483.96"
2026-05-28 19:15:00-04:00,2026-05-27 20:01:43.683055-04:00,KXBTC15M-26MAY281915,2026-05-28 19:20:00-04:00,2026-06-04 19:15:00-04:00,73483.96,73371.49,2026-06-04 19:15:00-04:00,2026-05-28 19:20:00-04:00,2026-05-28 19:00:00-04:00,yes,2026-05-28 19:15:07.222084-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281915-15,BTC price up in next 15 mins?,2026-05-28 19:15:07.346259-04:00,456979.70,"Target Price: $73,371.49"
2026-05-28 19:00:00-04:00,2026-05-27 20:01:43.253491-04:00,KXBTC15M-26MAY281900,2026-05-28 19:05:00-04:00,2026-06-04 19:00:00-04:00,73371.49,73413.42,2026-06-04 19:00:00-04:00,2026-05-28 19:05:00-04:00,2026-05-28 18:45:00-04:00,no,2026-05-28 19:00:07.220315-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281900-00,BTC price up in next 15 mins?,2026-05-28 19:00:07.339764-04:00,553978.82,"Target Price: $73,413.42"
2026-05-28 18:45:00-04:00,2026-05-27 20:01:42.810871-04:00,KXBTC15M-26MAY281845,2026-05-28 18:50:00-04:00,2026-06-04 18:45:00-04:00,73413.42,73523.99,2026-06-04 18:45:00-04:00,2026-05-28 18:50:00-04:00,2026-05-28 18:30:00-04:00,no,2026-05-28 18:45:07.222617-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281845-45,BTC price up in next 15 mins?,2026-05-28 18:45:07.503259-04:00,434940.27,"Target Price: $73,523.99"
2026-05-28 18:30:00-04:00,2026-05-27 20:01:42.358983-04:00,KXBTC15M-26MAY281830,2026-05-28 18:35:00-04:00,2026-06-04 18:30:00-04:00,73523.99,73612.03,2026-06-04 18:30:00-04:00,2026-05-28 18:35:00-04:00,2026-05-28 18:15:00-04:00,no,2026-05-28 18:30:07.221200-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281830-30,BTC price up in next 15 mins?,2026-05-28 18:30:07.322912-04:00,533270.91,"Target Price: $73,612.03"
2026-05-28 18:15:00-04:00,2026-05-27 20:01:41.826845-04:00,KXBTC15M-26MAY281815,2026-05-28 18:20:00-04:00,2026-06-04 18:15:00-04:00,73612.03,73734.24,2026-06-04 18:15:00-04:00,2026-05-28 18:20:00-04:00,2026-05-28 18:00:00-04:00,no,2026-05-28 18:15:07.221572-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281815-15,BTC price up in next 15 mins?,2026-05-28 18:15:07.303608-04:00,510290.43,"Target Price: $73,734.24"
2026-05-28 18:00:00-04:00,2026-05-27 20:01:41.413043-04:00,KXBTC15M-26MAY281800,2026-05-28 18:05:00-04:00,2026-06-04 18:00:00-04:00,73734.24,73802.15,2026-06-04 18:00:00-04:00,2026-05-28 18:05:00-04:00,2026-05-28 17:45:00-04:00,no,2026-05-28 18:00:07.224229-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281800-00,BTC price up in next 15 mins?,2026-05-28 18:00:07.358483-04:00,454622.62,"Target Price: $73,802.15"
2026-05-28 17:45:00-04:00,2026-05-27 20:01:40.984552-04:00,KXBTC15M-26MAY281745,2026-05-28 17:50:00-04:00,2026-06-04 17:45:00-04:00,73802.15,73606.63,2026-06-04 17:45:00-04:00,2026-05-28 17:50:00-04:00,2026-05-28 17:30:00-04:00,yes,2026-05-28 17:45:07.222453-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281745-45,BTC price up in next 15 mins?,2026-05-28 17:45:07.338441-04:00,446157.94,"Target Price: $73,606.63"
2026-05-28 17:30:00-04:00,2026-05-27 20:01:40.549423-04:00,KXBTC15M-26MAY281730,2026-05-28 17:35:00-04:00,2026-06-04 17:30:00-04:00,73606.63,73580.56,2026-06-04 17:30:00-04:00,2026-05-28 17:35:00-04:00,2026-05-28 17:15:00-04:00,yes,2026-05-28 17:30:07.224935-04:00,finalized,greater_or_equal,KXBTC15M-26MAY281730-30,BTC price up in next 15 mins?,2026-05-28 17:30:07.323457-04:00,441014.15,"Target Price: $73,580.56"
