event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26MAY281945,"Target Price: $73,585.21",2026-05-28 19:30:00-04:00,2026-05-28 19:45:00-04:00,73505.71,73585.21,no
KXBTC15M-26MAY281930,"Target Price: $73,483.96",2026-05-28 19:15:00-04:00,2026-05-28 19:30:00-04:00,73585.21,73483.96,yes
KXBTC15M-26MAY281915,"Target Price: $73,371.49",2026-05-28 19:00:00-04:00,2026-05-28 19:15:00-04:00,73483.96,73371.49,yes
KXBTC15M-26MAY281900,"Target Price: $73,413.42",2026-05-28 18:45:00-04:00,2026-05-28 19:00:00-04:00,73371.49,73413.42,no
KXBTC15M-26MAY281845,"Target Price: $73,523.99",2026-05-28 18:30:00-04:00,2026-05-28 18:45:00-04:00,73413.42,73523.99,no
KXBTC15M-26MAY281830,"Target Price: $73,612.03",2026-05-28 18:15:00-04:00,2026-05-28 18:30:00-04:00,73523.99,73612.03,no
KXBTC15M-26MAY281815,"Target Price: $73,734.24",2026-05-28 18:00:00-04:00,2026-05-28 18:15:00-04:00,73612.03,73734.24,no
KXBTC15M-26MAY281800,"Target Price: $73,802.15",2026-05-28 17:45:00-04:00,2026-05-28 18:00:00-04:00,73734.24,73802.15,no
KXBTC15M-26MAY281745,"Target Price: $73,606.63",2026-05-28 17:30:00-04:00,2026-05-28 17:45:00-04:00,73802.15,73606.63,yes
KXBTC15M-26MAY281730,"Target Price: $73,580.56",2026-05-28 17:15:00-04:00,2026-05-28 17:30:00-04:00,73606.63,73580.56,yes
KXBTC15M-26MAY281715,"Target Price: $73,483.83",2026-05-28 17:00:00-04:00,2026-05-28 17:15:00-04:00,73580.56,73483.83,yes
KXBTC15M-26MAY281700,"Target Price: $73,601.87",2026-05-28 16:45:00-04:00,2026-05-28 17:00:00-04:00,73483.83,73601.87,no
KXBTC15M-26MAY281645,"Target Price: $73,556.10",2026-05-28 16:30:00-04:00,2026-05-28 16:45:00-04:00,73601.87,73556.1,yes
KXBTC15M-26MAY281630,"Target Price: $73,329.16",2026-05-28 16:15:00-04:00,2026-05-28 16:30:00-04:00,73556.10,73329.16,yes
KXBTC15M-26MAY281615,"Target Price: $73,318.21",2026-05-28 16:00:00-04:00,2026-05-28 16:15:00-04:00,73329.16,73318.21,yes
KXBTC15M-26MAY281600,"Target Price: $73,327.46",2026-05-28 15:45:00-04:00,2026-05-28 16:00:00-04:00,73318.21,73327.46,no
KXBTC15M-26MAY281545,"Target Price: $73,438.55",2026-05-28 15:30:00-04:00,2026-05-28 15:45:00-04:00,73327.46,73438.55,no
KXBTC15M-26MAY281530,"Target Price: $73,357.32",2026-05-28 15:15:00-04:00,2026-05-28 15:30:00-04:00,73438.55,73357.32,yes
KXBTC15M-26MAY281515,"Target Price: $73,542.77",2026-05-28 15:00:00-04:00,2026-05-28 15:15:00-04:00,73357.32,73542.77,no
KXBTC15M-26MAY281500,"Target Price: $73,494.30",2026-05-28 14:45:00-04:00,2026-05-28 15:00:00-04:00,73542.77,73494.3,yes
KXBTC15M-26MAY281445,"Target Price: $73,483.28",2026-05-28 14:30:00-04:00,2026-05-28 14:45:00-04:00,73494.30,73483.28,yes
KXBTC15M-26MAY281430,"Target Price: $73,532.77",2026-05-28 14:15:00-04:00,2026-05-28 14:30:00-04:00,73483.28,73532.77,no
KXBTC15M-26MAY281415,"Target Price: $73,449.67",2026-05-28 14:00:00-04:00,2026-05-28 14:15:00-04:00,73532.77,73449.67,yes
KXBTC15M-26MAY281400,"Target Price: $73,388.53",2026-05-28 13:45:00-04:00,2026-05-28 14:00:00-04:00,73449.67,73388.53,yes
KXBTC15M-26MAY281345,"Target Price: $73,264.62",2026-05-28 13:30:00-04:00,2026-05-28 13:45:00-04:00,73388.53,73264.62,yes
KXBTC15M-26MAY281330,"Target Price: $73,378.59",2026-05-28 13:15:00-04:00,2026-05-28 13:30:00-04:00,73264.62,73378.59,no
KXBTC15M-26MAY281315,"Target Price: $73,308.17",2026-05-28 13:00:00-04:00,2026-05-28 13:15:00-04:00,73378.59,73308.17,yes
KXBTC15M-26MAY281300,"Target Price: $73,202.35",2026-05-28 12:45:00-04:00,2026-05-28 13:00:00-04:00,73308.17,73202.35,yes
KXBTC15M-26MAY281245,"Target Price: $73,036.73",2026-05-28 12:30:00-04:00,2026-05-28 12:45:00-04:00,73202.35,73036.73,yes
KXBTC15M-26MAY281230,"Target Price: $72,974.96",2026-05-28 12:15:00-04:00,2026-05-28 12:30:00-04:00,73036.73,72974.96,yes
KXBTC15M-26MAY281215,"Target Price: $72,785.01",2026-05-28 12:00:00-04:00,2026-05-28 12:15:00-04:00,72974.96,72785.01,yes
KXBTC15M-26MAY281200,"Target Price: $72,844.20",2026-05-28 11:45:00-04:00,2026-05-28 12:00:00-04:00,72785.01,72844.2,no
KXBTC15M-26MAY281145,"Target Price: $72,805.93",2026-05-28 11:30:00-04:00,2026-05-28 11:45:00-04:00,72844.20,72805.93,yes
KXBTC15M-26MAY281130,"Target Price: $72,751.64",2026-05-28 11:15:00-04:00,2026-05-28 11:30:00-04:00,72805.93,72751.64,yes
KXBTC15M-26MAY281115,"Target Price: $72,889.01",2026-05-28 11:00:00-04:00,2026-05-28 11:15:00-04:00,72751.64,72889.01,no
KXBTC15M-26MAY281100,"Target Price: $72,717.18",2026-05-28 10:45:00-04:00,2026-05-28 11:00:00-04:00,72889.01,72717.18,yes
KXBTC15M-26MAY281045,"Target Price: $72,845.83",2026-05-28 10:30:00-04:00,2026-05-28 10:45:00-04:00,72717.18,72845.83,no
KXBTC15M-26MAY281030,"Target Price: $73,115.41",2026-05-28 10:15:00-04:00,2026-05-28 10:30:00-04:00,72845.83,73115.41,no
KXBTC15M-26MAY281015,"Target Price: $72,895.64",2026-05-28 10:00:00-04:00,2026-05-28 10:15:00-04:00,73115.41,72895.64,yes
KXBTC15M-26MAY281000,"Target Price: $72,668.11",2026-05-28 09:45:00-04:00,2026-05-28 10:00:00-04:00,72895.64,72668.11,yes
KXBTC15M-26MAY280945,"Target Price: $73,039.31",2026-05-28 09:30:00-04:00,2026-05-28 09:45:00-04:00,72668.11,73039.31,no
KXBTC15M-26MAY280930,"Target Price: $73,233.02",2026-05-28 09:15:00-04:00,2026-05-28 09:30:00-04:00,73039.31,73233.02,no
KXBTC15M-26MAY280915,"Target Price: $73,407.54",2026-05-28 09:00:00-04:00,2026-05-28 09:15:00-04:00,73233.02,73407.54,no
KXBTC15M-26MAY280900,"Target Price: $73,393.67",2026-05-28 08:45:00-04:00,2026-05-28 09:00:00-04:00,73407.54,73393.67,yes
KXBTC15M-26MAY280845,"Target Price: $73,270.72",2026-05-28 08:30:00-04:00,2026-05-28 08:45:00-04:00,73393.67,73270.72,yes
KXBTC15M-26MAY280830,"Target Price: $73,293.20",2026-05-28 08:15:00-04:00,2026-05-28 08:30:00-04:00,73270.72,73293.2,no
KXBTC15M-26MAY280815,"Target Price: $73,394.09",2026-05-28 08:00:00-04:00,2026-05-28 08:15:00-04:00,73293.20,73394.09,no
KXBTC15M-26MAY280800,"Target Price: $73,345.78",2026-05-28 07:45:00-04:00,2026-05-28 08:00:00-04:00,73394.09,73345.78,yes
KXBTC15M-26MAY280745,"Target Price: $73,238.89",2026-05-28 07:30:00-04:00,2026-05-28 07:45:00-04:00,73345.78,73238.89,yes
